eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.7068352,0.015505937,0.0027385901,0.0,0.0
0.0,0.0,0.87589765,0.0387519,0.0029731886,0.0,0.0
0.0,0.0,1.5395494,0.040136535,0.0058407937,0.0,0.0
0.0,0.0,1.8162986,0.095292,0.00718797,0.0,0.0
0.0,0.0,2.5146651,0.081518784,0.00853581,0.0,0.0
0.0,0.0,3.9533908,0.060559824,0.010477184,0.0,0.0
0.0,0.0,2.4798942,0.07884284,0.0066053784,0.0,0.0
0.0,0.0,3.2684965,0.09898894,0.008079968,0.0,0.0
0.0,0.0,3.8496695,0.072067104,0.008160646,0.0,0.0
0.0,0.0,4.584582,0.13028157,0.014987662,0.0,0.0
0.0,0.0,0.41406745,0.020300282,0.0022124671,0.0032124512,0.0032124512
0.0,0.0,0.33343768,0.008108696,0.0016770053,0.0,0.0
0.0,0.0,1.25501,0.019323668,0.006643588,0.0,0.0
0.0,0.0,1.5732906,0.053943366,0.0070217536,0.0,0.0
0.0,0.0,1.8166828,0.05959522,0.006285981,0.0,0.0
0.0,0.0,1.4988469,0.029284328,0.006005207,0.0,0.0
0.0,0.0,1.5796138,0.034649033,0.0056530433,0.0,0.0
0.0,0.0,1.8267395,0.055034656,0.0062335273,0.0,0.0
0.0,0.0,1.6122369,0.05376594,0.0065516583,0.0,0.0
0.0,0.0,5.512168,0.08607805,0.02596679,0.0,0.0
0.0,0.0,0.65160155,0.0175876,0.0030567355,0.0034229928,0.0034229928
0.0,0.0,1.4565171,0.024556583,0.0062579783,0.007003748,0.007003748
0.0,0.0,0.30618495,0.0070362356,0.0018196425,0.0,0.0
0.0,0.0,1.5000894,0.04365004,0.006650649,0.0,0.0
0.0,0.0,1.6615933,0.035815705,0.0077695674,0.0,0.0
0.0,0.0,1.4587376,0.014403258,0.006047199,0.0,0.0
0.0,0.0,1.316764,0.015661644,0.0049368306,0.0,0.0
0.0,0.0,2.0892732,0.0358864,0.0056159873,0.0,0.0
0.0,0.0,1.7708817,0.010631053,0.010730257,0.0,0.0
0.0,0.0,3.0798688,0.056425925,0.012081811,0.0,0.0
0.0,0.0,1.7854975,0.038735926,0.0075279353,0.009471405,0.009471405
0.0,0.0,2.5927114,0.040059287,0.010367006,0.009962672,0.009962672
0.0,0.0,1.4634268,0.016313402,0.008464478,0.008943538,0.008943538
0.0,0.0,0.179663,0.008768257,0.00089127524,0.0,0.0
0.0,0.0,0.85714066,0.028380208,0.004694802,0.0,0.0
0.0,0.0,1.2081976,0.01446071,0.004881271,0.0,0.0
0.0,0.0,1.1193585,0.016673174,0.003724222,0.0,0.0
0.0,0.0,1.2677302,0.02169366,0.0058336863,0.0,0.0
0.0,0.0,1.912911,0.010771368,0.006547898,0.0,0.0
0.0,0.0,3.453078,0.038819257,0.014076669,0.0,0.0
0.0,0.0,3.2177398,0.035718765,0.013399859,0.014187383,0.014187383
0.0,0.0,4.1020756,0.058544543,0.017166374,0.016483098,0.016483098
0.0,0.0,1.8476901,0.023918975,0.00916248,0.00792211,0.00792211
0.0,0.0,0.67824304,0.046377074,0.0019134021,0.0021124633,0.0021124633
0.0,0.0,0.30127034,0.01905366,0.0018034256,0.0,0.0
0.0,0.0,1.3428055,0.01718101,0.0054717464,0.0,0.0
0.0,0.0,1.14994,0.015415972,0.005694721,0.0,0.0
0.0,0.0,2.142069,0.020501424,0.007993261,0.0,0.0
0.0,0.0,1.552632,0.03003251,0.0046113767,0.0,0.0
0.0,0.0,2.5511985,0.050412063,0.007757249,0.0,0.0
0.0,0.0,4.0126367,0.0724129,0.018986832,0.019267002,0.019267002
0.0,0.0,4.2965174,0.07909664,0.016493583,0.01645213,0.01645213
0.0,0.0,1.4956034,0.027152209,0.006512286,0.0062114815,0.0062114815
0.0,0.0,1.1035832,0.03233338,0.004145469,0.0044081607,0.0044081607
0.0,0.0,1.0086058,0.03595347,0.003940475,0.004564469,0.004564469
0.0,0.0,0.28761217,0.016975118,0.0010985761,0.0,0.0
0.0,0.0,1.2284034,0.029016113,0.0051830825,0.0,0.0
0.0,0.0,1.902419,0.038909927,0.0064268457,0.0,0.0
0.0,0.0,0.8659143,0.023950737,0.0034509904,0.0,0.0
0.0,0.0,2.1919076,0.064369336,0.0056022275,0.0,0.0
0.0,0.0,1.6063501,0.028503666,0.0061404253,0.008044213,0.008044213
0.0,0.0,2.0072637,0.07799321,0.008235285,0.008137636,0.008137636
0.0,0.0,0.88141346,0.02530099,0.007912551,0.007955186,0.007955186
0.0,0.0,1.5089387,0.04482695,0.0051600602,0.005725478,0.005725478
0.0,0.0,1.1561066,0.0424519,0.0058803563,0.005885788,0.005885788
0.0,0.0,1.1110787,0.026526978,0.0048526903,0.0047939415,0.0047939415
0.0,0.0,0.36735326,0.029645702,0.0015842498,0.0,0.0
0.0,0.0,1.4520049,0.03617664,0.0052973363,0.0,0.0
0.0,0.0,1.2323679,0.033825926,0.005984745,0.0,0.0
0.0,0.0,2.7478042,0.08558155,0.0106353015,0.0,0.0
