training_exp,epoch,lr,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,333.5982,1.1096,-0.3090
0,1,0.002,254.0227,2.3317,-0.0069
0,2,0.002,205.5954,3.9813,0.0955
0,3,0.002,189.1206,4.0008,0.1893
0,4,0.002,173.8128,3.5183,0.2408
0,5,0.002,164.2439,3.6858,0.2765
0,6,0.002,156.8050,3.7070,0.3101
0,7,0.002,150.7432,3.4703,0.3448
0,8,0.002,145.7573,3.3998,0.3738
0,9,0.002,141.5969,3.2497,0.3973
0,10,0.002,138.5672,3.0911,0.4175
0,11,0.002,135.0849,3.0462,0.4364
0,12,0.002,133.1303,2.8973,0.4467
0,13,0.002,129.2007,2.7803,0.4660
0,14,0.002,126.2398,2.6492,0.4802
0,15,0.002,122.6233,2.5244,0.4925
0,16,0.002,121.6801,2.3925,0.4981
0,17,0.002,117.7862,2.2508,0.5132
0,18,0.002,115.8381,2.1519,0.5234
0,19,0.002,112.3649,2.0697,0.5390
0,20,0.002,110.0176,2.0133,0.5455
0,21,0.002,108.7513,1.9260,0.5505
0,22,0.002,106.6474,1.9022,0.5594
0,23,0.002,103.3482,1.7927,0.5721
0,24,0.002,101.6372,1.8040,0.5812
0,25,0.002,99.3154,1.7192,0.5922
0,26,0.002,96.5549,1.7145,0.6054
0,27,0.002,96.3848,1.6412,0.6033
0,28,0.002,94.1966,1.6330,0.6137
0,29,0.002,92.2849,1.6447,0.6212
0,30,0.002,90.8494,1.6251,0.6288
0,31,0.002,89.2775,1.6216,0.6348
0,32,0.002,88.8424,1.6052,0.6353
0,33,0.002,86.6940,1.5600,0.6433
0,34,0.002,86.0270,1.6240,0.6466
0,35,0.002,84.1479,1.5483,0.6550
0,36,0.002,82.0363,1.5458,0.6632
0,37,0.002,80.6398,1.5304,0.6708
0,38,0.002,80.4960,1.5092,0.6677
0,39,0.002,79.7427,1.4872,0.6713
0,40,0.002,78.0568,1.5444,0.6811
0,41,0.002,77.2773,1.4959,0.6836
0,42,0.002,75.6730,1.4911,0.6905
0,43,0.002,76.4377,1.4377,0.6836
0,44,0.002,75.5669,1.4407,0.6898
0,45,0.002,74.2366,1.4608,0.6973
0,46,0.002,72.5785,1.4308,0.7020
0,47,0.002,72.1975,1.4316,0.7021
0,48,0.002,73.0144,1.4561,0.6992
0,49,0.002,71.0031,1.4038,0.7061
0,50,0.002,71.1824,1.4282,0.7041
0,51,0.002,69.8880,1.3911,0.7109
