eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,25.733839,0.5286125,0.88764995,0.0,0.0
1.0,0.0,64.088036,0.890925,0.7479,0.0,0.0
2.0,0.0,56.63069,0.771725,0.7680249,0.0,0.0
3.0,0.0,60.24495,0.9784125,0.7667125,0.0,0.0
4.0,0.0,79.73581,0.94130003,0.70016253,0.0,0.0
5.0,0.0,75.84588,0.82758754,0.7387125,0.0,0.0
6.0,0.0,67.278,1.018925,0.7645625,0.0,0.0
7.0,0.0,88.47369,0.9421375,0.7136625,0.0,0.0
8.0,0.0,72.94342,0.7808,0.796125,0.0,0.0
9.0,0.0,63.711838,0.972975,0.79188746,0.0,0.0
0.0,1.0,33.794025,0.564425,0.8504875,0.037175,-0.037175
1.0,1.0,21.665539,0.5925125,0.90024996,0.0,0.0
2.0,1.0,35.64969,0.69788754,0.83932495,0.0,0.0
3.0,1.0,40.0645,0.90707505,0.8385875,0.0,0.0
4.0,1.0,47.131924,0.9195,0.804125,0.0,0.0
5.0,1.0,47.414825,0.6612375,0.81671244,0.0,0.0
6.0,1.0,40.348,0.823775,0.84398746,0.0,0.0
7.0,1.0,58.68295,0.84018743,0.8032126,0.0,0.0
8.0,1.0,41.74936,0.6409375,0.86837494,0.0,0.0
9.0,1.0,38.111813,0.77481246,0.86375,0.0,0.0
0.0,2.0,40.927914,0.5714625,0.8204125,0.067274995,-0.067274995
1.0,2.0,37.327663,0.69713753,0.8421875,0.0580625,-0.0580625
2.0,2.0,18.494337,0.496825,0.91406244,0.0,0.0
3.0,2.0,33.05684,0.70325,0.86636245,0.0,0.0
4.0,2.0,40.97774,0.695775,0.8242374,0.0,0.0
5.0,2.0,44.4437,0.5713,0.8232125,0.0,0.0
6.0,2.0,39.023186,0.699725,0.84738755,0.0,0.0
7.0,2.0,59.825176,0.6853375,0.7961124,0.0,0.0
8.0,2.0,42.210712,0.58077496,0.85951245,0.0,0.0
9.0,2.0,40.308914,0.72700006,0.8611375,0.0,0.0
0.0,3.0,47.28245,0.6012125,0.7915375,0.096175,-0.096175
1.0,3.0,52.026123,0.78528744,0.78275,0.1175,-0.1175
2.0,3.0,31.093124,0.576275,0.8597375,0.054337498,-0.054337498
3.0,3.0,13.674376,0.51935,0.9438499,0.0,0.0
4.0,3.0,34.826275,0.6417,0.8548625,0.0,0.0
5.0,3.0,41.61385,0.5376625,0.8305625,0.0,0.0
6.0,3.0,35.411087,0.6594125,0.86103755,0.0,0.0
7.0,3.0,49.442837,0.6731375,0.83105,0.0,0.0
8.0,3.0,39.706463,0.5391875,0.88065,0.0,0.0
9.0,3.0,34.99565,0.69217503,0.87380004,0.0,0.0
0.0,4.0,52.012123,0.683625,0.7797,0.1079875,-0.1079875
1.0,4.0,57.289337,0.8017875,0.7651125,0.13514999,-0.13514999
2.0,4.0,39.09533,0.6406125,0.82792497,0.086175,-0.086175
3.0,4.0,23.64895,0.6543,0.9062375,0.037625,-0.037625
4.0,4.0,19.249376,0.53024995,0.921425,0.0,0.0
5.0,4.0,40.486835,0.5301625,0.835325,0.0,0.0
6.0,4.0,37.83816,0.6827125,0.85385,0.0,0.0
7.0,4.0,52.421787,0.63462496,0.81983745,0.0,0.0
8.0,4.0,44.806698,0.5705,0.85687494,0.0,0.0
9.0,4.0,33.1554,0.59505,0.88117504,0.0,0.0
0.0,5.0,51.56025,0.7293625,0.7773,0.110375,-0.110375
1.0,5.0,53.193577,0.79752505,0.785625,0.11462499,-0.11462499
2.0,5.0,36.469448,0.6506,0.8406,0.073475,-0.073475
3.0,5.0,27.325613,0.69121253,0.889925,0.053937502,-0.053937502
4.0,5.0,31.22675,0.62409997,0.86859995,0.052825,-0.052825
5.0,5.0,22.52464,0.4279125,0.90297496,0.0,0.0
6.0,5.0,33.72219,0.6316375,0.8697,0.0,0.0
7.0,5.0,47.08751,0.60148746,0.83395004,0.0,0.0
8.0,5.0,36.949112,0.53095,0.87535,0.0,0.0
9.0,5.0,27.419262,0.6187875,0.894775,0.0,0.0
0.0,6.0,54.524483,0.73545,0.7667875,0.12087499,-0.12087499
1.0,6.0,60.182987,0.9893375,0.75296247,0.14727499,-0.14727499
2.0,6.0,40.535538,0.711025,0.8167625,0.09728749,-0.09728749
3.0,6.0,31.5366,0.781425,0.87311244,0.07075,-0.07075
4.0,6.0,35.32634,0.6588125,0.85407495,0.06735,-0.06735
5.0,6.0,32.700214,0.49384996,0.8637375,0.039225,-0.039225
6.0,6.0,23.273699,0.530675,0.90537494,0.0,0.0
7.0,6.0,43.87854,0.55983746,0.8468125,0.0,0.0
8.0,6.0,33.219437,0.51245,0.89491254,0.0,0.0
9.0,6.0,26.445263,0.65325,0.899475,0.0,0.0
0.0,7.0,77.657295,0.72111255,0.6692875,0.21840002,-0.21840002
1.0,7.0,70.72565,0.9273625,0.7043,0.19595,-0.19595
2.0,7.0,47.867245,0.7194874,0.7914875,0.1225875,-0.1225875
3.0,7.0,35.2952,0.73695004,0.8574,0.086449996,-0.086449996
4.0,7.0,45.09514,0.67938745,0.8200625,0.10135,-0.10135
5.0,7.0,42.03246,0.540875,0.822875,0.0801,-0.0801
6.0,7.0,29.824863,0.5905125,0.88155,0.023812499,-0.023812499
7.0,7.0,25.812124,0.46914998,0.8985625,0.0,0.0
8.0,7.0,32.141212,0.46243748,0.8915875,0.0,0.0
