eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.5830694,0.0085189445,0.0022393821,0.0,0.0
0.0,0.0,0.8819375,0.027608642,0.0033625716,0.0,0.0
0.0,0.0,1.2889421,0.027668877,0.0044062333,0.0,0.0
0.0,0.0,1.8730501,0.062833205,0.0077339266,0.0,0.0
0.0,0.0,2.4646683,0.06109174,0.007326279,0.0,0.0
0.0,0.0,4.2414956,0.04916052,0.010298114,0.0,0.0
0.0,0.0,3.0961058,0.073048495,0.00843529,0.0,0.0
0.0,0.0,3.8902397,0.10842417,0.009622237,0.0,0.0
0.0,0.0,5.8334265,0.050633326,0.013166049,0.0,0.0
0.0,0.0,3.987634,0.09926408,0.014032755,0.0,0.0
0.0,0.0,0.5521254,0.013041376,0.002739415,0.003959305,0.003959305
0.0,0.0,0.46770766,0.015448882,0.0022579995,0.0,0.0
0.0,0.0,1.0767567,0.018705618,0.0059680273,0.0,0.0
0.0,0.0,1.4451635,0.06136228,0.0075874883,0.0,0.0
0.0,0.0,1.5395874,0.056764577,0.007830704,0.0,0.0
0.0,0.0,1.4564178,0.027635721,0.0059936196,0.0,0.0
0.0,0.0,0.7089833,0.05241072,0.004539388,0.0,0.0
0.0,0.0,2.029014,0.086089686,0.0073549347,0.0,0.0
0.0,0.0,2.518943,0.0525952,0.007492324,0.0,0.0
0.0,0.0,5.5546126,0.09141029,0.02410855,0.0,0.0
0.0,0.0,1.4350492,0.01602388,0.007612728,0.007597656,0.007597656
0.0,0.0,1.7071686,0.021803662,0.007983958,0.008455767,0.008455767
0.0,0.0,0.2058594,0.007086251,0.0011290852,0.0,0.0
0.0,0.0,1.3801262,0.03828207,0.006482484,0.0,0.0
0.0,0.0,1.4565246,0.046023905,0.0051603606,0.0,0.0
0.0,0.0,0.9120493,0.012735485,0.0038141003,0.0,0.0
0.0,0.0,1.3055173,0.024701763,0.0057404316,0.0,0.0
0.0,0.0,2.1331735,0.04572482,0.007567362,0.0,0.0
0.0,0.0,1.6451973,0.031674225,0.006640023,0.0,0.0
0.0,0.0,2.44777,0.059015896,0.011141967,0.0,0.0
0.0,0.0,1.876332,0.019367598,0.008739672,0.00883247,0.00883247
0.0,0.0,2.663177,0.03795582,0.009278871,0.009858428,0.009858428
0.0,0.0,1.0868653,0.017082442,0.0064914254,0.0067395163,0.0067395163
0.0,0.0,0.32227406,0.008629665,0.0014525906,0.0,0.0
0.0,0.0,0.901398,0.03369735,0.002843853,0.0,0.0
0.0,0.0,0.7316645,0.005632502,0.0028436112,0.0,0.0
0.0,0.0,1.5490806,0.017777422,0.0062828036,0.0,0.0
0.0,0.0,1.4082537,0.033302046,0.0043830415,0.0,0.0
0.0,0.0,1.4590385,0.016039751,0.006688934,0.0,0.0
0.0,0.0,1.7946653,0.027453847,0.007344461,0.0,0.0
0.0,0.0,3.0523133,0.042795025,0.010245779,0.0109907845,0.0109907845
0.0,0.0,4.6726265,0.052111898,0.017010689,0.017697796,0.017697796
0.0,0.0,2.411135,0.023578512,0.010074354,0.010422692,0.010422692
0.0,0.0,0.7529982,0.019940285,0.0031245,0.002532168,0.002532168
0.0,0.0,0.3908973,0.009115745,0.0019150702,0.0,0.0
0.0,0.0,0.82200027,0.011193862,0.0032889945,0.0,0.0
0.0,0.0,0.6563348,0.015983017,0.0029378806,0.0,0.0
0.0,0.0,1.8014289,0.026404912,0.0051020603,0.0,0.0
0.0,0.0,1.8131862,0.019247465,0.00802324,0.0,0.0
0.0,0.0,2.7301211,0.023979818,0.009688521,0.0,0.0
0.0,0.0,3.361262,0.05634336,0.010437728,0.009973214,0.009973214
0.0,0.0,4.337753,0.09990107,0.014589887,0.014200172,0.014200172
0.0,0.0,0.945425,0.026643109,0.0040661483,0.0034794933,0.0034794933
0.0,0.0,1.0634886,0.050662097,0.003284419,0.0028704307,0.0028704307
0.0,0.0,1.0274898,0.022446739,0.0049593216,0.004677806,0.004677806
0.0,0.0,0.23609538,0.008229381,0.0013628972,0.0,0.0
0.0,0.0,0.576323,0.019013738,0.00333108,0.0,0.0
0.0,0.0,2.360267,0.023546498,0.0087613845,0.0,0.0
0.0,0.0,1.3644692,0.030799553,0.008799494,0.0,0.0
0.0,0.0,3.0883265,0.042566825,0.011002266,0.0,0.0
0.0,0.0,2.9780915,0.039908677,0.013742442,0.013393884,0.013393884
0.0,0.0,1.9856391,0.057029467,0.005675164,0.006273357,0.006273357
0.0,0.0,0.79911953,0.032555852,0.0059683453,0.005771047,0.005771047
0.0,0.0,1.8669133,0.059783496,0.005165205,0.005175408,0.005175408
