eval_exp,training_exp,Loss_Exp,Time_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,25.177876,0.164325,0.518525,0.890375,0.0,0.0
1.0,0.0,65.25863,0.422925,0.87695,0.74532497,0.0,0.0
2.0,0.0,57.107826,0.219275,0.755775,0.7665,0.0,0.0
3.0,0.0,62.948574,0.174375,0.968,0.757625,0.0,0.0
4.0,0.0,81.3611,0.12194999,0.9132,0.694975,0.0,0.0
5.0,0.0,77.4347,0.113025,0.81985,0.73335,0.0,0.0
6.0,0.0,68.15612,0.30975,1.020625,0.76352495,0.0,0.0
7.0,0.0,90.71093,0.146625,0.95254993,0.7079,0.0,0.0
8.0,0.0,73.1629,0.039849997,0.77115,0.79747504,0.0,0.0
9.0,0.0,65.034874,0.0266,0.94299996,0.7888,0.0,0.0
0.0,1.0,27.248226,0.33179998,0.644375,0.8822,0.008200001,-0.008200001
1.0,1.0,44.665127,0.27815,1.0483,0.8148,0.0,0.0
2.0,1.0,41.490425,0.235725,0.95145,0.821375,0.0,0.0
3.0,1.0,47.816902,0.3001,1.2125,0.80974996,0.0,0.0
4.0,1.0,58.402473,0.101025,1.14695,0.77452505,0.0,0.0
5.0,1.0,53.6869,0.10797499,1.033325,0.8020251,0.0,0.0
6.0,1.0,49.114223,0.141275,1.3118,0.81890005,0.0,0.0
7.0,1.0,68.81095,0.13114999,1.22195,0.77279997,0.0,0.0
8.0,1.0,49.426853,0.043025,0.90297496,0.859875,0.0,0.0
9.0,1.0,48.480522,0.02495,1.3777001,0.8336,0.0,0.0
0.0,2.0,29.6798,0.19485,0.73800004,0.87155,0.018800002,-0.018800002
1.0,2.0,44.566372,0.41715002,1.199275,0.81495,-0.00012499999,0.00012499999
2.0,2.0,36.803997,0.24419999,1.080825,0.8413001,0.0,0.0
3.0,2.0,45.059853,0.15779999,1.3797749,0.82100004,0.0,0.0
4.0,2.0,52.7589,0.114325,1.3219,0.79535,0.0,0.0
5.0,2.0,49.9181,0.10095,1.1737249,0.816025,0.0,0.0
6.0,2.0,45.08937,0.29275,1.45345,0.83297503,0.0,0.0
7.0,2.0,63.47363,0.15959999,1.3332751,0.7884,0.0,0.0
8.0,2.0,43.818726,0.048100002,1.010575,0.875875,0.0,0.0
9.0,2.0,43.325726,0.023024999,1.60265,0.85592496,0.0,0.0
0.0,3.0,30.535473,0.34579998,0.714625,0.87030005,0.020075,-0.020075
1.0,3.0,44.44875,0.274775,1.132675,0.815475,-0.000675,0.000675
2.0,3.0,36.393024,0.240325,0.96042496,0.8431,-0.0018249999,0.0018249999
3.0,3.0,38.5493,0.167625,1.2424,0.8472,0.0,0.0
4.0,3.0,50.424152,0.281625,1.16975,0.80355,0.0,0.0
5.0,3.0,49.057426,0.1098,1.000275,0.81829995,0.0,0.0
6.0,3.0,43.665222,0.13229999,1.26125,0.8382,0.0,0.0
