training_exp,epoch,lr,Loss_Epoch,Time_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,254.4817,0.8913,3.2453,-0.0457
0,1,0.002,183.2536,0.5639,3.7539,0.2228
0,2,0.002,160.0439,0.5171,3.5624,0.3186
0,3,0.002,145.3524,0.4614,3.5402,0.3881
0,4,0.002,132.4844,0.5096,2.9890,0.4502
0,5,0.002,121.9569,0.5205,2.6811,0.4990
0,6,0.002,113.5370,0.4144,2.3831,0.5373
0,7,0.002,106.1176,0.3887,2.1497,0.5667
0,8,0.002,100.3245,0.5539,2.0164,0.5890
0,9,0.002,94.8617,0.5264,1.9164,0.6127
0,10,0.002,90.2319,0.4285,1.7886,0.6311
0,11,0.002,87.2265,0.3968,1.7543,0.6431
0,12,0.002,82.5121,0.5190,1.7143,0.6643
0,13,0.002,79.1602,0.5227,1.6016,0.6766
0,14,0.002,75.3839,0.4146,1.5584,0.6924
0,15,0.002,72.8672,0.3818,1.5218,0.7024
0,16,0.002,70.1541,0.5237,1.4490,0.7142
0,17,0.002,67.0048,0.5390,1.4292,0.7262
0,18,0.002,66.5427,0.4043,1.4159,0.7261
0,19,0.002,63.9815,0.4090,1.3554,0.7374
0,20,0.002,63.2230,0.5433,1.3149,0.7407
0,21,0.002,60.8390,0.5524,1.2898,0.7486
0,22,0.002,59.3045,0.4798,1.2871,0.7554
0,23,0.002,58.5064,0.3747,1.2773,0.7567
0,24,0.002,56.5865,0.5499,1.2402,0.7662
0,25,0.002,55.3512,0.5348,1.2238,0.7698
0,26,0.002,55.1056,0.3819,1.1861,0.7727
0,27,0.002,53.3980,0.4048,1.2071,0.7782
0,28,0.002,53.5266,0.5459,1.1621,0.7761
0,29,0.002,51.4235,0.5616,1.1532,0.7847
0,30,0.002,51.2008,0.4314,1.1594,0.7850
0,31,0.002,50.7764,0.3896,1.1304,0.7878
0,32,0.002,49.5289,0.6110,1.0947,0.7924
0,33,0.002,49.0743,0.5605,1.1158,0.7930
0,34,0.002,48.3140,0.4535,1.0951,0.7974
0,35,0.002,47.7195,0.4157,1.0826,0.7980
0,36,0.002,47.5416,0.5816,1.0753,0.8017
0,37,0.002,47.0574,0.5807,1.0598,0.8026
0,38,0.002,46.2153,0.4098,1.0671,0.8056
0,39,0.002,45.9885,0.4344,1.0590,0.8065
0,40,0.002,45.0122,0.5743,1.0362,0.8095
0,41,0.002,44.6527,0.5836,1.0500,0.8104
