eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,34.40681,0.71721256,0.8508625,0.0,0.0
1.0,0.0,62.5681,1.088175,0.749725,0.0,0.0
2.0,0.0,53.843822,0.93597496,0.77348757,0.0,0.0
3.0,0.0,54.074287,1.2867374,0.78673756,0.0,0.0
4.0,0.0,75.47351,1.1777124,0.7093874,0.0,0.0
5.0,0.0,71.81342,1.02585,0.74761254,0.0,0.0
6.0,0.0,63.29744,1.3046999,0.77698755,0.0,0.0
7.0,0.0,83.18625,1.2716,0.723275,0.0,0.0
8.0,0.0,66.21819,0.966675,0.81486255,0.0,0.0
9.0,0.0,59.8144,1.370925,0.8009,0.0,0.0
0.0,1.0,35.626064,0.717425,0.847525,0.0033375002,-0.0033375002
1.0,1.0,47.056698,1.042175,0.79928756,0.0,0.0
2.0,1.0,43.357235,0.934825,0.8097,0.0,0.0
3.0,1.0,44.6466,1.2334374,0.81900007,0.0,0.0
4.0,1.0,61.40911,1.12265,0.75769997,0.0,0.0
5.0,1.0,57.18099,1.0099875,0.78931254,0.0,0.0
6.0,1.0,51.32469,1.2780626,0.81105006,0.0,0.0
7.0,1.0,70.03341,1.25675,0.760525,0.0,0.0
8.0,1.0,53.08855,0.94335,0.847075,0.0,0.0
9.0,1.0,45.80612,1.3939999,0.8422,0.0,0.0
0.0,2.0,36.657036,0.71683747,0.84276253,0.008075,-0.008075
1.0,2.0,47.406536,1.0365375,0.7976375,0.001625,-0.001625
2.0,2.0,39.384014,0.8611125,0.82605,0.0,0.0
3.0,2.0,44.033424,1.0656251,0.82075,0.0,0.0
4.0,2.0,59.89961,1.0417374,0.76125,0.0,0.0
5.0,2.0,55.61124,0.89887506,0.795925,0.0,0.0
6.0,2.0,50.785114,1.1217124,0.81170005,0.0,0.0
7.0,2.0,68.14141,1.0681126,0.763125,0.0,0.0
8.0,2.0,52.307026,0.8345625,0.8447499,0.0,0.0
9.0,2.0,43.628876,1.217925,0.84830004,0.0,0.0
0.0,3.0,39.19655,0.7174,0.83355,0.017312499,-0.017312499
1.0,3.0,46.671623,0.99288756,0.80090004,-0.001625,0.001625
2.0,3.0,39.40536,0.8146749,0.8242125,0.0018249999,-0.0018249999
3.0,3.0,35.384563,0.9065625,0.85475004,0.0,0.0
4.0,3.0,55.157272,0.92526245,0.7775125,0.0,0.0
5.0,3.0,56.07754,0.8169875,0.78821254,0.0,0.0
6.0,3.0,47.3344,1.01115,0.82269996,0.0,0.0
7.0,3.0,63.541214,0.94619995,0.77993757,0.0,0.0
8.0,3.0,50.274284,0.75726247,0.8474501,0.0,0.0
9.0,3.0,41.507828,1.080425,0.85569996,0.0,0.0
0.0,4.0,40.69146,0.806675,0.8258875,0.024950001,-0.024950001
1.0,4.0,47.423676,1.07365,0.79777503,0.0014875,-0.0014875
2.0,4.0,38.583076,0.86418754,0.8254375,0.0005999999,-0.0005999999
3.0,4.0,33.77516,0.953975,0.86011255,-0.0053625,0.0053625
4.0,4.0,43.23269,0.93542504,0.81861246,0.0,0.0
5.0,4.0,49.683704,0.8275001,0.8093125,0.0,0.0
6.0,4.0,42.5157,1.0408751,0.838475,0.0,0.0
7.0,4.0,58.394104,0.9338125,0.795125,0.0,0.0
8.0,4.0,44.717674,0.73345,0.8628125,0.0,0.0
9.0,4.0,36.325348,1.0504,0.87504995,0.0,0.0
0.0,5.0,43.749653,0.90984994,0.80508745,0.04575,-0.04575
1.0,5.0,49.67006,1.1959375,0.7841625,0.0151375,-0.0151375
2.0,5.0,39.525974,0.94089997,0.82027507,0.0057874992,-0.0057874992
3.0,5.0,34.715084,1.029275,0.85653746,-0.0017749999,0.0017749999
4.0,5.0,44.597553,0.96096253,0.815575,0.0030375,-0.0030375
5.0,5.0,41.764736,0.8256125,0.8383875,0.0,0.0
6.0,5.0,41.559875,1.0971501,0.84031254,0.0,0.0
7.0,5.0,56.524136,0.98661244,0.80158746,0.0,0.0
8.0,5.0,41.278275,0.73613757,0.8783625,0.0,0.0
9.0,5.0,33.83284,1.035275,0.88073754,0.0,0.0
0.0,6.0,43.21761,0.88425,0.8120625,0.0388125,-0.0388125
1.0,6.0,49.421787,1.1861,0.78790003,0.01135,-0.01135
2.0,6.0,39.12345,0.89404994,0.82272506,0.003325,-0.003325
3.0,6.0,33.96181,0.9547625,0.8592625,-0.0045375,0.0045375
4.0,6.0,44.833675,0.91092503,0.81427497,0.0043500005,-0.0043500005
5.0,6.0,43.259026,0.77304995,0.8318875,0.0065,-0.0065
6.0,6.0,37.592888,0.98456246,0.8552375,0.0,0.0
7.0,6.0,54.9329,0.8869875,0.8060875,0.0,0.0
8.0,6.0,42.966885,0.70011246,0.8688,0.0,0.0
9.0,6.0,34.59069,0.967525,0.8781625,0.0,0.0
0.0,7.0,47.013203,0.93035,0.7972625,0.0536125,-0.0536125
1.0,7.0,51.224037,1.2078875,0.7813249,0.017962499,-0.017962499
2.0,7.0,40.016426,0.93087494,0.8190875,0.0069625,-0.0069625
3.0,7.0,33.82651,0.97101253,0.860175,-0.0054375,0.0054375
4.0,7.0,43.783684,0.9490375,0.820125,-0.001525,0.001525
5.0,7.0,42.02225,0.786175,0.83645,0.0019500001,-0.0019500001
6.0,7.0,36.828312,0.9903875,0.85808754,-0.002875,0.002875
7.0,7.0,48.89488,0.8276124,0.8281875,0.0,0.0
8.0,7.0,41.74109,0.70671254,0.87087494,0.0,0.0
9.0,7.0,32.251225,0.9790375,0.8885125,0.0,0.0
0.0,8.0,48.597317,0.9817375,0.788575,0.0622625,-0.0622625
