training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,253.6058,3.2268,-0.0506
0,1,182.2141,3.7669,0.2078
0,2,158.0049,3.4938,0.3136
0,3,143.5336,3.4869,0.3945
0,4,130.9294,2.8731,0.4556
0,5,120.7081,2.5272,0.5027
0,6,112.4685,2.2839,0.5404
0,7,105.1714,2.0915,0.5661
0,8,100.0975,2.0008,0.5896
0,9,94.8182,1.8654,0.6102
0,10,89.1938,1.7954,0.6356
0,11,85.9541,1.7292,0.6508
0,12,81.7995,1.6729,0.6638
0,13,78.6728,1.5996,0.6766
0,14,74.5407,1.5462,0.6946
0,15,73.1637,1.5166,0.7010
0,16,70.1400,1.4695,0.7144
0,17,67.5531,1.4428,0.7217
0,18,65.9856,1.4025,0.7294
0,19,63.5255,1.3445,0.7396
0,20,61.6859,1.3084,0.7443
0,21,60.2588,1.2455,0.7530
0,22,59.1132,1.2994,0.7556
0,23,57.6511,1.2477,0.7620
0,24,56.4860,1.1851,0.7662
0,25,55.1167,1.1787,0.7693
0,26,54.6632,1.1977,0.7730
0,27,53.1437,1.1639,0.7792
0,28,52.5851,1.1422,0.7807
0,29,52.3334,1.1517,0.7810
0,30,51.6338,1.1419,0.7835
0,31,50.6980,1.1129,0.7881
0,32,49.5173,1.1120,0.7925
0,33,48.7124,1.0934,0.7950
0,34,47.9392,1.0683,0.8006
0,35,47.8957,1.1038,0.7984
0,36,47.4613,1.0521,0.8007
0,37,47.0037,1.0694,0.8015
0,38,46.6160,1.0452,0.8034
0,39,45.7055,1.0262,0.8075
0,40,45.6186,1.0343,0.8087
0,41,44.8884,1.0421,0.8096
0,42,44.3464,1.0315,0.8112
0,43,44.5578,1.0299,0.8122
0,44,43.8673,1.0280,0.8143
0,45,43.4313,1.0121,0.8167
0,46,42.6553,0.9832,0.8189
0,47,42.6976,0.9856,0.8194
0,48,41.4413,0.9932,0.8240
0,49,42.5675,0.9966,0.8188
0,50,41.8664,0.9872,0.8219
0,51,42.4540,0.9717,0.8192
0,52,40.8331,0.9730,0.8280
0,53,40.9662,0.9783,0.8258
0,54,40.1095,0.9880,0.8304
0,55,40.3026,0.9862,0.8279
0,56,39.9608,0.9470,0.8303
0,57,39.5580,0.9473,0.8317
0,58,39.3877,0.9395,0.8320
0,59,38.8112,0.9483,0.8345
0,60,39.0680,0.9366,0.8345
