training_exp,epoch,lr,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,331.7553,1.0855,-0.3063
0,1,0.002,248.6104,2.2523,0.0179
0,2,0.002,208.6422,3.9204,0.0824
0,3,0.002,191.8434,3.9108,0.1754
0,4,0.002,176.9893,3.5125,0.2296
0,5,0.002,166.0365,3.7793,0.2752
0,6,0.002,158.2429,3.7868,0.3125
0,7,0.002,151.1726,3.5445,0.3476
0,8,0.002,145.9340,3.4856,0.3768
0,9,0.002,142.5068,3.3993,0.3984
0,10,0.002,138.3147,3.1977,0.4201
0,11,0.002,135.2424,3.1611,0.4360
0,12,0.002,132.3014,2.9757,0.4512
0,13,0.002,129.2375,2.8894,0.4656
0,14,0.002,126.5540,2.7129,0.4757
0,15,0.002,124.3885,2.6113,0.4847
0,16,0.002,121.2796,2.5081,0.4974
0,17,0.002,119.6214,2.4091,0.5060
0,18,0.002,116.1392,2.2744,0.5203
0,19,0.002,113.1559,2.1818,0.5319
0,20,0.002,111.3672,2.0888,0.5404
0,21,0.002,108.5579,2.0017,0.5500
0,22,0.002,105.7377,1.9642,0.5628
0,23,0.002,103.8541,1.9013,0.5705
0,24,0.002,103.0709,1.8743,0.5712
0,25,0.002,100.7115,1.7897,0.5843
0,26,0.002,98.5439,1.7595,0.5932
0,27,0.002,96.8827,1.7245,0.5970
0,28,0.002,96.0829,1.6711,0.6037
0,29,0.002,93.9074,1.7195,0.6120
0,30,0.002,92.2653,1.6648,0.6209
0,31,0.002,90.8511,1.6654,0.6257
0,32,0.002,88.9843,1.6463,0.6347
0,33,0.002,86.8383,1.6165,0.6431
0,34,0.002,86.7995,1.5912,0.6469
0,35,0.002,85.7651,1.5569,0.6481
0,36,0.002,84.5095,1.5631,0.6501
0,37,0.002,84.1426,1.5718,0.6532
0,38,0.002,83.0868,1.5313,0.6584
0,39,0.002,80.8167,1.5359,0.6685
0,40,0.002,80.9129,1.5315,0.6669
0,41,0.002,79.0229,1.4565,0.6736
0,42,0.002,80.1036,1.5189,0.6710
0,43,0.002,79.1584,1.5168,0.6721
