eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,26.41125,0.549075,0.88618755,0.0,0.0
1.0,0.0,64.33376,0.921025,0.7449375,0.0,0.0
2.0,0.0,56.06765,0.788925,0.7719,0.0,0.0
3.0,0.0,59.427017,1.0117875,0.76911247,0.0,0.0
4.0,0.0,79.25115,0.9559251,0.6963874,0.0,0.0
5.0,0.0,74.59621,0.8459,0.7419125,0.0,0.0
6.0,0.0,66.61861,1.0501499,0.7665,0.0,0.0
7.0,0.0,87.24418,0.9946125,0.7146125,0.0,0.0
8.0,0.0,71.15141,0.88986254,0.7944875,0.0,0.0
9.0,0.0,62.38219,1.1610124,0.7943125,0.0,0.0
0.0,1.0,26.420464,0.6109375,0.88670003,-0.000525,0.000525
1.0,1.0,49.575287,1.0116625,0.7926,0.0,0.0
2.0,1.0,44.305077,0.9051125,0.8126875,0.0,0.0
3.0,1.0,48.288372,1.1646874,0.807775,0.0,0.0
4.0,1.0,63.488586,1.0806,0.75235,0.0,0.0
5.0,1.0,57.99849,0.96418756,0.7891375,0.0,0.0
6.0,1.0,52.743687,1.2064999,0.8071875,0.0,0.0
7.0,1.0,71.12011,1.1506125,0.761275,0.0,0.0
8.0,1.0,54.7701,0.9935125,0.835675,0.0,0.0
9.0,1.0,46.845436,1.4627,0.83923745,0.0,0.0
0.0,2.0,27.805988,0.6253875,0.8812375,0.0049500004,-0.0049500004
1.0,2.0,48.060898,1.0481375,0.79742503,-0.0048125,0.0048125
2.0,2.0,38.74305,0.8676625,0.83423746,0.0,0.0
3.0,2.0,46.2883,1.095025,0.814125,0.0,0.0
4.0,2.0,59.909924,1.04105,0.7634625,0.0,0.0
5.0,2.0,54.59375,0.90540004,0.8010125,0.0,0.0
6.0,2.0,49.47501,1.1140375,0.81665,0.0,0.0
7.0,2.0,67.94671,1.0607876,0.76907504,0.0,0.0
8.0,2.0,51.085953,0.926225,0.843225,0.0,0.0
9.0,2.0,44.535927,1.3969501,0.8458375,0.0,0.0
0.0,3.0,30.56805,0.625925,0.8693125,0.0168625,-0.0168625
1.0,3.0,48.667263,0.97670007,0.79433745,-0.0017249999,0.0017249999
2.0,3.0,39.321964,0.80363744,0.83094996,0.0032875002,-0.0032875002
3.0,3.0,35.893986,0.9294625,0.85701245,0.0,0.0
4.0,3.0,52.94422,0.91596246,0.791575,0.0,0.0
5.0,3.0,53.32885,0.80376256,0.80078745,0.0,0.0
6.0,3.0,46.40919,0.98775005,0.82615006,0.0,0.0
7.0,3.0,63.589195,0.94017506,0.78385,0.0,0.0
8.0,3.0,48.615967,0.8377375,0.84805,0.0,0.0
9.0,3.0,40.79515,1.2605001,0.8585375,0.0,0.0
0.0,4.0,35.05429,0.70675,0.8519875,0.034225002,-0.034225002
1.0,4.0,51.150337,1.0125,0.78631246,0.0063125,-0.0063125
2.0,4.0,38.272797,0.8248875,0.83315,0.0010874999,-0.0010874999
3.0,4.0,32.66909,0.922125,0.86873746,-0.01175,0.01175
4.0,4.0,39.000175,0.85985,0.8417375,0.0,0.0
5.0,4.0,47.51954,0.79684997,0.820575,0.0,0.0
6.0,4.0,40.754585,1.0108751,0.8437625,0.0,0.0
7.0,4.0,58.425938,0.9094625,0.7982375,0.0,0.0
8.0,4.0,42.681934,0.8082125,0.8621875,0.0,0.0
9.0,4.0,35.555527,1.2055624,0.87588745,0.0,0.0
0.0,5.0,40.197712,0.8223999,0.8251126,0.061075,-0.061075
1.0,5.0,53.315685,1.187675,0.77283746,0.0197875,-0.0197875
2.0,5.0,39.611347,0.8851,0.82725,0.0070000007,-0.0070000007
3.0,5.0,33.120026,1.03325,0.86595,-0.00895,0.00895
4.0,5.0,41.10219,0.95068747,0.8358625,0.0058875,-0.0058875
5.0,5.0,40.3277,0.7759375,0.84411246,0.0,0.0
6.0,5.0,38.627686,1.0294,0.8517,0.0,0.0
7.0,5.0,55.40605,0.955125,0.8085625,0.0,0.0
8.0,5.0,39.102863,0.8269875,0.8765125,0.0,0.0
9.0,5.0,31.307238,1.2939875,0.8897625,0.0,0.0
0.0,6.0,40.589836,0.8083125,0.8248375,0.061337497,-0.061337497
