training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,255.1635,3.2992,-0.0494
0,1,184.5185,3.7198,0.2196
0,2,159.3904,3.5945,0.3295
0,3,144.9255,3.5544,0.4009
0,4,132.4591,2.8929,0.4576
0,5,121.9399,2.5782,0.5004
0,6,113.8632,2.3240,0.5353
0,7,107.8490,2.1583,0.5596
0,8,102.2240,2.0713,0.5823
0,9,96.9725,1.9405,0.6062
0,10,92.4138,1.8462,0.6233
0,11,88.7914,1.7976,0.6382
0,12,85.0979,1.7304,0.6533
0,13,80.4027,1.6551,0.6713
0,14,77.7585,1.6291,0.6846
0,15,74.8166,1.5859,0.6975
0,16,72.1534,1.5229,0.7071
0,17,69.3448,1.4829,0.7176
0,18,68.0662,1.4405,0.7211
0,19,64.4246,1.3769,0.7353
0,20,63.5051,1.3277,0.7404
0,21,62.1078,1.3383,0.7428
0,22,60.7657,1.3208,0.7497
0,23,58.6482,1.2500,0.7588
0,24,58.0474,1.2393,0.7595
0,25,56.5372,1.2255,0.7660
0,26,55.0279,1.2339,0.7709
0,27,55.4490,1.1773,0.7696
0,28,53.5634,1.1654,0.7775
0,29,52.7143,1.1319,0.7791
0,30,51.8761,1.1197,0.7833
0,31,51.4740,1.1409,0.7832
0,32,50.1976,1.1139,0.7893
0,33,49.2877,1.1044,0.7931
0,34,49.0456,1.0803,0.7930
0,35,48.5538,1.0769,0.7969
0,36,48.3102,1.0834,0.7964
0,37,47.2190,1.0627,0.8013
0,38,46.8210,1.0531,0.8023
0,39,46.3514,1.0384,0.8055
0,40,45.5909,1.0332,0.8066
0,41,45.0791,1.0402,0.8103
0,42,45.0194,1.0397,0.8097
0,43,44.5549,1.0037,0.8106
0,44,44.2818,1.0291,0.8121
0,45,44.4072,1.0343,0.8131
0,46,43.8488,1.0050,0.8134
0,47,43.0999,1.0299,0.8176
0,48,42.9275,1.0111,0.8180
0,49,42.3191,0.9801,0.8193
0,50,42.0633,0.9756,0.8204
0,51,42.0404,0.9890,0.8208
0,52,41.6310,0.9719,0.8216
0,53,41.5520,0.9636,0.8223
0,54,40.9109,0.9802,0.8254
0,55,40.4703,0.9698,0.8281
0,56,39.7192,0.9650,0.8288
0,57,40.1532,0.9718,0.8287
0,58,39.7029,0.9857,0.8306
0,59,39.6956,0.9392,0.8315
0,60,39.2740,0.9363,0.8308
0,61,39.2553,0.9611,0.8335
0,62,38.6459,0.9479,0.8344
0,63,38.0094,0.9576,0.8375
0,64,38.6461,0.9305,0.8329
0,65,38.8580,0.9484,0.8350
0,66,37.9875,0.9361,0.8373
0,67,37.9194,0.9343,0.8383
0,68,37.1007,0.8926,0.8415
0,69,37.1208,0.9252,0.8411
0,70,37.0734,0.9151,0.8414
0,71,36.8867,0.8928,0.8418
