training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,254.0727,3.5212,-0.0553
0,1,182.5987,3.5932,0.2171
0,2,158.0901,3.6140,0.3218
0,3,143.1956,3.4275,0.3949
0,4,130.8813,2.9175,0.4553
0,5,120.3989,2.5069,0.5032
0,6,112.6410,2.2944,0.5376
0,7,106.5436,2.0657,0.5626
0,8,101.5151,2.0144,0.5861
0,9,95.6888,1.9354,0.6087
0,10,91.5036,1.8257,0.6271
0,11,86.7875,1.7470,0.6469
0,12,83.1874,1.7057,0.6616
0,13,79.8759,1.5762,0.6758
0,14,76.0654,1.5924,0.6901
0,15,73.3571,1.5574,0.7009
0,16,69.8306,1.4816,0.7163
0,17,67.5780,1.4201,0.7239
0,18,64.6682,1.3677,0.7373
0,19,63.5820,1.3405,0.7403
0,20,61.8895,1.3154,0.7450
0,21,60.5965,1.2866,0.7516
0,22,58.5645,1.2637,0.7588
0,23,58.1227,1.2576,0.7597
0,24,55.9065,1.2066,0.7688
0,25,56.1591,1.1976,0.7669
0,26,54.4495,1.1776,0.7722
0,27,53.0704,1.1714,0.7786
0,28,53.4769,1.1162,0.7772
0,29,51.8465,1.1528,0.7821
0,30,51.2485,1.1067,0.7864
0,31,50.9261,1.1134,0.7861
0,32,49.4592,1.0934,0.7925
0,33,49.0320,1.0682,0.7946
0,34,48.2415,1.0676,0.7976
0,35,48.4059,1.0789,0.7958
0,36,47.7004,1.0600,0.7981
0,37,46.0862,1.0291,0.8069
0,38,46.2050,1.0383,0.8053
0,39,45.6540,1.0272,0.8077
0,40,45.6057,1.0287,0.8073
0,41,45.0938,1.0100,0.8093
0,42,44.2815,1.0160,0.8118
0,43,44.3826,0.9744,0.8121
0,44,43.7956,0.9968,0.8154
0,45,42.6374,0.9973,0.8201
0,46,42.4218,0.9525,0.8191
0,47,42.6716,0.9749,0.8201
0,48,42.3628,0.9630,0.8197
0,49,42.4353,0.9828,0.8211
0,50,41.4702,0.9657,0.8243
0,51,41.1355,0.9800,0.8237
0,52,40.5467,0.9292,0.8279
0,53,40.3140,0.9588,0.8295
0,54,40.5252,0.9415,0.8262
0,55,39.2758,0.9673,0.8320
0,56,39.5650,0.9339,0.8307
0,57,39.6936,0.9478,0.8316
0,58,38.8934,0.9583,0.8342
0,59,39.5129,0.9177,0.8307
0,60,38.8090,0.9312,0.8347
0,61,38.5013,0.9322,0.8364
0,62,38.6188,0.8873,0.8352
0,63,38.1694,0.9069,0.8369
0,64,37.8997,0.9140,0.8379
