eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,34.09379,0.70285,0.8519625,0.0,0.0
1.0,0.0,62.877975,1.0728874,0.74895,0.0,0.0
2.0,0.0,54.69101,0.93402505,0.77088755,0.0,0.0
3.0,0.0,54.75174,1.2918,0.78505,0.0,0.0
4.0,0.0,75.93459,1.1926125,0.708925,0.0,0.0
5.0,0.0,73.384285,1.03415,0.74422497,0.0,0.0
6.0,0.0,63.658436,1.31745,0.7770125,0.0,0.0
7.0,0.0,83.85291,1.279075,0.7220626,0.0,0.0
8.0,0.0,67.33494,0.98602504,0.8119,0.0,0.0
9.0,0.0,60.06691,1.38855,0.80056244,0.0,0.0
0.0,1.0,33.892624,0.71489996,0.85455,-0.0026250002,0.0026250002
1.0,1.0,47.175613,1.04935,0.80003744,0.0,0.0
2.0,1.0,44.8874,0.945025,0.80515003,0.0,0.0
3.0,1.0,45.71236,1.2846249,0.81505,0.0,0.0
4.0,1.0,63.006546,1.1780374,0.75255,0.0,0.0
5.0,1.0,59.7552,1.0481,0.78296256,0.0,0.0
6.0,1.0,52.429752,1.33445,0.809325,0.0,0.0
7.0,1.0,70.98749,1.30175,0.759125,0.0,0.0
8.0,1.0,52.93445,0.98546255,0.847025,0.0,0.0
9.0,1.0,45.95295,1.4559625,0.84255004,0.0,0.0
0.0,2.0,34.133537,0.71533746,0.8524,-0.00047499998,0.00047499998
1.0,2.0,47.201385,1.0554625,0.79849994,0.0015250001,-0.0015250001
2.0,2.0,40.337563,0.90792495,0.82447505,0.0,0.0
3.0,2.0,44.93161,1.1858876,0.81737494,0.0,0.0
4.0,2.0,61.05945,1.1376375,0.7577375,0.0,0.0
5.0,2.0,57.9239,0.9992375,0.790975,0.0,0.0
6.0,2.0,51.6914,1.2596625,0.8115625,0.0,0.0
7.0,2.0,69.21971,1.1624875,0.7610625,0.0,0.0
8.0,2.0,52.837337,0.9043625,0.8423,0.0,0.0
9.0,2.0,46.323856,1.35745,0.8395375,0.0,0.0
0.0,3.0,34.853752,0.70265,0.8503249,0.0016375,-0.0016375
1.0,3.0,46.464596,0.99715,0.8023375,-0.0023125,0.0023125
2.0,3.0,40.64794,0.8768375,0.8215624,0.002925,-0.002925
3.0,3.0,39.371075,1.0908749,0.840575,0.0,0.0
4.0,3.0,57.413765,1.0629126,0.7712,0.0,0.0
5.0,3.0,59.247616,0.9500875,0.78019994,0.0,0.0
6.0,3.0,49.209114,1.203325,0.8197125,0.0,0.0
7.0,3.0,66.336235,1.0985376,0.7727,0.0,0.0
8.0,3.0,51.605698,0.866225,0.84267503,0.0,0.0
9.0,3.0,43.940334,1.2895249,0.8505375,0.0,0.0
0.0,4.0,35.642315,0.7472875,0.84669995,0.0052624997,-0.0052624997
1.0,4.0,46.1966,1.0478625,0.803025,-0.002975,0.002975
2.0,4.0,39.490875,0.89161247,0.82421255,0.0002499999,-0.0002499999
3.0,4.0,36.89214,1.1102126,0.8489875,-0.008400001,0.008400001
4.0,4.0,48.972748,1.061625,0.7985,0.0,0.0
5.0,4.0,53.550117,0.9550125,0.79755,0.0,0.0
6.0,4.0,44.914967,1.201175,0.832475,0.0,0.0
7.0,4.0,62.536503,1.085625,0.7832,0.0,0.0
8.0,4.0,46.796524,0.845375,0.8548125,0.0,0.0
9.0,4.0,38.811096,1.2706125,0.86846256,0.0,0.0
0.0,5.0,37.29844,0.8154501,0.83723754,0.014712499,-0.014712499
1.0,5.0,46.859352,1.1329874,0.79929996,0.00073749997,-0.00073749997
2.0,5.0,39.127186,0.92192507,0.8253251,-0.00086250005,0.00086250005
3.0,5.0,37.11927,1.1521375,0.84793746,-0.0073375,0.0073375
4.0,5.0,48.911873,1.0766625,0.7998875,-0.0013875,0.0013875
5.0,5.0,48.019276,0.95612496,0.8178875,0.0,0.0
6.0,5.0,43.343323,1.2193251,0.837025,0.0,0.0
7.0,5.0,60.561157,1.1094375,0.78958756,0.0,0.0
8.0,5.0,43.367764,0.84127504,0.86955005,0.0,0.0
9.0,5.0,36.127953,1.2526,0.87691253,0.0,0.0
0.0,6.0,37.14841,0.80762506,0.83862495,0.013337499,-0.013337499
1.0,6.0,46.710255,1.129275,0.80025,-0.00019999997,0.00019999997
2.0,6.0,39.29309,0.9147875,0.82471246,-0.00026250002,0.00026250002
3.0,6.0,36.912403,1.1357625,0.8486625,-0.0080875,0.0080875
4.0,6.0,48.990997,1.0604125,0.79941255,-0.00092500006,0.00092500006
5.0,6.0,48.1847,0.9388,0.81618744,0.0016875002,-0.0016875002
6.0,6.0,41.391502,1.1849625,0.8448625,0.0,0.0
7.0,6.0,59.821877,1.0706875,0.7923626,0.0,0.0
8.0,6.0,43.92664,0.82641256,0.8669125,0.0,0.0
9.0,6.0,35.817886,1.2290125,0.87785,0.0,0.0
0.0,7.0,38.506577,0.81842506,0.833125,0.0188375,-0.0188375
1.0,7.0,47.350677,1.132875,0.79782504,0.0022125002,-0.0022125002
2.0,7.0,39.135513,0.9205375,0.825475,-0.001,0.001
3.0,7.0,37.090725,1.1184876,0.847825,-0.007225,0.007225
4.0,7.0,48.767384,1.055325,0.8006625,-0.0021625,0.0021625
5.0,7.0,47.521725,0.9350875,0.81837493,-0.00042499986,0.00042499986
6.0,7.0,40.82734,1.1631876,0.84679997,-0.0019500001,0.0019500001
7.0,7.0,56.88929,1.021875,0.8025125,0.0,0.0
8.0,7.0,43.529015,0.817075,0.86761254,0.0,0.0
9.0,7.0,34.42816,1.1971376,0.88326246,0.0,0.0
0.0,8.0,39.383514,0.837225,0.82855,0.0234125,-0.0234125
1.0,8.0,48.253227,1.1305876,0.7941,0.0059375,-0.0059375
2.0,8.0,39.49614,0.91068745,0.82391256,0.00056250003,-0.00056250003
3.0,8.0,37.853012,1.1038625,0.8445625,-0.0039999997,0.0039999997
4.0,8.0,49.226322,1.038,0.79943746,-0.00090000004,0.00090000004
5.0,8.0,46.9405,0.9097625,0.82113755,-0.0032500003,0.0032500003
6.0,8.0,40.78685,1.1268501,0.846775,-0.0019124998,0.0019124998
7.0,8.0,57.40045,0.999175,0.801275,0.001225,-0.001225
8.0,8.0,40.38866,0.7787375,0.87924993,0.0,0.0
9.0,8.0,33.666462,1.1315875,0.88611245,0.0,0.0
0.0,9.0,39.557728,0.8191376,0.82833755,0.023625,-0.023625
1.0,9.0,48.481064,1.0941,0.7938875,0.0061375005,-0.0061375005
2.0,9.0,40.034634,0.87506247,0.8230875,0.0013875,-0.0013875
3.0,9.0,38.743637,1.0475625,0.84230006,-0.0017250001,0.0017250001
4.0,9.0,50.52869,0.9816625,0.794925,0.0035624998,-0.0035624998
5.0,9.0,48.39985,0.8641875,0.81752497,0.00037499997,-0.00037499997
6.0,9.0,42.027687,1.06745,0.84347504,0.0013874999,-0.0013874999
7.0,9.0,58.836575,0.948125,0.7974375,0.0050749998,-0.0050749998
8.0,9.0,41.87509,0.7465,0.874725,0.0045625,-0.0045625
9.0,9.0,33.39755,1.0147749,0.887175,0.0,0.0
