eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.50379187,0.006478034,0.002059689,0.0,0.0
0.0,0.0,0.79604936,0.017851384,0.0030618655,0.0,0.0
0.0,0.0,0.89860153,0.015552389,0.004029404,0.0,0.0
0.0,0.0,1.2663983,0.052968904,0.005601332,0.0,0.0
0.0,0.0,2.0538945,0.038922742,0.007778307,0.0,0.0
0.0,0.0,2.6192737,0.031011483,0.006596724,0.0,0.0
0.0,0.0,1.4165742,0.04295241,0.004649585,0.0,0.0
0.0,0.0,2.7064004,0.06256677,0.007136159,0.0,0.0
0.0,0.0,3.8852842,0.0521398,0.009923336,0.0,0.0
0.0,0.0,4.3523927,0.09594802,0.012823301,0.0,0.0
0.0,0.0,0.28052667,0.013448236,0.0013937323,0.0013781781,0.0013781781
0.0,0.0,0.8406668,0.013018358,0.0028783425,0.0,0.0
0.0,0.0,0.6121022,0.019601718,0.0032496098,0.0,0.0
0.0,0.0,1.210472,0.031597227,0.005238328,0.0,0.0
0.0,0.0,1.4303113,0.032492954,0.005936752,0.0,0.0
0.0,0.0,1.2612998,0.034558225,0.00398621,0.0,0.0
0.0,0.0,0.7115849,0.04012337,0.0027891456,0.0,0.0
0.0,0.0,1.4282533,0.033639986,0.004360836,0.0,0.0
0.0,0.0,2.401433,0.058925834,0.007280399,0.0,0.0
0.0,0.0,2.9698386,0.10525501,0.010683284,0.0,0.0
0.0,0.0,0.5867671,0.015507008,0.0028279822,0.0019324531,0.0019324531
0.0,0.0,0.39523765,0.023693915,0.0012288268,0.0026859588,0.0026859588
0.0,0.0,0.9228214,0.01610689,0.0044279527,0.0,0.0
0.0,0.0,1.3602742,0.051092856,0.006072425,0.0,0.0
0.0,0.0,2.3432336,0.03212592,0.009518528,0.0,0.0
0.0,0.0,1.4762651,0.01105281,0.005137795,0.0,0.0
0.0,0.0,1.1009645,0.02183425,0.0046381378,0.0,0.0
0.0,0.0,1.1350968,0.0488012,0.003919809,0.0,0.0
0.0,0.0,1.8736387,0.041769985,0.005849143,0.0,0.0
0.0,0.0,2.7833436,0.09160902,0.010404921,0.0,0.0
0.0,0.0,0.4428247,0.0160979,0.0023757785,0.0012717483,0.0012717483
0.0,0.0,1.1234047,0.027058117,0.0047919014,0.0035501542,0.0035501542
0.0,0.0,1.1390234,0.014164571,0.0043780627,0.00448797,0.00448797
0.0,0.0,1.8669082,0.019545222,0.007998705,0.0,0.0
0.0,0.0,2.0301697,0.012071582,0.008589671,0.0,0.0
0.0,0.0,2.054636,0.015995424,0.008570304,0.0,0.0
0.0,0.0,1.3498796,0.030437104,0.0055250456,0.0,0.0
0.0,0.0,1.1456231,0.02608384,0.0028870439,0.0,0.0
0.0,0.0,2.7620044,0.03884631,0.009690429,0.0,0.0
0.0,0.0,1.4708594,0.08470245,0.004819215,0.0,0.0
0.0,0.0,0.728472,0.02419258,0.003678991,0.0024964663,0.0024964663
0.0,0.0,0.7294071,0.0351827,0.00315347,0.0028344973,0.0028344973
0.0,0.0,0.8077937,0.022047816,0.003272014,0.00455604,0.00455604
0.0,0.0,1.641844,0.021391792,0.007112562,0.0038884443,0.0038884443
0.0,0.0,1.9437186,0.01908578,0.008173743,0.0,0.0
0.0,0.0,1.5848007,0.02501296,0.005812917,0.0,0.0
0.0,0.0,1.0710685,0.04231694,0.0038809676,0.0,0.0
