training_exp,epoch,lr,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,331.8902,1.0955,-0.3073
0,1,0.002,249.0294,2.2618,0.0143
0,2,0.002,208.7777,3.8740,0.0805
0,3,0.002,191.5296,3.9214,0.1737
0,4,0.002,177.7940,3.5615,0.2257
0,5,0.002,165.6252,3.7815,0.2776
0,6,0.002,158.2825,3.7636,0.3101
0,7,0.002,151.8134,3.5102,0.3415
0,8,0.002,145.4318,3.5488,0.3777
0,9,0.002,141.4432,3.3633,0.3997
0,10,0.002,138.7778,3.1627,0.4170
0,11,0.002,135.0268,3.1731,0.4358
0,12,0.002,132.6218,2.9616,0.4470
0,13,0.002,129.2043,2.9035,0.4643
0,14,0.002,127.0056,2.7456,0.4757
0,15,0.002,124.8187,2.5958,0.4836
0,16,0.002,121.5872,2.5070,0.4969
0,17,0.002,119.2871,2.3814,0.5048
0,18,0.002,115.6982,2.2875,0.5210
0,19,0.002,113.7311,2.1938,0.5308
0,20,0.002,111.3321,2.0402,0.5397
0,21,0.002,107.7822,2.0401,0.5530
0,22,0.002,105.0639,1.9511,0.5651
0,23,0.002,105.0925,1.9124,0.5641
0,24,0.002,103.3293,1.8320,0.5708
0,25,0.002,100.4281,1.7705,0.5840
0,26,0.002,98.6115,1.7507,0.5933
0,27,0.002,97.2828,1.7434,0.5950
0,28,0.002,95.3591,1.6683,0.6064
0,29,0.002,94.5014,1.6713,0.6110
0,30,0.002,93.3177,1.6998,0.6130
0,31,0.002,91.6122,1.6203,0.6207
0,32,0.002,90.6827,1.6431,0.6263
0,33,0.002,89.3398,1.5618,0.6326
0,34,0.002,87.6692,1.5777,0.6402
0,35,0.002,86.0941,1.5790,0.6464
0,36,0.002,84.8141,1.5158,0.6510
0,37,0.002,84.8182,1.6204,0.6488
0,38,0.002,85.0355,1.5482,0.6507
0,39,0.002,82.0836,1.5452,0.6626
0,40,0.002,81.9551,1.5093,0.6626
0,41,0.002,80.7566,1.5627,0.6659
0,42,0.002,78.4646,1.5039,0.6761
0,43,0.002,78.8374,1.4925,0.6743
0,44,0.002,78.7079,1.4831,0.6745
0,45,0.002,77.3808,1.4767,0.6830
0,46,0.002,76.4388,1.4408,0.6834
0,47,0.002,75.3835,1.4766,0.6901
0,48,0.002,73.9998,1.4750,0.6948
0,49,0.002,74.1731,1.4559,0.6945
0,50,0.002,74.0221,1.4472,0.6918
0,51,0.002,72.8503,1.3896,0.6976
0,52,0.002,72.4989,1.4262,0.6976
0,53,0.002,71.7263,1.4323,0.7041
0,54,0.002,70.3308,1.3943,0.7078
0,55,0.002,70.4471,1.3702,0.7080
0,56,0.002,70.7863,1.3890,0.7065
0,57,0.002,68.9186,1.3492,0.7138
0,58,0.002,68.7373,1.3704,0.7157
0,59,0.002,68.8606,1.3746,0.7137
0,60,0.002,68.1655,1.3205,0.7170
0,61,0.002,67.0940,1.3418,0.7196
0,62,0.002,67.1244,1.3663,0.7205
0,63,0.002,67.3106,1.3168,0.7189
0,64,0.002,65.9932,1.3321,0.7239
0,65,0.002,65.6287,1.3386,0.7262
0,66,0.002,64.9392,1.3407,0.7297
0,67,0.002,65.6662,1.3621,0.7274
0,68,0.002,64.4541,1.3436,0.7312
0,69,0.002,63.7414,1.3309,0.7344
0,70,0.002,63.5025,1.3107,0.7352
0,71,0.002,63.0390,1.3083,0.7354
0,72,0.002,63.0085,1.2446,0.7337
0,73,0.002,62.9564,1.2815,0.7356
0,74,0.002,61.8993,1.3151,0.7403
0,75,0.002,62.0516,1.2735,0.7396
0,76,0.002,61.2705,1.3008,0.7441
0,77,0.002,60.6746,1.3070,0.7450
0,78,0.002,60.9180,1.2521,0.7446
0,79,0.002,60.2255,1.2564,0.7463
0,80,0.002,60.2018,1.3005,0.7482
0,81,0.002,59.9229,1.2492,0.7486
0,82,0.002,60.1525,1.2344,0.7464
0,83,0.002,58.2656,1.2523,0.7546
0,84,0.002,59.1113,1.2471,0.7539
0,85,0.002,58.8678,1.2305,0.7510
0,86,0.002,58.8260,1.2225,0.7546
0,87,0.002,57.9733,1.2568,0.7543
0,88,0.002,57.9600,1.2545,0.7558
0,89,0.002,57.1198,1.2171,0.7591
0,90,0.002,58.3932,1.2084,0.7526
0,91,0.002,57.1202,1.2459,0.7581
0,92,0.002,56.6534,1.2199,0.7619
0,93,0.002,56.6151,1.2295,0.7607
0,94,0.002,56.3327,1.2224,0.7640
0,95,0.002,56.3376,1.2210,0.7628
0,96,0.002,55.8699,1.2138,0.7637
0,97,0.002,56.5375,1.2258,0.7629
0,98,0.002,55.9426,1.2097,0.7637
0,99,0.002,55.9091,1.2077,0.7639
0,100,0.002,55.3871,1.1740,0.7650
0,101,0.002,54.9806,1.2109,0.7655
0,102,0.002,54.3650,1.2026,0.7682
0,103,0.002,55.2455,1.2037,0.7649
0,104,0.002,54.6481,1.1807,0.7676
0,105,0.002,54.7858,1.2097,0.7681
0,106,0.002,53.8760,1.1558,0.7698
0,107,0.002,53.8808,1.1568,0.7721
0,108,0.002,55.4038,1.1731,0.7653
0,109,0.002,53.5092,1.1744,0.7730
0,110,0.002,52.9821,1.1438,0.7747
0,111,0.002,53.1500,1.1527,0.7751
0,112,0.002,53.0520,1.1479,0.7738
0,113,0.002,53.5957,1.1991,0.7728
0,114,0.002,52.7284,1.1735,0.7762
0,115,0.002,53.2140,1.1598,0.7734
0,116,0.002,52.9551,1.1840,0.7730
0,117,0.002,52.6119,1.1727,0.7758
0,118,0.002,52.3084,1.2238,0.7794
0,119,0.002,52.5406,1.1822,0.7747
0,120,0.002,52.0175,1.1455,0.7780
0,121,0.002,52.6802,1.1458,0.7763
0,122,0.002,51.2064,1.0986,0.7813
0,123,0.002,52.0469,1.1556,0.7796
0,124,0.002,51.3243,1.1398,0.7812
0,125,0.002,51.0946,1.1586,0.7833
0,126,0.002,51.7883,1.1741,0.7787
0,127,0.002,50.4584,1.1452,0.7856
0,128,0.002,51.7402,1.1423,0.7781
0,129,0.002,51.2058,1.1519,0.7831
0,130,0.002,50.7672,1.1417,0.7828
0,131,0.002,50.6666,1.1228,0.7849
0,132,0.002,51.1957,1.1103,0.7826
0,133,0.002,51.3835,1.1586,0.7817
0,134,0.002,49.7156,1.1423,0.7874
0,135,0.002,49.9050,1.1477,0.7887
0,136,0.002,50.8982,1.1185,0.7840
0,137,0.002,50.0877,1.1492,0.7868
0,138,0.002,50.8057,1.1869,0.7852
0,139,0.002,49.7117,1.1144,0.7880
0,140,0.002,49.4163,1.1101,0.7869
0,141,0.002,49.9090,1.1157,0.7865
0,142,0.002,49.0217,1.1471,0.7907
0,143,0.002,49.5835,1.1190,0.7894
0,144,0.002,48.9624,1.1027,0.7901
0,145,0.002,48.9696,1.1440,0.7876
0,146,0.002,50.0598,1.1318,0.7852
0,147,0.002,48.5407,1.1437,0.7938
0,148,0.002,48.5243,1.1200,0.7912
0,149,0.002,49.1000,1.0869,0.7900
0,150,0.002,48.0200,1.1254,0.7968
0,151,0.002,48.3871,1.1221,0.7938
0,152,0.002,48.6995,1.1051,0.7927
0,153,0.002,48.2888,1.1044,0.7925
0,154,0.002,48.2017,1.1011,0.7945
0,155,0.002,48.0568,1.0918,0.7937
0,156,0.002,47.3754,1.1011,0.7964
0,157,0.002,47.4430,1.1215,0.7967
0,158,0.002,48.4653,1.1156,0.7916
0,159,0.002,47.1943,1.0754,0.7969
0,160,0.002,46.4188,1.1171,0.8013
0,161,0.002,47.1766,1.0835,0.7978
0,162,0.002,47.5142,1.1146,0.7962
0,163,0.002,47.2120,1.0912,0.7992
0,164,0.002,47.5971,1.0997,0.7955
0,165,0.002,47.3364,1.0838,0.7970
0,166,0.002,46.5252,1.0597,0.8017
0,167,0.002,47.3155,1.0929,0.7968
0,168,0.002,47.4469,1.1081,0.7967
0,169,0.002,46.9881,1.0773,0.8021
0,170,0.002,46.7994,1.0989,0.7995
