eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,25.515614,0.52481246,0.8887875,0.0,0.0
1.0,0.0,64.70081,0.8699625,0.7434375,0.0,0.0
2.0,0.0,57.272247,0.75067496,0.766675,0.0,0.0
3.0,0.0,61.051308,0.9641125,0.762625,0.0,0.0
4.0,0.0,81.13106,0.904875,0.6898,0.0,0.0
5.0,0.0,77.51869,0.8098,0.7317,0.0,0.0
6.0,0.0,67.87992,0.9997625,0.7621375,0.0,0.0
7.0,0.0,88.90466,0.95825,0.7099,0.0,0.0
8.0,0.0,73.907036,0.84993756,0.78695,0.0,0.0
9.0,0.0,64.932915,1.1131375,0.784575,0.0,0.0
0.0,1.0,25.641314,0.5498875,0.88968754,-0.0009000001,0.0009000001
1.0,1.0,38.819664,0.83241254,0.8305126,0.0,0.0
2.0,1.0,41.21134,0.77928746,0.82432497,0.0,0.0
3.0,1.0,44.484276,1.0155125,0.8216375,0.0,0.0
4.0,1.0,57.8742,0.9267875,0.77325,0.0,0.0
5.0,1.0,55.97318,0.8410125,0.79508746,0.0,0.0
6.0,1.0,49.134212,1.0433999,0.8189,0.0,0.0
7.0,1.0,67.16884,1.0411875,0.7748,0.0,0.0
8.0,1.0,51.584373,0.9141125,0.8431875,0.0,0.0
9.0,1.0,45.621147,1.2135499,0.8425375,0.0,0.0
0.0,2.0,27.082888,0.5571375,0.88392496,0.0048625,-0.0048625
1.0,2.0,40.33945,0.85222495,0.82315,0.0073624994,-0.0073624994
2.0,2.0,32.172287,0.705175,0.8600125,0.0,0.0
3.0,2.0,41.399124,0.90615,0.8305875,0.0,0.0
4.0,2.0,53.691177,0.85916245,0.7851,0.0,0.0
5.0,2.0,53.912937,0.7699875,0.8015375,0.0,0.0
6.0,2.0,47.669113,0.9446626,0.82132506,0.0,0.0
7.0,2.0,64.461136,0.8634,0.78029996,0.0,0.0
8.0,2.0,51.02265,0.79142505,0.83941257,0.0,0.0
9.0,2.0,48.618828,1.1040374,0.83031255,0.0,0.0
0.0,3.0,32.5676,0.5840125,0.859875,0.0288875,-0.0288875
1.0,3.0,45.43595,0.8410875,0.804225,0.026275,-0.026275
2.0,3.0,35.262863,0.7223624,0.84599996,0.0140125,-0.0140125
3.0,3.0,26.793888,0.8092125,0.8908625,0.0,0.0
4.0,3.0,45.25495,0.81987494,0.82027495,0.0,0.0
5.0,3.0,49.97095,0.75025,0.80913746,0.0,0.0
6.0,3.0,43.17515,0.9275501,0.83634996,0.0,0.0
7.0,3.0,58.318245,0.8456875,0.8004625,0.0,0.0
8.0,3.0,46.087585,0.775775,0.85135,0.0,0.0
9.0,3.0,40.49821,1.1193626,0.85818756,0.0,0.0
0.0,4.0,33.695362,0.62409997,0.8575875,0.031174999,-0.031174999
1.0,4.0,46.84966,0.8763374,0.80219996,0.0283125,-0.0283125
2.0,4.0,34.984188,0.732025,0.8461375,0.013875,-0.013875
3.0,4.0,27.22455,0.80890006,0.8888375,0.002025,-0.002025
4.0,4.0,34.75946,0.7683,0.8577,0.0,0.0
5.0,4.0,46.648514,0.7384625,0.8205375,0.0,0.0
6.0,4.0,40.25996,0.92950004,0.84455,0.0,0.0
7.0,4.0,56.308212,0.81806254,0.805575,0.0,0.0
8.0,4.0,43.726463,0.758325,0.85628754,0.0,0.0
9.0,4.0,37.266586,1.0786126,0.8686,0.0,0.0
0.0,5.0,37.976624,0.6820625,0.8345375,0.05425,-0.05425
1.0,5.0,47.610886,0.9312124,0.79487497,0.03565,-0.03565
2.0,5.0,36.194187,0.76252496,0.84035,0.019675,-0.019675
3.0,5.0,27.877201,0.8558375,0.885625,0.0052375006,-0.0052375006
4.0,5.0,37.064487,0.7994625,0.851125,0.0065874998,-0.0065874998
5.0,5.0,38.114285,0.7128625,0.8509375,0.0,0.0
6.0,5.0,37.73354,0.932375,0.85515,0.0,0.0
7.0,5.0,51.915154,0.83165,0.820775,0.0,0.0
8.0,5.0,38.714523,0.753825,0.87565,0.0,0.0
9.0,5.0,31.258627,1.10045,0.8887125,0.0,0.0
0.0,6.0,37.889023,0.68068755,0.8361875,0.0525875,-0.0525875
1.0,6.0,47.411453,0.92761254,0.7963625,0.0341375,-0.0341375
2.0,6.0,35.420628,0.7504375,0.8427749,0.0172375,-0.0172375
3.0,6.0,28.905262,0.84797496,0.881725,0.0091625,-0.0091625
4.0,6.0,38.33866,0.7902125,0.84595007,0.01175,-0.01175
5.0,6.0,38.72626,0.69951254,0.8487875,0.0021374999,-0.0021374999
6.0,6.0,33.34935,0.8699125,0.8744625,0.0,0.0
7.0,6.0,52.11686,0.77341247,0.82037497,0.0,0.0
8.0,6.0,40.706833,0.7566625,0.86865,0.0,0.0
9.0,6.0,30.080063,1.0772125,0.8942125,0.0,0.0
0.0,7.0,40.42425,0.71435,0.8288,0.059975,-0.059975
1.0,7.0,50.331863,0.94944996,0.7865875,0.043925,-0.043925
2.0,7.0,36.890114,0.8065125,0.8373125,0.0226875,-0.0226875
3.0,7.0,30.288612,0.8987,0.8760625,0.014787499,-0.014787499
4.0,7.0,38.801548,0.826275,0.8436125,0.0141375,-0.0141375
5.0,7.0,38.79394,0.7309375,0.8477,0.0032625,-0.0032625
6.0,7.0,33.848038,0.89994997,0.871075,0.0033874998,-0.0033874998
7.0,7.0,44.38458,0.7650375,0.84610003,0.0,0.0
8.0,7.0,40.056965,0.74525005,0.86815,0.0,0.0
9.0,7.0,29.204338,1.0860374,0.897825,0.0,0.0
0.0,8.0,45.041412,0.8748625,0.80012506,0.08865,-0.08865
1.0,8.0,51.887062,1.009825,0.7785125,0.052,-0.052
2.0,8.0,38.300602,0.82555,0.83015007,0.029875,-0.029875
3.0,8.0,31.93084,0.9836125,0.8675875,0.023300001,-0.023300001
4.0,8.0,41.78674,0.8683875,0.8308625,0.026824998,-0.026824998
5.0,8.0,39.63469,0.713475,0.84481245,0.0061375,-0.0061375
6.0,8.0,33.674263,0.8719001,0.8735501,0.00092500006,-0.00092500006
7.0,8.0,48.790176,0.753225,0.830875,0.01525,-0.01525
8.0,8.0,33.64015,0.619775,0.8911375,0.0,0.0
9.0,8.0,28.799889,0.98854995,0.89976245,0.0,0.0
0.0,9.0,44.16651,0.84875,0.806425,0.08235,-0.08235
1.0,9.0,51.2123,0.98364997,0.78256243,0.04795,-0.04795
2.0,9.0,38.11587,0.790025,0.83280003,0.027225,-0.027225
3.0,9.0,33.59505,0.9481375,0.8623625,0.028512498,-0.028512498
4.0,9.0,44.177475,0.8323375,0.8211625,0.036574997,-0.036574997
5.0,9.0,41.884937,0.6649625,0.83825004,0.0127,-0.0127
6.0,9.0,35.325848,0.8045874,0.8679375,0.0065375,-0.0065375
7.0,9.0,50.452175,0.70780003,0.8266875,0.019425,-0.019425
8.0,9.0,37.16929,0.6096,0.87936246,0.0117875,-0.0117875
9.0,9.0,27.522713,0.84540004,0.90376246,0.0,0.0
