training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,253.1851,3.3377,-0.0344
0,1,182.7253,3.6429,0.2248
0,2,158.6102,3.5674,0.3262
0,3,144.7650,3.4272,0.3952
0,4,131.9187,2.9331,0.4574
0,5,122.2279,2.5906,0.5012
0,6,113.7287,2.3456,0.5365
0,7,106.6855,2.1379,0.5659
0,8,100.8603,2.0389,0.5873
0,9,96.7485,1.9454,0.6047
0,10,92.1239,1.8294,0.6242
0,11,87.6125,1.8014,0.6437
0,12,83.6796,1.6932,0.6593
0,13,80.1447,1.6563,0.6749
0,14,77.8004,1.5688,0.6833
0,15,74.0317,1.5591,0.6997
0,16,71.4801,1.4825,0.7097
0,17,68.8727,1.4459,0.7181
0,18,66.4904,1.4115,0.7286
0,19,63.4539,1.3890,0.7412
0,20,62.4838,1.3365,0.7446
0,21,61.8261,1.2987,0.7453
0,22,60.1303,1.2969,0.7511
0,23,58.2187,1.2666,0.7599
0,24,57.1860,1.2417,0.7630
0,25,56.1172,1.2238,0.7671
0,26,55.1835,1.2035,0.7717
0,27,54.3973,1.1987,0.7741
0,28,53.5509,1.1621,0.7783
0,29,52.1383,1.1520,0.7828
0,30,51.6967,1.1425,0.7839
0,31,50.5613,1.1423,0.7890
0,32,50.1078,1.1393,0.7903
0,33,49.7503,1.1287,0.7913
0,34,49.8621,1.0818,0.7915
0,35,48.5668,1.0794,0.7964
0,36,48.5990,1.1006,0.7964
0,37,47.3133,1.0666,0.8023
0,38,46.3329,1.0786,0.8052
0,39,46.7929,1.0740,0.8033
0,40,46.2203,1.0464,0.8039
0,41,45.5622,1.0529,0.8092
0,42,44.7379,1.0563,0.8106
0,43,44.1310,1.0350,0.8130
0,44,44.2168,1.0553,0.8125
0,45,43.6164,1.0273,0.8146
0,46,42.4540,1.0058,0.8199
0,47,42.5549,1.0151,0.8195
0,48,42.1414,1.0165,0.8223
0,49,41.9472,0.9881,0.8217
0,50,42.2378,0.9811,0.8214
0,51,41.7126,0.9838,0.8230
0,52,41.1580,0.9893,0.8262
0,53,40.8836,0.9943,0.8261
0,54,41.0351,0.9926,0.8264
0,55,41.3672,0.9737,0.8241
0,56,40.4783,0.9625,0.8274
0,57,40.5331,0.9672,0.8279
0,58,39.7728,0.9848,0.8293
0,59,39.6006,0.9570,0.8307
0,60,38.6075,0.9646,0.8363
0,61,38.7163,0.9494,0.8348
0,62,38.9993,0.9244,0.8335
0,63,39.2064,0.9500,0.8334
0,64,37.8607,0.9479,0.8391
0,65,38.3679,0.9190,0.8358
0,66,38.2861,0.9314,0.8361
0,67,38.6668,0.9201,0.8348
0,68,37.4671,0.9260,0.8396
0,69,36.6643,0.9054,0.8430
0,70,36.9997,0.9290,0.8430
0,71,37.2186,0.9140,0.8401
0,72,36.3793,0.9064,0.8444
0,73,36.4569,0.9015,0.8436
0,74,36.5485,0.9112,0.8438
0,75,36.6276,0.9196,0.8425
0,76,36.3956,0.8985,0.8432
0,77,36.1927,0.8947,0.8461
0,78,35.3989,0.8999,0.8496
0,79,35.2963,0.8950,0.8479
0,80,35.7386,0.8703,0.8473
0,81,35.6930,0.8712,0.8464
0,82,35.3370,0.8744,0.8495
0,83,34.8237,0.9133,0.8504
