eval_exp,training_exp,Loss_Exp,Time_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,25.154,0.3355,0.523875,0.889875,0.0,0.0
1.0,0.0,64.199356,0.262025,0.88269997,0.74784994,0.0,0.0
2.0,0.0,56.46605,0.23807502,0.76867497,0.768575,0.0,0.0
3.0,0.0,61.663902,0.336275,0.9842,0.76189995,0.0,0.0
4.0,0.0,81.34923,0.12047501,0.9330499,0.69490004,0.0,0.0
5.0,0.0,75.91702,0.12934999,0.837325,0.73725,0.0,0.0
6.0,0.0,66.586,0.153275,1.04855,0.76855,0.0,0.0
7.0,0.0,88.91554,0.15635,0.97174996,0.71327496,0.0,0.0
8.0,0.0,72.973526,0.042725,0.78915,0.799625,0.0,0.0
9.0,0.0,62.69207,0.026250001,0.99375,0.794675,0.0,0.0
0.0,1.0,41.545746,0.297375,0.938675,0.83155,0.058325,-0.058325
1.0,1.0,40.509502,0.41009998,1.4765251,0.83185005,0.0,0.0
2.0,1.0,44.240623,0.269925,1.5340749,0.812425,0.0,0.0
3.0,1.0,52.340275,0.25705,1.94385,0.7949,0.0,0.0
4.0,1.0,63.268497,0.22295,1.976925,0.74915004,0.0,0.0
5.0,1.0,56.89655,0.14475,1.729075,0.789325,0.0,0.0
6.0,1.0,56.840027,0.186075,2.24045,0.791075,0.0,0.0
7.0,1.0,77.45385,0.16239999,2.211175,0.75020003,0.0,0.0
8.0,1.0,55.85645,0.050249998,1.47575,0.8319,0.0,0.0
9.0,1.0,54.793674,0.031525,2.2836251,0.81057495,0.0,0.0
0.0,2.0,45.4219,0.20855,0.924575,0.810825,0.079075,-0.079075
1.0,2.0,46.150623,0.40992498,1.339,0.80759996,0.024249999,-0.024249999
2.0,2.0,32.344704,0.2921,1.14995,0.86142504,0.0,0.0
3.0,2.0,42.2958,0.17897499,1.230575,0.8305,0.0,0.0
4.0,2.0,52.9438,0.16275,1.36695,0.7843,0.0,0.0
5.0,2.0,51.615227,0.11755,1.2267251,0.8076,0.0,0.0
6.0,2.0,47.070602,0.21614999,1.45025,0.8211,0.0,0.0
7.0,2.0,62.36738,0.18885002,1.298325,0.78802496,0.0,0.0
8.0,2.0,49.745575,0.041474998,0.9736,0.8384,0.0,0.0
9.0,2.0,42.960777,0.025600001,1.6473,0.84655,0.0,0.0
0.0,3.0,50.99525,0.21724999,0.9963,0.78865004,0.101224996,-0.101224996
1.0,3.0,56.138298,0.306225,1.408625,0.7693,0.062575,-0.062575
2.0,3.0,39.9398,0.302775,1.3227,0.825825,0.035625003,-0.035625003
3.0,3.0,24.930826,0.21315001,1.3461,0.902475,0.0,0.0
4.0,3.0,43.794827,0.12414999,1.5236499,0.82227504,0.0,0.0
5.0,3.0,51.790924,0.147275,1.4175,0.801975,0.0,0.0
6.0,3.0,43.346375,0.19815,1.6887751,0.83392495,0.0,0.0
