training_exp,epoch,lr,Loss_Epoch,Time_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,255.2744,1.7479,3.2927,-0.0531
0,1,0.002,183.3855,0.7531,3.6130,0.2242
0,2,0.002,159.4759,0.7607,3.5568,0.3251
0,3,0.002,144.1722,0.5651,3.4796,0.3980
0,4,0.002,130.5237,0.7158,2.9088,0.4596
0,5,0.002,120.1548,0.7379,2.5183,0.5071
0,6,0.002,111.3765,0.6165,2.2745,0.5437
0,7,0.002,104.7634,0.6895,2.0471,0.5710
0,8,0.002,99.3896,0.8846,1.9146,0.5934
0,9,0.002,93.9794,0.8376,1.8859,0.6162
0,10,0.002,89.5617,0.5649,1.7798,0.6353
0,11,0.002,85.2531,0.5601,1.7256,0.6533
0,12,0.002,81.2800,0.6825,1.6371,0.6686
0,13,0.002,78.1599,0.7322,1.5863,0.6840
0,14,0.002,74.3174,0.6195,1.4958,0.6971
0,15,0.002,70.8379,0.5596,1.4862,0.7120
0,16,0.002,69.3640,0.7184,1.4458,0.7174
0,17,0.002,67.1268,0.7285,1.4347,0.7256
0,18,0.002,65.2139,0.5095,1.4060,0.7345
0,19,0.002,62.7029,0.5213,1.3894,0.7445
0,20,0.002,61.2423,0.6957,1.2939,0.7495
0,21,0.002,60.0660,0.7348,1.2769,0.7510
0,22,0.002,58.1805,0.5992,1.2592,0.7600
0,23,0.002,56.9261,0.5780,1.2186,0.7652
0,24,0.002,56.5007,0.7768,1.1988,0.7650
0,25,0.002,54.2166,0.7025,1.1693,0.7739
0,26,0.002,54.8251,0.5624,1.1986,0.7719
0,27,0.002,53.2885,0.5995,1.1510,0.7754
0,28,0.002,52.3433,0.7120,1.1348,0.7823
0,29,0.002,51.2716,0.6750,1.1038,0.7866
0,30,0.002,51.3049,0.5656,1.1480,0.7859
0,31,0.002,50.5995,0.5267,1.0993,0.7885
0,32,0.002,49.0379,0.6733,1.1080,0.7961
0,33,0.002,48.3295,0.7166,1.1027,0.7986
0,34,0.002,47.6540,0.5396,1.0762,0.7995
0,35,0.002,47.7338,0.5170,1.0772,0.8000
0,36,0.002,47.2917,0.6852,1.0349,0.8020
0,37,0.002,46.4864,0.7406,1.0651,0.8044
