eval_exp,training_exp,Loss_Exp,Time_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,25.4601,0.311375,0.52095,0.8891001,0.0,0.0
1.0,0.0,65.07045,0.250375,0.876875,0.74532497,0.0,0.0
2.0,0.0,56.898598,0.217875,0.76105,0.7674,0.0,0.0
3.0,0.0,62.439323,0.32322502,0.9835,0.757725,0.0,0.0
4.0,0.0,82.17442,0.114824995,0.9323,0.691075,0.0,0.0
5.0,0.0,76.998474,0.110475,0.830575,0.733875,0.0,0.0
6.0,0.0,68.227554,0.17525,1.0375501,0.762625,0.0,0.0
7.0,0.0,90.595276,0.170075,0.957425,0.70675004,0.0,0.0
8.0,0.0,73.66418,0.051475003,0.78527504,0.79405004,0.0,0.0
9.0,0.0,64.375175,0.026600001,0.9701,0.78957504,0.0,0.0
0.0,1.0,45.79735,0.17065,0.94885,0.807825,0.08127499,-0.08127499
1.0,1.0,51.751526,0.306425,1.48405,0.789325,0.0,0.0
2.0,1.0,50.842003,0.252725,1.136625,0.7855,0.0,0.0
3.0,1.0,55.39245,0.18990001,1.39305,0.777975,0.0,0.0
4.0,1.0,70.570625,0.1025,1.34745,0.72045,0.0,0.0
5.0,1.0,61.288475,0.103324994,1.14495,0.779575,0.0,0.0
6.0,1.0,55.97225,0.213525,1.3984749,0.79657495,0.0,0.0
7.0,1.0,74.18312,0.133,1.31505,0.758525,0.0,0.0
8.0,1.0,60.248302,0.038200002,0.96725,0.82,0.0,0.0
9.0,1.0,54.189377,0.0224,1.578625,0.80892503,0.0,0.0
0.0,2.0,51.276398,0.20365,1.186,0.78867495,0.100425005,-0.100425005
1.0,2.0,56.349022,0.36972502,1.8204751,0.769875,0.019450001,-0.019450001
2.0,2.0,43.10523,0.20770001,1.4599749,0.817775,0.0,0.0
3.0,2.0,51.525826,0.18365,1.9003251,0.79555,0.0,0.0
4.0,2.0,65.684204,0.18519999,1.84175,0.740975,0.0,0.0
5.0,2.0,57.1039,0.099350005,1.461925,0.79289997,0.0,0.0
6.0,2.0,51.51565,0.16675001,1.8020002,0.8129,0.0,0.0
7.0,2.0,68.16027,0.12695,1.654825,0.7748,0.0,0.0
8.0,2.0,57.322147,0.038,1.303675,0.82167494,0.0,0.0
9.0,2.0,51.207153,0.02205,2.3403502,0.82855,0.0,0.0
0.0,3.0,56.911747,0.178675,1.035525,0.7671,0.121975,-0.121975
1.0,3.0,62.265503,0.3496,1.5238001,0.74817497,0.041175,-0.041175
2.0,3.0,48.793,0.30672503,1.37105,0.79337496,0.024375001,-0.024375001
3.0,3.0,33.42765,0.155375,1.5745,0.87332505,0.0,0.0
4.0,3.0,55.740948,0.15027499,1.4716,0.78244996,0.0,0.0
5.0,3.0,59.961895,0.138575,1.3555,0.7815,0.0,0.0
6.0,3.0,52.09625,0.13575,1.687475,0.81095004,0.0,0.0
7.0,3.0,66.32795,0.130475,1.4661,0.783175,0.0,0.0
8.0,3.0,60.24285,0.03995,1.1565,0.81439996,0.0,0.0
9.0,3.0,47.60428,0.024025,1.622,0.837575,0.0,0.0
0.0,4.0,60.12802,0.208725,1.217725,0.763575,0.12555,-0.12555
1.0,4.0,64.536125,0.34007502,1.61825,0.74399996,0.0453,-0.0453
2.0,4.0,49.746574,0.24935,1.6595501,0.78605,0.031675,-0.031675
3.0,4.0,37.612026,0.15252501,1.9449251,0.85662496,0.01675,-0.01675
4.0,4.0,39.24743,0.156775,1.847525,0.84860003,0.0,0.0
5.0,4.0,51.62842,0.15332499,1.63405,0.80765,0.0,0.0
6.0,4.0,44.671623,0.181975,1.975425,0.8337,0.0,0.0
7.0,4.0,59.66633,0.1383,1.7201749,0.80122507,0.0,0.0
8.0,4.0,46.968227,0.039975002,1.3442,0.849475,0.0,0.0
9.0,4.0,41.181477,0.028,2.0640998,0.856375,0.0,0.0
0.0,5.0,69.37165,0.20982501,1.3231,0.7059,0.1832,-0.1832
1.0,5.0,64.6201,0.348675,1.704,0.739625,0.0497,-0.0497
2.0,5.0,50.951775,0.25945002,1.71005,0.776625,0.04115,-0.04115
3.0,5.0,42.8569,0.19257501,2.05965,0.830125,0.043224998,-0.043224998
4.0,5.0,50.611923,0.116675,1.924275,0.79835,0.050274998,-0.050274998
5.0,5.0,43.88533,0.10965,1.682975,0.8365,0.0,0.0
6.0,5.0,44.493523,0.216625,2.135,0.83367497,0.0,0.0
7.0,5.0,57.96617,0.14415,1.7002249,0.80660003,0.0,0.0
8.0,5.0,45.27217,0.077925004,1.354775,0.856125,0.0,0.0
9.0,5.0,38.533524,0.019975,2.27645,0.86494994,0.0,0.0
0.0,6.0,69.575554,0.23377502,1.392475,0.71222496,0.17684999,-0.17684999
1.0,6.0,66.867226,0.3842,1.8251001,0.7299249,0.0594,-0.0594
2.0,6.0,50.293373,0.23795,1.75935,0.782425,0.035325002,-0.035325002
3.0,6.0,44.0093,0.19692501,1.9856501,0.82664996,0.0467,-0.0467
4.0,6.0,49.570026,0.114700004,1.942925,0.80182505,0.04675,-0.04675
5.0,6.0,46.637848,0.115925,1.71645,0.82502496,0.0115,-0.0115
6.0,6.0,40.25135,0.26165,2.126275,0.85175,0.0,0.0
7.0,6.0,57.832,0.13845,1.657025,0.80905,0.0,0.0
8.0,6.0,48.317074,0.0468,1.3543,0.84872496,0.0,0.0
9.0,6.0,36.63975,0.02285,2.1174998,0.86937493,0.0,0.0
0.0,7.0,70.60048,0.21225,1.4029,0.7096,0.1795,-0.1795
1.0,7.0,64.46573,0.34715,1.807775,0.73265004,0.056675,-0.056675
2.0,7.0,50.534477,0.265925,1.829375,0.7779,0.039825,-0.039825
3.0,7.0,45.81725,0.191275,2.1701999,0.810675,0.062675,-0.062675
4.0,7.0,51.796173,0.11125,2.0421999,0.78977495,0.058825,-0.058825
5.0,7.0,48.529675,0.107724994,1.7677251,0.81404996,0.0225,-0.0225
6.0,7.0,42.660946,0.2137,2.226875,0.84005,0.011675,-0.011675
7.0,7.0,51.66533,0.183925,1.711825,0.82862496,0.0,0.0
8.0,7.0,46.629524,0.040575,1.3713751,0.851825,0.0,0.0
9.0,7.0,36.923626,0.02465,2.2683249,0.86597496,0.0,0.0
0.0,8.0,69.26128,0.17922501,1.4497,0.71774995,0.171375,-0.171375
1.0,8.0,63.165405,0.36167496,1.88485,0.75235003,0.036975,-0.036975
2.0,8.0,46.925575,0.212725,1.77405,0.798625,0.01915,-0.01915
3.0,8.0,39.437824,0.18887499,1.954025,0.845225,0.028125,-0.028125
4.0,8.0,50.846775,0.1451,1.811825,0.80367506,0.044925,-0.044925
5.0,8.0,43.00357,0.18055,1.68,0.8391,-0.0025499999,0.0025499999
6.0,8.0,39.300575,0.13932501,2.2482998,0.85265,-0.000875,0.000875
7.0,8.0,53.2504,0.13575,1.6797,0.820875,0.007775,-0.007775
8.0,8.0,32.044525,0.0368,1.1891749,0.9042,0.0,0.0
9.0,8.0,31.1091,0.022475,2.013025,0.890475,0.0,0.0
0.0,9.0,78.95207,0.2438,1.202075,0.6871,0.202,-0.202
1.0,9.0,72.36862,0.24559999,1.5172999,0.72470003,0.064625,-0.064625
2.0,9.0,49.954796,0.274875,1.28475,0.78925,0.028475001,-0.028475001
3.0,9.0,42.415577,0.190375,1.31725,0.83832496,0.035025,-0.035025
4.0,9.0,52.962074,0.145225,1.252525,0.79687494,0.051749997,-0.051749997
5.0,9.0,47.933475,0.110225,1.12885,0.824325,0.0122,-0.0122
6.0,9.0,42.766823,0.14282499,1.4384,0.84104997,0.0107,-0.0107
7.0,9.0,59.276375,0.132275,1.10305,0.804675,0.023975,-0.023975
8.0,9.0,39.8784,0.037425,0.88935006,0.880975,0.023225,-0.023225
9.0,9.0,18.802225,0.022125,1.298775,0.933375,0.0,0.0
