eval_exp,training_exp,Loss_Exp,Time_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.16286387,0.019556249,0.003614219,0.0011379862,0.0,0.0
0.0,0.0,0.61306,0.018099083,0.017273575,0.0022398308,0.0,0.0
0.0,0.0,0.90222514,0.016566137,0.011030513,0.0044972086,0.0,0.0
0.0,0.0,2.4489582,0.02430796,0.030844701,0.011596621,0.0,0.0
0.0,0.0,2.7563193,0.01737892,0.015976552,0.012942431,0.0,0.0
0.0,0.0,1.674035,0.013039817,0.024687506,0.0068346006,0.0,0.0
0.0,0.0,2.121555,0.029032093,0.03830957,0.009388644,0.0,0.0
0.0,0.0,2.5989676,0.05295264,0.043761037,0.011785251,0.0,0.0
0.0,0.0,1.5359774,0.014242782,0.019276584,0.005022202,0.0,0.0
0.0,0.0,1.9505662,0.0024627217,0.033170305,0.0078445515,0.0,0.0
0.0,0.0,2.5343173,0.014442559,0.023508554,0.009075612,0.008432786,0.008432786
0.0,0.0,0.5599021,0.077710174,0.067386426,0.0041148425,0.0,0.0
0.0,0.0,1.3468345,0.06008296,0.06354283,0.0042865975,0.0,0.0
0.0,0.0,2.4107285,0.06593861,0.071343146,0.009357975,0.0,0.0
0.0,0.0,2.2971706,0.006830446,0.064862855,0.007688142,0.0,0.0
0.0,0.0,3.7141147,0.011592104,0.029532809,0.011414765,0.0,0.0
0.0,0.0,2.2796116,0.08486593,0.059950702,0.0073693073,0.0,0.0
0.0,0.0,2.7814426,0.023850894,0.08605145,0.006749953,0.0,0.0
0.0,0.0,4.2350173,0.006460264,0.038280584,0.014158039,0.0,0.0
0.0,0.0,5.5396624,0.0068370323,0.12477324,0.017749986,0.0,0.0
0.0,0.0,4.2249665,0.066936776,0.13559139,0.017165575,0.016230894,0.016230894
0.0,0.0,2.9601932,0.082386106,0.14285955,0.0135512585,0.009674839,0.009674839
0.0,0.0,1.728283,0.008313544,0.19511491,0.007645066,0.0,0.0
0.0,0.0,3.801081,0.059552938,0.25776225,0.014101851,0.0,0.0
0.0,0.0,2.7768836,0.079102814,0.26382583,0.007869375,0.0,0.0
0.0,0.0,4.212638,0.0119587835,0.20336741,0.014701854,0.0,0.0
0.0,0.0,1.972514,0.06930276,0.25311634,0.004723866,0.0,0.0
0.0,0.0,2.4771705,0.014301134,0.22497001,0.005187959,0.0,0.0
0.0,0.0,4.5193233,0.0042467634,0.16817193,0.008513636,0.0,0.0
0.0,0.0,3.1218283,0.005590393,0.25242758,0.009759471,0.0,0.0
0.0,0.0,3.8432004,0.016645927,0.14926076,0.017039072,0.016084371,0.016084371
0.0,0.0,3.618926,0.068450525,0.23655437,0.011648905,0.010067367,0.010067367
0.0,0.0,2.945563,0.097140014,0.29811642,0.010082753,0.004005855,0.004005855
0.0,0.0,1.6233133,0.008582068,0.28022167,0.005284577,0.0,0.0
0.0,0.0,3.5339408,0.06368408,0.35304198,0.011765528,0.0,0.0
0.0,0.0,5.0744863,0.058000367,0.3459384,0.014627883,0.0,0.0
0.0,0.0,3.68463,0.013403451,0.4398121,0.009358008,0.0,0.0
0.0,0.0,5.0308495,0.017659612,0.30565158,0.012645233,0.0,0.0
0.0,0.0,5.259648,0.005337836,0.23412095,0.014139839,0.0,0.0
0.0,0.0,4.483051,0.0058289682,0.42847922,0.014868637,0.0,0.0
0.0,0.0,3.8766272,0.058805928,0.12445275,0.012389972,0.0122557115,0.0122557115
0.0,0.0,4.086294,0.056847967,0.14148267,0.01147845,0.012886622,0.012886622
0.0,0.0,1.6062199,0.06442805,0.17612383,0.0033237636,0.0068393624,0.0068393624
0.0,0.0,0.91605264,0.0125352265,0.2730243,0.0026242724,0.004796092,0.004796092
0.0,0.0,0.5509138,0.05575165,0.19226502,0.0030290172,0.0,0.0
0.0,0.0,1.8560964,0.07181871,0.11630745,0.004053696,0.0,0.0
0.0,0.0,1.4842368,0.060411267,0.24640629,0.0050184787,0.0,0.0
