training_exp,epoch,lr,Loss_Epoch,Time_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,253.5197,1.0386,3.3209,-0.0470
0,1,0.002,183.4065,0.5908,3.7359,0.2196
0,2,0.002,159.8048,0.5586,3.5406,0.3199
0,3,0.002,145.1832,0.4266,3.5901,0.3891
0,4,0.002,132.7450,0.5550,2.9618,0.4505
0,5,0.002,122.7556,0.6006,2.6797,0.4948
0,6,0.002,113.6456,0.4091,2.3818,0.5359
0,7,0.002,106.9565,0.4230,2.1469,0.5645
0,8,0.002,101.2451,0.5189,2.0024,0.5842
0,9,0.002,96.8789,0.5708,1.9192,0.6031
0,10,0.002,92.9795,0.4025,1.8017,0.6188
0,11,0.002,87.8313,0.4245,1.7477,0.6408
0,12,0.002,84.6671,0.6128,1.7263,0.6524
0,13,0.002,80.3256,0.5672,1.6131,0.6729
0,14,0.002,77.7835,0.4802,1.5888,0.6822
0,15,0.002,74.2282,0.5028,1.5306,0.6985
0,16,0.002,71.4523,0.6915,1.4721,0.7091
0,17,0.002,68.3914,0.9471,1.4827,0.7211
0,18,0.002,67.5349,0.5203,1.4229,0.7239
0,19,0.002,65.2796,0.4510,1.3732,0.7331
0,20,0.002,63.2752,0.5995,1.3603,0.7397
0,21,0.002,62.2461,0.6017,1.3159,0.7434
0,22,0.002,60.3195,0.4675,1.2880,0.7495
0,23,0.002,58.9397,0.4419,1.2845,0.7567
0,24,0.002,58.0362,0.6021,1.2415,0.7591
0,25,0.002,56.6916,0.8005,1.2131,0.7646
0,26,0.002,55.8452,0.6284,1.2155,0.7674
0,27,0.002,55.1821,0.4890,1.2023,0.7706
0,28,0.002,54.0842,0.7673,1.1817,0.7764
0,29,0.002,52.3386,0.7491,1.1694,0.7822
0,30,0.002,51.4447,0.4900,1.1622,0.7851
0,31,0.002,51.0244,0.4292,1.1233,0.7877
0,32,0.002,50.1827,0.5707,1.1339,0.7889
0,33,0.002,49.7184,0.5914,1.1107,0.7927
0,34,0.002,49.4337,0.3941,1.1204,0.7943
0,35,0.002,48.1234,0.4546,1.0891,0.7979
0,36,0.002,48.1959,0.5956,1.0440,0.7968
0,37,0.002,47.8411,0.6053,1.0967,0.7978
0,38,0.002,47.0622,0.4682,1.0498,0.8001
0,39,0.002,46.5064,0.4586,1.0868,0.8040
0,40,0.002,45.4210,0.5976,1.0435,0.8094
0,41,0.002,45.1148,0.5636,1.0239,0.8102
0,42,0.002,45.0774,0.4247,0.9951,0.8102
0,43,0.002,44.1854,0.4426,1.0343,0.8124
0,44,0.002,44.3577,0.6068,1.0490,0.8117
0,45,0.002,44.2741,0.5913,1.0390,0.8128
0,46,0.002,43.3639,0.4537,1.0088,0.8159
0,47,0.002,43.1581,0.4306,1.0214,0.8156
0,48,0.002,42.2926,0.5753,1.0019,0.8200
0,49,0.002,41.7596,0.5694,1.0115,0.8228
0,50,0.002,42.3708,0.4612,0.9884,0.8203
0,51,0.002,41.5250,0.5082,0.9981,0.8254
0,52,0.002,41.7137,0.6445,0.9934,0.8230
0,53,0.002,41.5339,0.6774,0.9751,0.8232
0,54,0.002,40.1591,0.4289,0.9769,0.8285
0,55,0.002,40.6184,0.4466,0.9935,0.8271
0,56,0.002,40.3368,0.5716,0.9576,0.8277
0,57,0.002,39.4435,0.7327,0.9861,0.8315
0,58,0.002,39.8362,0.9708,0.9591,0.8305
0,59,0.002,38.9980,0.9871,0.9723,0.8343
0,60,0.002,39.2976,1.1107,0.9827,0.8328
0,61,0.002,39.2854,1.4017,0.9505,0.8317
0,62,0.002,38.9542,1.0487,0.9486,0.8333
0,63,0.002,38.5972,0.9085,0.9618,0.8341
0,64,0.002,38.1250,1.4115,0.9115,0.8361
0,65,0.002,37.7922,1.3453,0.9450,0.8395
0,66,0.002,38.1782,1.0613,0.9241,0.8369
0,67,0.002,37.6574,0.9822,0.9346,0.8395
0,68,0.002,37.5217,1.3047,0.9430,0.8396
0,69,0.002,37.1974,1.2295,0.9099,0.8420
0,70,0.002,37.2198,0.8795,0.9368,0.8403
0,71,0.002,36.4019,0.9363,0.9199,0.8453
0,72,0.002,36.1569,1.1604,0.8807,0.8445
0,73,0.002,36.6453,1.3017,0.9059,0.8427
0,74,0.002,36.4646,0.8786,0.8882,0.8432
0,75,0.002,36.3298,1.1477,0.9016,0.8438
0,76,0.002,36.2486,1.1396,0.8980,0.8449
0,77,0.002,35.8069,1.1824,0.8789,0.8462
0,78,0.002,35.5546,1.0096,0.8920,0.8467
0,79,0.002,35.5024,0.9095,0.8863,0.8476
0,80,0.002,35.5992,1.0176,0.8873,0.8483
0,81,0.002,36.1553,1.2446,0.8970,0.8445
0,82,0.002,35.0379,0.9197,0.8912,0.8491
0,83,0.002,34.5718,0.9501,0.8882,0.8513
0,84,0.002,35.4809,0.8581,0.8899,0.8470
0,85,0.002,34.5970,0.5651,0.8727,0.8518
0,86,0.002,35.3053,0.4082,0.9062,0.8477
0,87,0.002,34.8373,0.4327,0.8822,0.8507
0,88,0.002,35.1026,0.5814,0.8586,0.8492
0,89,0.002,34.3308,0.5247,0.8795,0.8522
0,90,0.002,34.4905,0.4028,0.8938,0.8510
0,91,0.002,33.8835,0.4544,0.8575,0.8550
0,92,0.002,33.4810,0.5167,0.8497,0.8565
0,93,0.002,33.6344,0.5490,0.8476,0.8552
0,94,0.002,33.3482,0.4010,0.8725,0.8568
0,95,0.002,32.8187,0.3994,0.8503,0.8593
0,96,0.002,33.4150,0.5528,0.8754,0.8561
0,97,0.002,33.1736,0.5565,0.8459,0.8578
0,98,0.002,33.1155,0.4030,0.8607,0.8577
0,99,0.002,32.9962,0.4068,0.8487,0.8585
0,100,0.002,32.8326,0.5660,0.8370,0.8593
0,101,0.002,32.7459,0.5463,0.8551,0.8600
0,102,0.002,32.3551,0.3904,0.8494,0.8600
0,103,0.002,32.2608,0.4010,0.8505,0.8614
0,104,0.002,32.0257,0.5695,0.8277,0.8630
0,105,0.002,32.0141,0.5485,0.8158,0.8616
0,106,0.002,32.3906,0.4539,0.8440,0.8604
0,107,0.002,32.1963,0.4725,0.8266,0.8606
0,108,0.002,32.2671,0.5871,0.8152,0.8607
0,109,0.002,32.3173,0.5690,0.8443,0.8613
0,110,0.002,31.7366,0.3798,0.8327,0.8625
0,111,0.002,31.7208,0.4298,0.8277,0.8628
0,112,0.002,30.7977,0.5511,0.8271,0.8675
0,113,0.002,31.6690,0.5653,0.8169,0.8629
0,114,0.002,31.3791,0.3740,0.8383,0.8641
0,115,0.002,31.0222,0.3938,0.8255,0.8663
0,116,0.002,31.1223,0.5643,0.8197,0.8667
0,117,0.002,31.6341,0.5134,0.8143,0.8624
0,118,0.002,30.7251,0.3927,0.8226,0.8674
0,119,0.002,30.8129,0.3922,0.7890,0.8676
0,120,0.002,30.4295,0.5535,0.8358,0.8687
0,121,0.002,31.0668,0.5423,0.8020,0.8651
0,122,0.002,30.4316,0.4174,0.8025,0.8690
0,123,0.002,30.5586,0.4136,0.8014,0.8677
0,124,0.002,30.0602,0.5639,0.8187,0.8702
0,125,0.002,31.0604,0.5457,0.8188,0.8662
0,126,0.002,31.3361,0.4408,0.8040,0.8655
0,127,0.002,30.8303,0.4151,0.8171,0.8662
0,128,0.002,29.9136,0.5262,0.7952,0.8713
0,129,0.002,29.8987,0.5322,0.8098,0.8704
0,130,0.002,30.3417,0.3734,0.8202,0.8691
0,131,0.002,30.2408,0.4919,0.7974,0.8698
0,132,0.002,29.9343,0.5522,0.8102,0.8696
0,133,0.002,30.3790,0.5764,0.7906,0.8687
0,134,0.002,29.4593,0.4409,0.7916,0.8733
0,135,0.002,29.9793,0.4212,0.8163,0.8699
0,136,0.002,29.8153,0.5648,0.7913,0.8691
0,137,0.002,30.0151,0.5562,0.7948,0.8706
0,138,0.002,29.7709,0.4193,0.7746,0.8719
0,139,0.002,29.5675,0.4174,0.8124,0.8713
0,140,0.002,29.5019,0.5623,0.7788,0.8737
0,141,0.002,29.6760,0.5670,0.7852,0.8712
0,142,0.002,29.1714,0.4509,0.7743,0.8734
0,143,0.002,28.7232,0.3782,0.7794,0.8754
0,144,0.002,29.3539,0.5927,0.7716,0.8733
0,145,0.002,29.1901,0.5486,0.7642,0.8727
0,146,0.002,29.7073,0.3981,0.7928,0.8711
0,147,0.002,29.1928,0.4234,0.7826,0.8739
0,148,0.002,28.7212,0.5399,0.7882,0.8751
0,149,0.002,28.5037,0.5462,0.7788,0.8760
0,150,0.002,29.1516,0.4325,0.7937,0.8732
0,151,0.002,28.7083,0.4160,0.7577,0.8763
0,152,0.002,29.0234,0.5220,0.7894,0.8747
0,153,0.002,28.8953,0.5297,0.7788,0.8742
0,154,0.002,28.8752,0.4269,0.7594,0.8742
0,155,0.002,28.9113,0.4061,0.7664,0.8738
0,156,0.002,28.2825,0.6347,0.7810,0.8780
0,157,0.002,28.4577,0.6134,0.7862,0.8761
0,158,0.002,28.2390,0.4225,0.7757,0.8772
0,159,0.002,28.3822,0.4809,0.7730,0.8771
0,160,0.002,27.9295,0.5658,0.7581,0.8789
0,161,0.002,28.4399,0.5815,0.7671,0.8769
0,162,0.002,28.2611,0.4446,0.7763,0.8774
0,163,0.002,27.8398,0.3997,0.7758,0.8786
0,164,0.002,28.1012,0.6769,0.7909,0.8785
