eval_exp,training_exp,Loss_Exp,Time_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,25.176476,0.304125,0.52384996,0.88995004,0.0,0.0
1.0,0.0,64.36105,0.23212501,0.87829995,0.74747497,0.0,0.0
2.0,0.0,56.424427,0.2148,0.76487494,0.768425,0.0,0.0
3.0,0.0,62.214653,0.29444999,0.96994996,0.7593,0.0,0.0
4.0,0.0,80.98007,0.114649996,0.93139994,0.6956,0.0,0.0
5.0,0.0,75.2258,0.120749995,0.829775,0.73922503,0.0,0.0
6.0,0.0,67.35123,0.15612501,1.026775,0.765175,0.0,0.0
7.0,0.0,89.432,0.131725,0.9364,0.71017504,0.0,0.0
8.0,0.0,71.101654,0.043325,0.77650005,0.802625,0.0,0.0
9.0,0.0,63.3135,0.022525001,0.964375,0.792775,0.0,0.0
0.0,1.0,37.123875,0.360225,0.6196,0.843225,0.046749998,-0.046749998
1.0,1.0,40.917225,0.617525,0.85745,0.8209,0.0,0.0
2.0,1.0,41.624897,0.440875,0.8617,0.818725,0.0,0.0
3.0,1.0,46.431625,0.49037498,1.062,0.81245,0.0,0.0
4.0,1.0,56.576122,0.27400002,1.055575,0.772425,0.0,0.0
5.0,1.0,57.91355,0.22625,0.90727496,0.7783,0.0,0.0
6.0,1.0,53.834778,0.29,1.119125,0.795875,0.0,0.0
7.0,1.0,65.874825,0.23449999,1.0532501,0.77570003,0.0,0.0
8.0,1.0,50.1762,0.068749994,0.87450004,0.84885,0.0,0.0
9.0,1.0,43.677,0.0439,1.20345,0.844475,0.0,0.0
0.0,2.0,43.339626,0.20662498,0.60925,0.81705,0.072875,-0.072875
1.0,2.0,55.220776,0.33835,0.80562496,0.77267504,0.048275,-0.048275
2.0,2.0,35.3933,0.260775,0.673825,0.840325,0.0,0.0
3.0,2.0,54.967373,0.18645,0.80235004,0.77292496,0.0,0.0
4.0,2.0,60.762627,0.111525,0.84774995,0.754375,0.0,0.0
5.0,2.0,52.4937,0.105799995,0.72175,0.80392504,0.0,0.0
6.0,2.0,49.497925,0.208575,0.92877495,0.81072503,0.0,0.0
7.0,2.0,72.63832,0.163225,0.83924997,0.744075,0.0,0.0
8.0,2.0,54.169624,0.04145,0.6805,0.821725,0.0,0.0
9.0,2.0,47.6086,0.01925,0.81527495,0.8312,0.0,0.0
0.0,3.0,53.596676,0.201125,0.70972496,0.76522505,0.124725,-0.124725
1.0,3.0,63.459923,0.420825,1.0108,0.737275,0.083675,-0.083675
2.0,3.0,41.8856,0.36484998,0.7507,0.80410004,0.036225,-0.036225
3.0,3.0,28.636576,0.19299999,0.79205,0.88074994,0.0,0.0
4.0,3.0,47.438198,0.14545,0.840525,0.803075,0.0,0.0
5.0,3.0,51.9945,0.157325,0.735775,0.790525,0.0,0.0
6.0,3.0,43.4813,0.26495,0.90885,0.83035,0.0,0.0
7.0,3.0,64.247055,0.17855,0.8699,0.7720001,0.0,0.0
8.0,3.0,46.304203,0.058925,0.67605,0.847125,0.0,0.0
9.0,3.0,43.72345,0.03175,0.9311249,0.82832503,0.0,0.0
0.0,4.0,56.2862,0.42487502,0.72775,0.755475,0.134425,-0.134425
1.0,4.0,65.243996,0.73,0.9668,0.73207504,0.08885,-0.08885
2.0,4.0,43.853577,0.57007504,0.780775,0.79705,0.043275,-0.043275
3.0,4.0,32.103474,0.515875,0.816175,0.87055004,0.0102,-0.0102
4.0,4.0,33.735348,0.37355003,0.795725,0.859375,0.0,0.0
5.0,4.0,47.18085,0.230075,0.69782495,0.81420004,0.0,0.0
6.0,4.0,41.19865,0.3211,0.91275,0.84187496,0.0,0.0
7.0,4.0,60.340675,0.413225,0.865075,0.785325,0.0,0.0
8.0,4.0,48.768074,0.1081,0.669725,0.83905,0.0,0.0
9.0,4.0,41.375675,0.050375,0.81485,0.83982503,0.0,0.0
0.0,5.0,63.014977,0.47702503,0.87285,0.7025,0.18740001,-0.18740001
1.0,5.0,70.50673,0.68165,1.0983499,0.69395,0.12695,-0.12695
2.0,5.0,46.1529,0.489575,0.84917504,0.78165,0.058650002,-0.058650002
3.0,5.0,35.174175,0.37287498,0.947775,0.85510004,0.025675,-0.025675
4.0,5.0,41.91635,0.25955,0.86010003,0.8319,0.027475,-0.027475
5.0,5.0,37.487675,0.215725,0.64164996,0.84587497,0.0,0.0
6.0,5.0,38.86515,0.443425,0.92535,0.845575,0.0,0.0
7.0,5.0,59.998573,0.32552502,0.912975,0.78482497,0.0,0.0
8.0,5.0,38.195824,0.078,0.652525,0.87324995,0.0,0.0
9.0,5.0,37.84385,0.04825,0.9538,0.86095,0.0,0.0
0.0,6.0,57.580048,0.24385001,0.831275,0.73992497,0.14995,-0.14995
1.0,6.0,64.56863,0.354125,1.033925,0.7283,0.092599995,-0.092599995
2.0,6.0,46.681877,0.21129999,0.80492496,0.78835,0.05195,-0.05195
3.0,6.0,33.185925,0.170525,0.87240005,0.86475,0.016025,-0.016025
4.0,6.0,39.73695,0.1876,0.82089996,0.84475005,0.01465,-0.01465
5.0,6.0,39.039677,0.100675,0.65507495,0.8419,0.0039500003,-0.0039500003
6.0,6.0,30.663225,0.1681,0.81434995,0.880625,0.0,0.0
7.0,6.0,49.55825,0.128225,0.77655,0.82285005,0.0,0.0
8.0,6.0,38.622574,0.037175,0.62347496,0.875125,0.0,0.0
9.0,6.0,27.2201,0.0209,0.854425,0.9066,0.0,0.0
0.0,7.0,57.593872,0.236675,0.86420006,0.7644,0.125525,-0.125525
1.0,7.0,61.80455,0.293175,1.117075,0.745325,0.075624995,-0.075624995
2.0,7.0,43.7971,0.26695,0.87995,0.808025,0.0323,-0.0323
3.0,7.0,37.076923,0.233875,0.92097497,0.84705,0.033699997,-0.033699997
4.0,7.0,41.79535,0.156725,0.88535,0.827975,0.0314,-0.0314
5.0,7.0,41.070248,0.116799995,0.686125,0.83725,0.00865,-0.00865
6.0,7.0,34.126225,0.14835,0.90365005,0.86710006,0.013499999,-0.013499999
7.0,7.0,42.859177,0.1387,0.676425,0.846375,0.0,0.0
8.0,7.0,38.727398,0.039075002,0.58402497,0.87960005,0.0,0.0
9.0,7.0,29.078724,0.022125,0.845075,0.89337504,0.0,0.0
0.0,8.0,62.271572,0.28620002,0.92762506,0.74055004,0.14935,-0.14935
1.0,8.0,61.9415,0.2946,1.094275,0.74735,0.073575005,-0.073575005
2.0,8.0,42.057877,0.22695,0.8842,0.814625,0.02565,-0.02565
3.0,8.0,35.1763,0.22325,0.91132504,0.856675,0.024075,-0.024075
4.0,8.0,43.03385,0.14715,0.89760005,0.814875,0.044525,-0.044525
5.0,8.0,39.9197,0.1379,0.6772,0.84127504,0.004575,-0.004575
6.0,8.0,36.54335,0.13505,0.88752496,0.85555,0.025075,-0.025075
7.0,8.0,49.04085,0.138475,0.72635,0.82562494,0.020725,-0.020725
8.0,8.0,29.651474,0.041825,0.488625,0.91052496,0.0,0.0
9.0,8.0,26.062801,0.02485,0.994725,0.9057999,0.0,0.0
0.0,9.0,69.4357,0.24254999,0.95802504,0.71025,0.179625,-0.179625
1.0,9.0,75.621506,0.28284997,1.2446251,0.69519997,0.1257,-0.1257
2.0,9.0,48.232925,0.305375,0.91577506,0.79185003,0.04845,-0.04845
3.0,9.0,36.21485,0.193975,0.9229,0.85387504,0.026875,-0.026875
4.0,9.0,46.3893,0.15202501,0.84282506,0.81297505,0.04645,-0.04645
5.0,9.0,42.117275,0.103675,0.67807496,0.83774996,0.00815,-0.00815
6.0,9.0,35.989723,0.142225,0.8916,0.863225,0.0174,-0.0174
7.0,9.0,49.80185,0.17537501,0.738575,0.82705,0.0193,-0.0193
8.0,9.0,34.824623,0.040400002,0.5209,0.88692504,0.023675,-0.023675
9.0,9.0,18.9697,0.02405,0.697125,0.931975,0.0,0.0
