eval_exp,training_exp,Loss_Exp,Time_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.3396178,0.014820149,0.008306782,0.0013500077,0.0,0.0
0.0,0.0,0.8718473,0.0047662198,0.021947991,0.0022531883,0.0,0.0
0.0,0.0,1.3677493,0.009892924,0.022444742,0.0050026737,0.0,0.0
0.0,0.0,1.4237777,0.040116105,0.035654202,0.0058578895,0.0,0.0
0.0,0.0,0.39438424,0.028578887,0.036233064,0.0038327582,0.0,0.0
0.0,0.0,2.006496,0.021229045,0.026826246,0.0036846774,0.0,0.0
0.0,0.0,0.76720893,0.03922585,0.037551787,0.006495145,0.0,0.0
0.0,0.0,0.42378882,0.028751291,0.018876834,0.0021428585,0.0,0.0
0.0,0.0,3.901924,0.008437824,0.017083459,0.011364516,0.0,0.0
0.0,0.0,0.79493695,0.0026705565,0.040158983,0.0037751708,0.0,0.0
0.0,0.0,1.5459851,0.09287243,0.009008611,0.0055724373,0.0046693147,0.0046693147
0.0,0.0,0.41243228,0.19511756,0.029937053,0.002469797,0.0,0.0
0.0,0.0,0.23855597,0.076023564,0.02158019,0.0018633103,0.0,0.0
0.0,0.0,1.886146,0.11049485,0.024514407,0.00821295,0.0,0.0
0.0,0.0,0.9790419,0.10669801,0.022916315,0.0039996034,0.0,0.0
0.0,0.0,0.7235667,0.009348128,0.01922022,0.005653759,0.0,0.0
0.0,0.0,0.87864894,0.020216944,0.025995819,0.0058199666,0.0,0.0
0.0,0.0,1.1426612,0.053004578,0.033923615,0.0042201853,0.0,0.0
0.0,0.0,0.5008569,0.01389901,0.0153328,0.0054692435,0.0,0.0
0.0,0.0,1.1425596,0.013993569,0.07274283,0.0049256217,0.0,0.0
0.0,0.0,1.5350279,0.051994532,0.011437323,0.0063093356,0.0053862673,0.0053862673
0.0,0.0,0.2331424,0.06829065,0.012944372,0.0017921749,0.002935451,0.002935451
0.0,0.0,0.33500764,0.07500004,0.0070061963,0.0016857921,0.0,0.0
0.0,0.0,2.3429217,0.06415363,0.0077764113,0.010347052,0.0,0.0
0.0,0.0,1.3425149,0.006142629,0.0057486948,0.0072119245,0.0,0.0
0.0,0.0,0.49043784,0.011708332,0.01115381,0.0019841446,0.0,0.0
0.0,0.0,0.61145306,0.07458825,0.012430482,0.003681287,0.0,0.0
0.0,0.0,1.0826093,0.06502447,0.01615031,0.004914958,0.0,0.0
0.0,0.0,1.9692241,0.006292256,0.008412779,0.0071488908,0.0,0.0
0.0,0.0,2.232875,0.001289379,0.021095652,0.006344678,0.0,0.0
0.0,0.0,3.4060214,0.09109159,0.0093073575,0.015591072,0.014859569,0.014859569
0.0,0.0,3.2688036,0.22967874,0.04155326,0.0125088645,0.011710333,0.011710333
0.0,0.0,0.78490394,0.100315705,0.029026115,0.0059215645,0.0053513427,0.0053513427
0.0,0.0,0.42017323,0.08678401,0.03366946,0.0009069172,0.0,0.0
0.0,0.0,1.399549,0.06440398,0.03546741,0.0046542333,0.0,0.0
0.0,0.0,2.6184127,0.06439337,0.040885296,0.010473394,0.0,0.0
0.0,0.0,1.0371062,0.19873,0.042544246,0.0035415532,0.0,0.0
0.0,0.0,0.9453748,0.083230354,0.04414526,0.0037835154,0.0,0.0
0.0,0.0,1.8584603,0.018298276,0.038562972,0.008173864,0.0,0.0
0.0,0.0,1.3384193,0.014205368,0.050088886,0.006637532,0.0,0.0
0.0,0.0,2.701754,0.016530337,0.021814376,0.011226611,0.011982567,0.011982567
0.0,0.0,2.382822,0.14540735,0.020720411,0.011565337,0.010600354,0.010600354
