training_exp,epoch,lr,Loss_Epoch,Time_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,253.1903,1.5090,3.3082,-0.0322
0,1,0.002,181.8043,0.5752,3.6738,0.2327
0,2,0.002,158.2109,0.6523,3.5308,0.3269
0,3,0.002,143.0271,0.5186,3.5089,0.4012
0,4,0.002,130.3300,0.6421,2.8887,0.4650
0,5,0.002,120.4300,0.6071,2.6022,0.5077
0,6,0.002,111.2293,0.4853,2.3116,0.5464
0,7,0.002,105.2937,0.4725,2.1318,0.5696
0,8,0.002,99.3399,0.5648,2.0015,0.5949
0,9,0.002,95.0716,0.5314,1.8922,0.6108
0,10,0.002,90.9729,0.3898,1.8494,0.6287
0,11,0.002,86.6358,0.3908,1.7579,0.6482
0,12,0.002,83.5373,0.5259,1.7138,0.6612
0,13,0.002,79.3897,0.5425,1.6499,0.6783
0,14,0.002,76.9858,0.3960,1.6122,0.6881
0,15,0.002,73.2070,0.4265,1.5515,0.7035
0,16,0.002,70.9970,0.5343,1.5254,0.7122
0,17,0.002,68.5246,0.5330,1.4607,0.7215
0,18,0.002,65.9933,0.3759,1.3959,0.7314
0,19,0.002,64.2700,0.3913,1.3650,0.7387
0,20,0.002,61.6840,0.5516,1.3347,0.7471
0,21,0.002,60.9580,0.5684,1.3294,0.7488
0,22,0.002,59.7968,0.4406,1.2855,0.7544
0,23,0.002,57.3837,0.4113,1.2563,0.7645
0,24,0.002,57.0697,0.5569,1.2787,0.7653
0,25,0.002,56.2277,0.5557,1.2361,0.7671
0,26,0.002,54.5952,0.4601,1.1702,0.7736
0,27,0.002,53.7083,0.4284,1.2045,0.7775
0,28,0.002,53.6494,0.5189,1.1625,0.7758
0,29,0.002,51.9576,0.5393,1.1414,0.7835
0,30,0.002,51.8781,0.4017,1.1358,0.7827
0,31,0.002,50.5451,0.3743,1.1219,0.7887
0,32,0.002,49.3580,0.5563,1.1145,0.7951
0,33,0.002,49.2404,0.5703,1.0787,0.7935
0,34,0.002,48.9113,0.4193,1.1056,0.7945
0,35,0.002,47.8705,0.4182,1.0834,0.7986
0,36,0.002,47.1476,0.5515,1.0767,0.8014
0,37,0.002,47.0748,0.5565,1.0497,0.8009
0,38,0.002,46.1211,0.4329,1.0676,0.8057
0,39,0.002,46.0124,0.4252,1.0611,0.8056
0,40,0.002,45.8099,0.5699,1.0299,0.8062
0,41,0.002,45.4781,0.5437,1.0779,0.8088
0,42,0.002,44.3497,0.4053,1.0314,0.8125
0,43,0.002,43.7179,0.4153,1.0250,0.8146
0,44,0.002,44.7404,0.5840,1.0435,0.8094
0,45,0.002,44.0896,0.5736,1.0123,0.8123
0,46,0.002,43.5501,0.4230,1.0246,0.8150
0,47,0.002,42.4550,0.4204,0.9953,0.8197
0,48,0.002,41.7919,0.5507,0.9900,0.8221
0,49,0.002,41.2937,0.5547,0.9876,0.8235
0,50,0.002,41.2396,0.4284,1.0062,0.8236
0,51,0.002,42.0180,0.4327,0.9861,0.8219
0,52,0.002,40.9378,0.6000,0.9918,0.8261
0,53,0.002,40.4365,0.5882,1.0036,0.8262
0,54,0.002,40.7872,0.4563,1.0026,0.8263
0,55,0.002,40.6432,0.4366,0.9666,0.8280
0,56,0.002,40.8051,0.6035,0.9501,0.8272
0,57,0.002,40.2703,0.5385,0.9548,0.8295
0,58,0.002,40.0204,0.4414,0.9532,0.8301
0,59,0.002,39.8552,0.4467,0.9447,0.8286
0,60,0.002,38.5423,0.6045,0.9426,0.8355
0,61,0.002,39.3812,0.6457,0.9308,0.8309
0,62,0.002,39.3665,0.4223,0.9289,0.8317
0,63,0.002,38.6973,0.4424,0.9260,0.8333
0,64,0.002,38.8949,0.5437,0.9396,0.8329
0,65,0.002,38.3536,0.5525,0.9657,0.8369
0,66,0.002,37.8386,0.4235,0.9327,0.8381
0,67,0.002,37.3320,0.4301,0.9263,0.8416
0,68,0.002,37.0518,0.5846,0.9269,0.8415
0,69,0.002,37.0872,0.5584,0.9010,0.8409
0,70,0.002,36.6991,0.3961,0.9149,0.8445
0,71,0.002,36.2157,0.4448,0.9158,0.8441
0,72,0.002,36.3819,0.6282,0.9100,0.8441
0,73,0.002,36.7089,0.6004,0.9046,0.8428
0,74,0.002,35.9493,0.3926,0.9005,0.8465
0,75,0.002,36.1388,0.4768,0.8858,0.8461
0,76,0.002,36.2845,0.6032,0.8806,0.8437
0,77,0.002,35.6312,0.5846,0.9095,0.8486
0,78,0.002,35.7853,0.4392,0.9014,0.8469
0,79,0.002,34.9511,0.5053,0.9132,0.8509
0,80,0.002,35.7577,0.6691,0.8998,0.8465
0,81,0.002,35.3225,0.6873,0.8750,0.8479
0,82,0.002,34.8428,0.4160,0.8810,0.8504
0,83,0.002,35.2055,0.4539,0.8876,0.8504
0,84,0.002,34.6658,0.6596,0.8844,0.8511
0,85,0.002,34.4762,0.5664,0.8933,0.8520
0,86,0.002,34.4341,0.4147,0.8631,0.8524
0,87,0.002,34.0438,0.4816,0.8552,0.8536
0,88,0.002,34.4014,0.6374,0.8341,0.8529
0,89,0.002,33.5516,0.5870,0.8735,0.8559
0,90,0.002,33.6767,0.4155,0.8474,0.8549
0,91,0.002,34.2349,0.4192,0.8737,0.8535
0,92,0.002,33.9887,0.5608,0.8553,0.8534
