training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,254.2360,3.3189,-0.0442
0,1,183.3077,3.7325,0.2138
0,2,159.1398,3.4633,0.3132
0,3,143.2095,3.4367,0.3919
0,4,131.0273,2.9116,0.4540
0,5,120.7198,2.5226,0.5027
0,6,112.6634,2.3099,0.5411
0,7,105.1271,2.1294,0.5716
0,8,99.3524,2.0344,0.5946
0,9,94.6016,1.9367,0.6130
0,10,90.2441,1.8481,0.6312
0,11,86.5701,1.7722,0.6478
0,12,82.4544,1.6903,0.6657
0,13,78.5702,1.6618,0.6821
0,14,76.1610,1.5568,0.6907
0,15,73.0259,1.5583,0.7025
0,16,70.3197,1.4755,0.7140
0,17,67.5274,1.4467,0.7259
0,18,65.4763,1.4295,0.7352
0,19,63.7729,1.3746,0.7400
0,20,61.6805,1.3080,0.7485
0,21,61.0789,1.2971,0.7494
0,22,59.8048,1.2828,0.7530
0,23,58.0451,1.2698,0.7613
0,24,56.6786,1.2232,0.7662
0,25,55.5029,1.1928,0.7699
0,26,54.4788,1.1721,0.7745
0,27,53.3113,1.1434,0.7790
0,28,53.3675,1.1451,0.7790
0,29,51.8440,1.1411,0.7831
0,30,51.2090,1.1415,0.7875
0,31,50.6282,1.1241,0.7881
0,32,49.6198,1.1090,0.7933
0,33,48.3447,1.0803,0.7971
0,34,47.7687,1.0642,0.8004
0,35,47.6712,1.0768,0.7990
0,36,47.0087,1.0860,0.8015
0,37,46.6440,1.0351,0.8023
0,38,46.5193,1.0483,0.8044
0,39,45.9494,1.0563,0.8072
0,40,45.3295,1.0279,0.8082
0,41,44.8434,1.0293,0.8106
0,42,44.6896,1.0184,0.8116
0,43,44.1284,1.0080,0.8127
0,44,43.5512,1.0090,0.8153
0,45,42.8169,1.0128,0.8188
0,46,43.0177,0.9917,0.8171
0,47,42.5794,1.0050,0.8185
0,48,41.8075,0.9647,0.8224
0,49,41.6975,0.9811,0.8245
0,50,41.2519,0.9739,0.8239
0,51,41.5798,0.9670,0.8231
0,52,41.0477,0.9621,0.8246
0,53,39.9670,0.9421,0.8304
0,54,40.4850,0.9421,0.8284
0,55,39.8099,0.9551,0.8303
0,56,39.2391,0.9252,0.8330
0,57,39.0382,0.9412,0.8332
0,58,39.2519,0.9128,0.8321
0,59,38.5324,0.9435,0.8356
0,60,38.4184,0.9379,0.8349
0,61,39.0131,0.9086,0.8341
0,62,39.3300,0.9332,0.8320
0,63,37.6239,0.9276,0.8394
0,64,37.3177,0.9108,0.8413
0,65,37.5565,0.9230,0.8394
0,66,37.1461,0.9139,0.8390
0,67,37.0430,0.8953,0.8415
0,68,37.2772,0.9136,0.8415
0,69,37.1030,0.8896,0.8419
0,70,36.5277,0.8960,0.8434
0,71,36.5498,0.9020,0.8423
0,72,37.2950,0.8944,0.8411
0,73,35.8998,0.8804,0.8463
0,74,35.6378,0.8676,0.8480
0,75,35.5937,0.8951,0.8490
0,76,35.1346,0.8824,0.8484
0,77,35.2599,0.8703,0.8510
0,78,35.3146,0.8802,0.8479
