training_exp,epoch,lr,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,360.7362,1.0467,-0.3446
0,1,0.002,298.5268,1.4031,-0.1321
0,2,0.002,233.3553,2.3048,0.1189
0,3,0.002,210.8535,3.4556,0.1682
0,4,0.002,194.9639,3.8432,0.2187
0,5,0.002,182.2504,3.7138,0.2577
0,6,0.002,172.8083,3.7737,0.2869
0,7,0.002,166.4252,3.8199,0.3100
0,8,0.002,160.6822,3.6860,0.3363
0,9,0.002,155.9418,3.4976,0.3590
0,10,0.002,151.7683,3.4329,0.3822
0,11,0.002,147.7692,3.3938,0.4012
0,12,0.002,145.4294,3.2431,0.4110
0,13,0.002,142.0197,3.1332,0.4292
0,14,0.002,139.6340,3.0289,0.4391
0,15,0.002,136.8892,2.9830,0.4529
0,16,0.002,134.4506,2.8278,0.4626
0,17,0.002,132.4057,2.7593,0.4720
0,18,0.002,129.9766,2.6636,0.4810
0,19,0.002,127.9036,2.5823,0.4900
0,20,0.002,125.2587,2.4498,0.5017
0,21,0.002,124.0018,2.4296,0.5079
0,22,0.002,121.2694,2.3357,0.5215
0,23,0.002,118.7465,2.3117,0.5278
0,24,0.002,117.0730,2.1958,0.5339
0,25,0.002,114.4145,2.1455,0.5475
0,26,0.002,112.9562,2.0771,0.5538
0,27,0.002,111.1295,2.0001,0.5596
0,28,0.002,108.9201,2.0166,0.5688
0,29,0.002,107.0585,1.9398,0.5778
0,30,0.002,105.9986,1.9000,0.5809
0,31,0.002,104.2365,1.9169,0.5879
0,32,0.002,101.6928,1.8305,0.5977
0,33,0.002,100.2131,1.8490,0.6047
0,34,0.002,98.7407,1.8032,0.6097
0,35,0.002,98.0204,1.8379,0.6099
0,36,0.002,95.3317,1.7251,0.6236
0,37,0.002,94.4448,1.7607,0.6270
0,38,0.002,93.1461,1.7591,0.6341
0,39,0.002,91.7835,1.6942,0.6394
0,40,0.002,91.6748,1.7238,0.6377
0,41,0.002,88.8003,1.6543,0.6509
0,42,0.002,88.0294,1.6387,0.6531
0,43,0.002,87.3100,1.6650,0.6562
0,44,0.002,85.6063,1.6017,0.6617
0,45,0.002,85.3306,1.6245,0.6628
0,46,0.002,83.8195,1.6048,0.6692
0,47,0.002,83.7226,1.5791,0.6697
0,48,0.002,82.7941,1.5433,0.6742
0,49,0.002,82.3063,1.5704,0.6752
0,50,0.002,80.6789,1.5501,0.6795
0,51,0.002,80.5233,1.5403,0.6828
0,52,0.002,79.3862,1.5404,0.6842
0,53,0.002,78.6502,1.5044,0.6880
0,54,0.002,77.9973,1.4813,0.6915
0,55,0.002,76.2138,1.4935,0.6998
0,56,0.002,76.6377,1.4685,0.6971
0,57,0.002,76.0755,1.4697,0.6995
0,58,0.002,75.2594,1.4431,0.7047
0,59,0.002,75.7877,1.4269,0.6968
0,60,0.002,74.6805,1.4294,0.7014
0,61,0.002,73.1077,1.4257,0.7100
0,62,0.002,73.1614,1.4558,0.7086
0,63,0.002,73.7666,1.4250,0.7056
0,64,0.002,72.2275,1.3929,0.7126
0,65,0.002,71.1819,1.4093,0.7166
0,66,0.002,71.5850,1.3842,0.7171
0,67,0.002,71.0878,1.3649,0.7165
0,68,0.002,70.5451,1.3992,0.7219
0,69,0.002,69.2817,1.3636,0.7248
0,70,0.002,69.8386,1.3540,0.7215
0,71,0.002,69.2848,1.3416,0.7231
0,72,0.002,68.9290,1.3162,0.7237
0,73,0.002,68.9159,1.3542,0.7248
0,74,0.002,67.3091,1.2891,0.7302
0,75,0.002,67.8430,1.3594,0.7278
0,76,0.002,67.5158,1.3611,0.7297
0,77,0.002,65.6846,1.3240,0.7385
0,78,0.002,67.4275,1.3243,0.7299
0,79,0.002,66.4183,1.3223,0.7318
0,80,0.002,66.2541,1.2957,0.7347
0,81,0.002,66.9815,1.3025,0.7311
0,82,0.002,66.0661,1.2687,0.7358
0,83,0.002,65.3497,1.2934,0.7383
0,84,0.002,65.4698,1.2907,0.7365
0,85,0.002,65.8451,1.2858,0.7359
