eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.54834616,0.009523453,0.0022873397,0.0,0.0
0.0,0.0,1.360289,0.023347314,0.004175154,0.0,0.0
0.0,0.0,1.816869,0.03444727,0.006587435,0.0,0.0
0.0,0.0,1.8706707,0.06415475,0.006982473,0.0,0.0
0.0,0.0,3.3347642,0.05027594,0.011540691,0.0,0.0
0.0,0.0,4.04653,0.05295582,0.010122056,0.0,0.0
0.0,0.0,3.1520402,0.06873083,0.008382679,0.0,0.0
0.0,0.0,4.0444355,0.048122197,0.011507279,0.0,0.0
0.0,0.0,5.898387,0.05232592,0.0147388065,0.0,0.0
0.0,0.0,4.644492,0.13256907,0.014943465,0.0,0.0
0.0,0.0,0.42913398,0.0101319365,0.002072388,0.0031941107,0.0031941107
0.0,0.0,0.50733024,0.017583009,0.0020453904,0.0,0.0
0.0,0.0,0.36462724,0.013170601,0.0016465497,0.0,0.0
0.0,0.0,0.7222134,0.033337936,0.003486051,0.0,0.0
0.0,0.0,1.1897426,0.018804556,0.0043471176,0.0,0.0
0.0,0.0,0.77870864,0.02200602,0.0029583585,0.0,0.0
0.0,0.0,1.404992,0.03009134,0.005647779,0.0,0.0
0.0,0.0,1.1399677,0.029257925,0.0035701708,0.0,0.0
0.0,0.0,1.8010007,0.024245748,0.008706162,0.0,0.0
0.0,0.0,2.9060833,0.052789565,0.012241269,0.0,0.0
0.0,0.0,1.0171367,0.01056555,0.004464571,0.0036122843,0.0036122843
0.0,0.0,1.0544887,0.015604692,0.0034320047,0.0034978339,0.0034978339
0.0,0.0,0.28327566,0.014186233,0.001354103,0.0,0.0
0.0,0.0,1.2579895,0.016395574,0.0053370036,0.0,0.0
0.0,0.0,1.2447792,0.019070594,0.0049751876,0.0,0.0
0.0,0.0,0.72287184,0.019958504,0.0023326152,0.0,0.0
0.0,0.0,0.93965375,0.030678688,0.0036570977,0.0,0.0
0.0,0.0,1.2159442,0.018625174,0.0040938817,0.0,0.0
0.0,0.0,0.90314317,0.011983933,0.0052129664,0.0,0.0
0.0,0.0,2.620372,0.028201729,0.0117127,0.0,0.0
0.0,0.0,0.5944556,0.014215483,0.0026446923,0.0035853863,0.0035853863
0.0,0.0,0.72832143,0.00982361,0.003876827,0.0026813883,0.0026813883
0.0,0.0,0.4643545,0.01469328,0.0023829779,0.002788257,0.002788257
0.0,0.0,0.3126844,0.023912288,0.0013536394,0.0,0.0
0.0,0.0,0.6673281,0.022071179,0.0024767725,0.0,0.0
0.0,0.0,0.9012323,0.03145071,0.0042727985,0.0,0.0
0.0,0.0,0.55387187,0.05618792,0.0022635362,0.0,0.0
0.0,0.0,0.6615167,0.03738224,0.0022254174,0.0,0.0
0.0,0.0,0.78765076,0.015818886,0.004747625,0.0,0.0
0.0,0.0,1.3316993,0.017645039,0.004594136,0.0,0.0
0.0,0.0,1.0528693,0.027891763,0.0048545715,0.0065136394,0.0065136394
0.0,0.0,1.2230046,0.024161635,0.0052418844,0.005010926,0.005010926
0.0,0.0,0.97094864,0.023419809,0.005211225,0.004658846,0.004658846
0.0,0.0,0.30363065,0.022282977,0.0018774598,0.0024943685,0.0024943685
0.0,0.0,0.24164328,0.020530859,0.0011529843,0.0,0.0
0.0,0.0,0.92014116,0.030948669,0.0033929881,0.0,0.0
0.0,0.0,0.6441505,0.053507622,0.002847337,0.0,0.0
0.0,0.0,0.9221508,0.027049853,0.003145001,0.0,0.0
0.0,0.0,0.8876698,0.017311374,0.0042627724,0.0,0.0
0.0,0.0,2.7029293,0.026028052,0.011928296,0.0,0.0
0.0,0.0,2.7799776,0.03141469,0.017435733,0.01668663,0.01668663
0.0,0.0,2.6265519,0.03704019,0.011747919,0.011659164,0.011659164
0.0,0.0,1.3905673,0.020560797,0.008467726,0.008412787,0.008412787
0.0,0.0,0.67327195,0.020152278,0.0035326902,0.0034031007,0.0034031007
0.0,0.0,0.90323323,0.015759757,0.0039079217,0.0044426727,0.0044426727
0.0,0.0,0.21541108,0.035249826,0.00084917276,0.0,0.0
0.0,0.0,0.4121381,0.05975253,0.001985527,0.0,0.0
0.0,0.0,0.6279653,0.028311117,0.002511479,0.0,0.0
0.0,0.0,0.49202216,0.020933213,0.0022938745,0.0,0.0
0.0,0.0,1.2549753,0.04369822,0.005580644,0.0,0.0
0.0,0.0,1.5786768,0.024040516,0.007780418,0.007650725,0.007650725
0.0,0.0,1.4684002,0.030948995,0.006169668,0.005984928,0.005984928
0.0,0.0,0.9838863,0.019712498,0.004619522,0.004317099,0.004317099
0.0,0.0,0.8403422,0.024706215,0.0045114923,0.004578483,0.004578483
0.0,0.0,0.6218506,0.018335802,0.00283847,0.0031167893,0.0031167893
0.0,0.0,0.6696595,0.025022293,0.0025984284,0.002688837,0.002688837
0.0,0.0,0.27255377,0.04720616,0.0013596312,0.0,0.0
0.0,0.0,0.7321221,0.03591194,0.0026371107,0.0,0.0
0.0,0.0,0.6475712,0.018458964,0.0023699857,0.0,0.0
0.0,0.0,1.0831387,0.04303309,0.0044815512,0.0,0.0
0.0,0.0,1.6773378,0.022320952,0.0073547196,0.008458343,0.008458343
0.0,0.0,1.2558663,0.043207757,0.005628274,0.0059255674,0.0059255674
0.0,0.0,0.7757685,0.022478316,0.0034010208,0.0037195426,0.0037195426
0.0,0.0,0.6731221,0.032889258,0.0034060378,0.0040506176,0.0040506176
0.0,0.0,1.2488437,0.023319533,0.0052344888,0.005305879,0.005305879
0.0,0.0,2.6785016,0.033271182,0.010220495,0.009735758,0.009735758
0.0,0.0,0.22670965,0.049523868,0.0009055324,0.0018127586,0.0018127586
0.0,0.0,0.32117885,0.03807338,0.0014796503,0.0,0.0
0.0,0.0,0.48236385,0.017817054,0.0033133992,0.0,0.0
0.0,0.0,0.3543143,0.05410077,0.0016951644,0.0,0.0
0.0,0.0,2.162199,0.037131693,0.008500002,0.010202197,0.010202197
0.0,0.0,2.0520186,0.05136163,0.0069604195,0.007203602,0.007203602
0.0,0.0,0.895908,0.027491849,0.0038855458,0.0029401323,0.0029401323
0.0,0.0,1.0223932,0.03383804,0.00435396,0.0044134557,0.0044134557
0.0,0.0,1.1097642,0.027227893,0.0045442227,0.004489084,0.004489084
0.0,0.0,0.8794607,0.039120488,0.0030380911,0.0029435307,0.0029435307
0.0,0.0,0.46886855,0.05915041,0.0018946904,0.0029465815,0.0029465815
0.0,0.0,0.6632575,0.04081421,0.0024346453,0.0028403068,0.0028403068
0.0,0.0,0.3763419,0.024439817,0.0014460544,0.0,0.0
0.0,0.0,0.8964797,0.04077964,0.0030379877,0.0,0.0
0.0,0.0,2.1692288,0.030790057,0.009654498,0.011025417,0.011025417
0.0,0.0,2.1206362,0.054099683,0.0073608314,0.008447929,0.008447929
0.0,0.0,0.71447814,0.031787496,0.003581716,0.0040339185,0.0040339185
0.0,0.0,0.57518107,0.028796954,0.0020407895,0.00298933,0.00298933
0.0,0.0,1.1706976,0.0263116,0.0056018815,0.005960377,0.005960377
0.0,0.0,1.1627996,0.037252277,0.0046163923,0.0043296763,0.0043296763
0.0,0.0,0.51817906,0.06831264,0.0017661757,0.0023637896,0.0023637896
0.0,0.0,0.79097635,0.03943666,0.0025597957,0.0029372612,0.0029372612
0.0,0.0,0.7111495,0.022836376,0.002531677,0.0024571007,0.0024571007
0.0,0.0,0.39397693,0.045391396,0.0016442712,0.0,0.0
