training_exp,epoch,lr,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,331.7563,1.1061,-0.3200
0,1,0.002,248.2919,2.4021,-0.0006
0,2,0.002,210.4972,4.1017,0.0762
0,3,0.002,191.3457,3.8213,0.1741
0,4,0.002,176.9995,3.3877,0.2304
0,5,0.002,165.5505,3.7320,0.2753
0,6,0.002,156.2909,3.7582,0.3216
0,7,0.002,150.6894,3.4878,0.3496
0,8,0.002,145.9665,3.4542,0.3759
0,9,0.002,141.3227,3.2580,0.4040
0,10,0.002,137.4271,3.0538,0.4246
0,11,0.002,133.8394,3.0196,0.4400
0,12,0.002,130.9181,2.8458,0.4566
0,13,0.002,127.1245,2.7510,0.4736
0,14,0.002,124.3048,2.5702,0.4867
0,15,0.002,122.0591,2.4452,0.4940
0,16,0.002,118.4013,2.3291,0.5105
0,17,0.002,115.9544,2.2236,0.5182
0,18,0.002,113.2887,2.1221,0.5316
0,19,0.002,110.6421,2.0362,0.5431
0,20,0.002,108.6002,1.9655,0.5495
0,21,0.002,105.5461,1.9397,0.5647
0,22,0.002,104.1915,1.8694,0.5717
0,23,0.002,102.2449,1.8380,0.5807
0,24,0.002,100.3679,1.8101,0.5852
0,25,0.002,98.5647,1.7458,0.5943
0,26,0.002,96.4491,1.7295,0.6049
0,27,0.002,94.1857,1.7416,0.6127
0,28,0.002,93.0398,1.6255,0.6179
0,29,0.002,92.2994,1.6573,0.6204
0,30,0.002,90.6282,1.6685,0.6278
0,31,0.002,89.9190,1.5794,0.6285
0,32,0.002,88.0935,1.6051,0.6372
0,33,0.002,87.3610,1.6147,0.6410
0,34,0.002,85.8140,1.5671,0.6483
0,35,0.002,85.1997,1.6022,0.6486
0,36,0.002,82.8749,1.5174,0.6608
0,37,0.002,82.8802,1.5322,0.6608
0,38,0.002,81.3091,1.5379,0.6659
0,39,0.002,79.7341,1.4978,0.6725
0,40,0.002,79.5394,1.5060,0.6732
0,41,0.002,79.3751,1.5041,0.6757
0,42,0.002,76.9066,1.4647,0.6831
0,43,0.002,76.5816,1.4759,0.6843
0,44,0.002,76.4068,1.5224,0.6869
0,45,0.002,75.2802,1.4692,0.6880
0,46,0.002,74.4091,1.4765,0.6945
0,47,0.002,73.3803,1.4814,0.6979
0,48,0.002,72.3967,1.4731,0.7013
0,49,0.002,71.6863,1.4319,0.7049
