eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,34.618824,0.71645,0.8501125,0.0,0.0
1.0,0.0,62.627575,1.0862501,0.7493875,0.0,0.0
2.0,0.0,54.04363,0.947025,0.77302504,0.0,0.0
3.0,0.0,53.683617,1.3152125,0.7883875,0.0,0.0
4.0,0.0,75.59062,1.2067251,0.70923746,0.0,0.0
5.0,0.0,71.85934,1.03735,0.74819994,0.0,0.0
6.0,0.0,62.923676,1.3294626,0.7783375,0.0,0.0
7.0,0.0,83.30041,1.2984874,0.7227125,0.0,0.0
8.0,0.0,65.68643,0.98466253,0.8153875,0.0,0.0
9.0,0.0,59.023003,1.3785625,0.8038375,0.0,0.0
0.0,1.0,43.08721,0.72793746,0.82377493,0.026324999,-0.026324999
1.0,1.0,32.830463,0.87577504,0.853275,0.0,0.0
2.0,1.0,40.668514,0.86797506,0.82313746,0.0,0.0
3.0,1.0,42.171276,1.033275,0.8278125,0.0,0.0
4.0,1.0,54.79655,0.95765,0.77596253,0.0,0.0
5.0,1.0,57.994637,0.90035003,0.78576255,0.0,0.0
6.0,1.0,51.115112,1.1438375,0.80742496,0.0,0.0
7.0,1.0,64.643234,1.0694125,0.777975,0.0,0.0
8.0,1.0,52.023163,0.84889996,0.8433625,0.0,0.0
9.0,1.0,44.588974,1.1736876,0.84000003,0.0,0.0
0.0,2.0,46.358772,0.7726,0.8095375,0.040575,-0.040575
1.0,2.0,43.093964,1.0043374,0.81997496,0.033287503,-0.033287503
2.0,2.0,27.63729,0.8093375,0.87448746,0.0,0.0
3.0,2.0,38.249912,0.96675,0.84368753,0.0,0.0
4.0,2.0,50.829414,0.99895,0.788675,0.0,0.0
5.0,2.0,51.83288,0.87043756,0.80605006,0.0,0.0
6.0,2.0,48.467316,1.1882,0.8143875,0.0,0.0
7.0,2.0,63.293312,0.99003744,0.7816375,0.0,0.0
8.0,2.0,53.396187,0.761325,0.817575,0.0,0.0
9.0,2.0,52.04065,1.0560125,0.806825,0.0,0.0
0.0,3.0,47.5867,0.87934995,0.80255,0.047562502,-0.047562502
1.0,3.0,50.62481,1.1737125,0.788275,0.065,-0.065
2.0,3.0,35.72905,0.91975,0.839075,0.0353875,-0.0353875
3.0,3.0,21.453224,0.90197504,0.9094875,0.0,0.0
4.0,3.0,43.373333,0.9387875,0.81934994,0.0,0.0
5.0,3.0,51.74082,0.87761253,0.79876256,0.0,0.0
6.0,3.0,41.65942,1.1914874,0.83730006,0.0,0.0
7.0,3.0,54.86206,0.961775,0.809525,0.0,0.0
8.0,3.0,49.55166,0.7513125,0.8303875,0.0,0.0
9.0,3.0,45.259453,1.04285,0.823825,0.0,0.0
0.0,4.0,51.058186,1.0075126,0.788875,0.061237503,-0.061237503
1.0,4.0,57.235275,1.2321501,0.7627125,0.09055,-0.09055
2.0,4.0,40.41381,1.023825,0.813675,0.060787503,-0.060787503
3.0,4.0,27.46746,1.027375,0.885925,0.023575,-0.023575
4.0,4.0,27.608011,0.92673755,0.88395005,0.0,0.0
5.0,4.0,47.919003,0.898975,0.8083875,0.0,0.0
6.0,4.0,39.1072,1.2516,0.84770006,0.0,0.0
7.0,4.0,55.189026,0.98358756,0.8037875,0.0,0.0
8.0,4.0,46.653324,0.7772,0.84172505,0.0,0.0
9.0,4.0,45.491276,0.9734,0.82527506,0.0,0.0
0.0,5.0,57.398724,1.1067001,0.7457125,0.10435001,-0.10435001
1.0,5.0,59.885223,1.2962625,0.7407501,0.11252501,-0.11252501
2.0,5.0,40.935173,1.0545375,0.81114995,0.063337505,-0.063337505
3.0,5.0,30.710102,1.094675,0.871225,0.038275,-0.038275
4.0,5.0,37.614452,1.0123999,0.8442875,0.039674997,-0.039674997
5.0,5.0,30.972013,0.82433754,0.8726,0.0,0.0
6.0,5.0,36.538963,1.225225,0.8550626,0.0,0.0
7.0,5.0,47.712036,1.0460374,0.8377875,0.0,0.0
8.0,5.0,37.529278,0.7533876,0.8788751,0.0,0.0
9.0,5.0,27.946575,0.994475,0.89370006,0.0,0.0
0.0,6.0,56.33361,1.02635,0.76742506,0.082650006,-0.082650006
1.0,6.0,57.76776,1.2761625,0.76465,0.0885875,-0.0885875
2.0,6.0,40.736885,1.0026375,0.81885,0.0556125,-0.0556125
3.0,6.0,32.674835,1.018825,0.86294997,0.046575,-0.046575
4.0,6.0,39.8596,0.9712625,0.83570004,0.048262503,-0.048262503
5.0,6.0,39.454586,0.8265,0.84534997,0.027262498,-0.027262498
6.0,6.0,27.710224,1.05595,0.8898,0.0,0.0
7.0,6.0,47.752625,0.9126125,0.8376625,0.0,0.0
8.0,6.0,38.115,0.7239001,0.882225,0.0,0.0
9.0,6.0,27.014036,0.991025,0.90055,0.0,0.0
0.0,7.0,59.211002,1.059025,0.7597,0.09038751,-0.09038751
1.0,7.0,57.9171,1.3270001,0.7621875,0.091075,-0.091075
2.0,7.0,43.11944,1.0999501,0.8102125,0.0642875,-0.0642875
3.0,7.0,33.016586,1.1049875,0.863975,0.0455125,-0.0455125
4.0,7.0,41.008602,1.0587375,0.8335875,0.050362498,-0.050362498
5.0,7.0,41.893475,0.9192375,0.83555,0.0370625,-0.0370625
6.0,7.0,34.144722,1.2443875,0.8639375,0.025874998,-0.025874998
7.0,7.0,33.423622,0.89638746,0.8794,0.0,0.0
8.0,7.0,35.173,0.7430875,0.88743746,0.0,0.0
9.0,7.0,24.985712,0.9297375,0.91235,0.0,0.0
0.0,8.0,62.57347,1.1473875,0.74367493,0.1064,-0.1064
1.0,8.0,62.29815,1.397025,0.7503,0.10296251,-0.10296251
2.0,8.0,41.52072,1.0650125,0.81792504,0.0565625,-0.0565625
3.0,8.0,32.731915,0.9893,0.86585003,0.0436375,-0.0436375
4.0,8.0,43.82205,1.0299125,0.82315004,0.0608,-0.0608
5.0,8.0,41.01781,0.814,0.8398625,0.0327625,-0.0327625
6.0,8.0,34.573086,1.067,0.8656,0.024225,-0.024225
7.0,8.0,41.159176,0.86282504,0.85394996,0.0254375,-0.0254375
8.0,8.0,26.921387,0.59845,0.913725,0.0,0.0
9.0,8.0,24.394112,0.93658745,0.91193753,0.0,0.0
0.0,9.0,66.87829,1.1873375,0.72878754,0.1213125,-0.1213125
1.0,9.0,69.65081,1.5759499,0.72553754,0.127725,-0.127725
2.0,9.0,45.65831,1.1568251,0.80191255,0.0725625,-0.0725625
3.0,9.0,33.93716,1.153325,0.863975,0.045525,-0.045525
4.0,9.0,46.301514,1.0841374,0.8145375,0.0694125,-0.0694125
5.0,9.0,45.801365,0.94174993,0.82365,0.048925005,-0.048925005
6.0,9.0,38.07291,1.2847124,0.8544375,0.0353625,-0.0353625
7.0,9.0,47.39381,0.983425,0.8339125,0.045462504,-0.045462504
8.0,9.0,35.864162,0.72352505,0.8858375,0.0278875,-0.0278875
9.0,9.0,19.986925,0.856375,0.9258625,0.0,0.0
