eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.80845135,0.014952929,0.003310013,0.0,0.0
0.0,0.0,1.4180306,0.035789043,0.005334655,0.0,0.0
0.0,0.0,0.9549467,0.028260693,0.0038196067,0.0,0.0
0.0,0.0,2.111639,0.061842,0.007990368,0.0,0.0
0.0,0.0,2.7161202,0.05614551,0.0095073525,0.0,0.0
0.0,0.0,2.9770365,0.051724274,0.008110332,0.0,0.0
0.0,0.0,1.727383,0.072525755,0.0046321955,0.0,0.0
0.0,0.0,2.5765827,0.0843498,0.006876304,0.0,0.0
0.0,0.0,3.5931034,0.055028055,0.01003026,0.0,0.0
0.0,0.0,5.123783,0.08675779,0.017109565,0.0,0.0
0.0,0.0,0.36477408,0.007622643,0.0014981218,0.0032425877,0.0032425877
0.0,0.0,0.5585382,0.007820127,0.002793639,0.0,0.0
0.0,0.0,0.29060137,0.012622379,0.0012419098,0.0,0.0
0.0,0.0,0.9509637,0.020226138,0.004043026,0.0,0.0
0.0,0.0,0.8276675,0.01697565,0.0028297154,0.0,0.0
0.0,0.0,0.86610246,0.011577888,0.002942763,0.0,0.0
0.0,0.0,1.3131952,0.021086177,0.0053492393,0.0,0.0
0.0,0.0,1.3250722,0.036435686,0.0052611195,0.0,0.0
0.0,0.0,1.3146666,0.012043986,0.00508034,0.0,0.0
0.0,0.0,2.361004,0.03695621,0.009627047,0.0,0.0
0.0,0.0,0.41005316,0.011980187,0.0020621293,0.004283034,0.004283034
0.0,0.0,0.4584252,0.015134137,0.0015974705,0.0024379482,0.0024379482
0.0,0.0,0.1546882,0.017341482,0.00090614735,0.0,0.0
0.0,0.0,1.3158344,0.017673643,0.006158003,0.0,0.0
0.0,0.0,0.9581964,0.02009247,0.0043176217,0.0,0.0
0.0,0.0,0.49141562,0.0241894,0.0013481571,0.0,0.0
0.0,0.0,1.0349152,0.04093356,0.0041633532,0.0,0.0
0.0,0.0,1.2174729,0.030160852,0.0047505083,0.0,0.0
0.0,0.0,1.3684404,0.017711418,0.0052565974,0.0,0.0
0.0,0.0,2.0761926,0.02927695,0.007826997,0.0,0.0
0.0,0.0,0.5865797,0.013920484,0.00288921,0.003937619,0.003937619
0.0,0.0,0.8516735,0.02008167,0.003716435,0.003774255,0.003774255
0.0,0.0,0.54224765,0.013098184,0.0026371127,0.003451245,0.003451245
0.0,0.0,0.18879092,0.020101411,0.00092117937,0.0,0.0
0.0,0.0,0.37008545,0.014812025,0.0017284477,0.0,0.0
0.0,0.0,0.75824785,0.023849454,0.0034142828,0.0,0.0
0.0,0.0,0.5679301,0.044359185,0.0022605348,0.0,0.0
