training_exp,epoch,lr,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,336.2775,1.1074,-0.3131
0,1,0.002,260.0420,2.3069,-0.0144
0,2,0.002,211.5254,3.9522,0.0883
0,3,0.002,192.5767,4.0229,0.1756
0,4,0.002,176.1484,3.4815,0.2367
0,5,0.002,165.6107,3.6033,0.2788
0,6,0.002,157.2556,3.7334,0.3153
0,7,0.002,150.2946,3.4974,0.3467
0,8,0.002,145.2622,3.4032,0.3786
0,9,0.002,141.4598,3.3018,0.4017
0,10,0.002,137.7126,3.1002,0.4208
0,11,0.002,135.1882,2.9806,0.4383
0,12,0.002,132.1360,2.9093,0.4494
0,13,0.002,128.8469,2.7724,0.4649
0,14,0.002,126.6581,2.6504,0.4743
0,15,0.002,123.0509,2.5030,0.4896
0,16,0.002,120.2629,2.4319,0.5040
0,17,0.002,117.2008,2.3374,0.5160
0,18,0.002,116.0585,2.1846,0.5196
0,19,0.002,112.5114,2.0802,0.5349
0,20,0.002,110.4570,2.1155,0.5443
0,21,0.002,108.6698,1.9141,0.5502
0,22,0.002,106.4384,1.9310,0.5586
0,23,0.002,103.9433,1.8514,0.5713
0,24,0.002,102.7727,1.7985,0.5767
0,25,0.002,102.1322,1.7872,0.5783
0,26,0.002,98.4501,1.7525,0.5917
0,27,0.002,97.1835,1.6724,0.5987
0,28,0.002,95.8121,1.6871,0.6049
0,29,0.002,94.4144,1.6098,0.6094
0,30,0.002,93.2024,1.6217,0.6149
0,31,0.002,90.2073,1.5857,0.6287
0,32,0.002,89.8106,1.6160,0.6296
0,33,0.002,87.8153,1.5312,0.6389
0,34,0.002,87.7960,1.5644,0.6384
0,35,0.002,86.9499,1.6047,0.6417
0,36,0.002,84.6080,1.5254,0.6524
0,37,0.002,84.2187,1.5208,0.6520
0,38,0.002,82.9849,1.5301,0.6579
0,39,0.002,81.5116,1.4739,0.6640
0,40,0.002,81.4113,1.5082,0.6650
0,41,0.002,80.0482,1.4498,0.6703
0,42,0.002,78.4156,1.4625,0.6758
0,43,0.002,78.3765,1.4273,0.6759
0,44,0.002,76.6258,1.4634,0.6831
0,45,0.002,75.9233,1.3845,0.6861
0,46,0.002,75.3747,1.4126,0.6891
0,47,0.002,75.3096,1.3944,0.6892
0,48,0.002,73.2572,1.3750,0.6973
0,49,0.002,74.2516,1.4087,0.6918
0,50,0.002,73.3846,1.3525,0.6978
0,51,0.002,71.9573,1.3884,0.7028
0,52,0.002,71.3943,1.3801,0.7027
0,53,0.002,71.3725,1.3427,0.7035
0,54,0.002,70.0806,1.3989,0.7105
0,55,0.002,68.9491,1.3258,0.7129
0,56,0.002,69.3727,1.3508,0.7090
0,57,0.002,69.0695,1.2991,0.7117
0,58,0.002,68.4243,1.3348,0.7153
0,59,0.002,67.5563,1.3108,0.7195
0,60,0.002,67.9532,1.3311,0.7176
0,61,0.002,67.2273,1.2884,0.7175
0,62,0.002,65.3283,1.2885,0.7254
0,63,0.002,66.5346,1.2581,0.7230
0,64,0.002,64.7296,1.3327,0.7309
0,65,0.002,64.9640,1.3175,0.7294
0,66,0.002,64.2040,1.2570,0.7302
0,67,0.002,62.6281,1.2916,0.7369
0,68,0.002,64.3370,1.3247,0.7308
0,69,0.002,62.6525,1.2653,0.7356
0,70,0.002,62.3830,1.2861,0.7380
0,71,0.002,62.8149,1.2767,0.7372
0,72,0.002,63.2470,1.2884,0.7330
0,73,0.002,62.6562,1.2913,0.7354
0,74,0.002,61.2703,1.2595,0.7408
0,75,0.002,61.0919,1.2503,0.7434
0,76,0.002,60.9238,1.2924,0.7430
0,77,0.002,61.4139,1.2598,0.7406
0,78,0.002,60.9486,1.2337,0.7434
0,79,0.002,60.8444,1.2420,0.7417
0,80,0.002,59.9389,1.2595,0.7474
0,81,0.002,59.1993,1.2685,0.7500
0,82,0.002,59.9709,1.2090,0.7455
0,83,0.002,58.9369,1.2418,0.7501
0,84,0.002,57.8166,1.2355,0.7557
0,85,0.002,59.3173,1.2075,0.7491
