eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,26.4284,0.5518,0.88611245,0.0,0.0
1.0,0.0,64.125435,0.918175,0.7455375,0.0,0.0
2.0,0.0,56.26281,0.790275,0.77067494,0.0,0.0
3.0,0.0,59.238384,1.015625,0.769775,0.0,0.0
4.0,0.0,78.99303,0.9476875,0.69737506,0.0,0.0
5.0,0.0,74.351814,0.8433625,0.7419125,0.0,0.0
6.0,0.0,66.48596,1.053775,0.76585007,0.0,0.0
7.0,0.0,87.50377,0.99861246,0.7130625,0.0,0.0
8.0,0.0,71.02428,0.8882125,0.79465,0.0,0.0
9.0,0.0,62.18392,1.1877,0.79428744,0.0,0.0
0.0,1.0,37.099617,0.5906125,0.849625,0.036475,-0.036475
1.0,1.0,26.0452,0.6368625,0.88106245,0.0,0.0
2.0,1.0,37.454597,0.6901125,0.838925,0.0,0.0
3.0,1.0,41.283825,0.81716245,0.83063745,0.0,0.0
4.0,1.0,54.179123,0.77717495,0.78285,0.0,0.0
5.0,1.0,54.228313,0.68932503,0.7975875,0.0,0.0
6.0,1.0,47.864864,0.86572504,0.8185374,0.0,0.0
7.0,1.0,62.65643,0.83938754,0.7881,0.0,0.0
8.0,1.0,51.775043,0.71521246,0.8363375,0.0,0.0
9.0,1.0,44.10003,0.93218756,0.84618753,0.0,0.0
0.0,2.0,40.875565,0.61432505,0.83401257,0.052112505,-0.052112505
1.0,2.0,37.307438,0.7627624,0.84035,0.040725,-0.040725
2.0,2.0,23.362087,0.58746254,0.89631253,0.0,0.0
3.0,2.0,35.7602,0.7301,0.85185003,0.0,0.0
4.0,2.0,46.926212,0.69266254,0.80687505,0.0,0.0
5.0,2.0,49.2299,0.6378375,0.81514996,0.0,0.0
6.0,2.0,44.848297,0.84346247,0.82687503,0.0,0.0
7.0,2.0,60.863636,0.7518125,0.79060006,0.0,0.0
8.0,2.0,51.337452,0.65538746,0.83011246,0.0,0.0
9.0,2.0,48.317036,0.9265875,0.828675,0.0,0.0
0.0,3.0,43.710114,0.6535625,0.820575,0.0655375,-0.0655375
1.0,3.0,45.798183,0.85263747,0.80373746,0.0773375,-0.0773375
2.0,3.0,31.934488,0.66106254,0.85965,0.0366625,-0.0366625
3.0,3.0,17.289352,0.61362493,0.92823744,0.0,0.0
4.0,3.0,39.72115,0.65646255,0.83938754,0.0,0.0
5.0,3.0,48.203762,0.62520003,0.812575,0.0,0.0
6.0,3.0,40.051025,0.8094124,0.84406257,0.0,0.0
7.0,3.0,53.589424,0.72116244,0.81415,0.0,0.0
8.0,3.0,50.492836,0.66232497,0.8327,0.0,0.0
9.0,3.0,40.82348,0.7817125,0.85041255,0.0,0.0
0.0,4.0,46.8584,0.74625003,0.81215,0.0740125,-0.0740125
1.0,4.0,50.060863,0.9048375,0.7916,0.089475006,-0.089475006
2.0,4.0,35.886463,0.7364375,0.84009993,0.056225,-0.056225
3.0,4.0,23.758337,0.7155625,0.902075,0.026174998,-0.026174998
4.0,4.0,23.019012,0.604325,0.90398747,0.0,0.0
5.0,4.0,44.43689,0.6346125,0.82283753,0.0,0.0
6.0,4.0,38.306137,0.86899996,0.8503875,0.0,0.0
7.0,4.0,53.868336,0.7304625,0.812025,0.0,0.0
8.0,4.0,50.06948,0.6731875,0.8270625,0.0,0.0
9.0,4.0,43.50895,0.75306255,0.83804995,0.0,0.0
0.0,5.0,49.901146,0.83052504,0.79575,0.0904,-0.0904
