training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,252.1524,3.3557,-0.0499
0,1,182.1992,3.5966,0.2222
0,2,158.5770,3.6906,0.3249
0,3,143.1743,3.3562,0.3945
0,4,130.9905,2.9674,0.4546
0,5,121.2305,2.5099,0.5002
0,6,112.9103,2.2567,0.5384
0,7,106.5266,2.1123,0.5662
0,8,101.3030,2.0138,0.5872
0,9,95.8117,1.9079,0.6093
0,10,91.4227,1.8419,0.6276
0,11,87.4018,1.7758,0.6426
0,12,83.7898,1.6869,0.6595
0,13,79.7512,1.6183,0.6757
0,14,76.5788,1.6007,0.6894
0,15,71.9384,1.5130,0.7090
0,16,70.2911,1.4831,0.7148
0,17,67.8781,1.4567,0.7243
0,18,66.6914,1.3822,0.7264
0,19,64.1935,1.3672,0.7384
0,20,62.7029,1.2970,0.7423
0,21,60.5502,1.2721,0.7506
0,22,59.2576,1.2677,0.7564
0,23,57.9463,1.2449,0.7606
0,24,57.5810,1.2159,0.7619
0,25,55.8802,1.1847,0.7678
0,26,55.3470,1.1937,0.7712
0,27,53.7435,1.1460,0.7764
0,28,52.8775,1.1563,0.7782
0,29,52.0914,1.1248,0.7827
0,30,51.6016,1.1054,0.7839
0,31,51.0702,1.1125,0.7868
0,32,49.7149,1.0932,0.7914
0,33,49.4520,1.1048,0.7926
0,34,48.4969,1.0614,0.7977
0,35,48.1914,1.0443,0.7974
0,36,48.3916,1.0855,0.7968
0,37,47.1928,1.0224,0.8017
0,38,46.5676,1.0408,0.8020
0,39,45.7739,1.0454,0.8054
0,40,45.7773,0.9955,0.8056
0,41,44.8780,1.0122,0.8095
0,42,44.8778,1.0104,0.8112
0,43,44.8831,1.0053,0.8109
0,44,43.6285,0.9929,0.8156
0,45,43.1026,0.9966,0.8179
0,46,42.9412,0.9849,0.8173
0,47,42.7453,0.9563,0.8192
0,48,42.5086,0.9725,0.8191
0,49,41.6752,0.9869,0.8246
0,50,41.5886,0.9557,0.8246
0,51,40.8761,0.9623,0.8273
0,52,41.1419,0.9420,0.8251
0,53,40.6587,0.9579,0.8277
0,54,40.3882,0.9488,0.8279
0,55,40.0810,0.9489,0.8296
0,56,40.2074,0.9551,0.8289
0,57,39.7829,0.9427,0.8304
0,58,39.1567,0.9351,0.8338
0,59,39.8267,0.9385,0.8296
0,60,39.2274,0.9195,0.8331
0,61,39.1235,0.9258,0.8344
0,62,38.5946,0.9016,0.8352
0,63,38.8652,0.9247,0.8337
0,64,38.1620,0.9262,0.8371
0,65,38.3539,0.9045,0.8373
0,66,37.1762,0.9178,0.8416
0,67,37.1977,0.9172,0.8416
0,68,37.1565,0.9063,0.8426
0,69,37.4618,0.9039,0.8385
0,70,37.3989,0.8831,0.8402
0,71,37.0110,0.9012,0.8415
0,72,36.7418,0.9136,0.8416
0,73,36.2870,0.8841,0.8455
0,74,35.8729,0.8886,0.8449
0,75,35.9063,0.8836,0.8465
0,76,36.4207,0.8967,0.8448
0,77,35.4134,0.8816,0.8484
0,78,36.1841,0.8863,0.8443
