training_exp,epoch,lr,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,254.7671,3.2735,-0.0488
0,1,0.002,181.7333,3.7944,0.2182
0,2,0.002,157.4423,3.5785,0.3247
0,3,0.002,142.9975,3.4726,0.3969
0,4,0.002,130.2156,2.8980,0.4574
0,5,0.002,119.2430,2.5635,0.5134
0,6,0.002,110.5641,2.3079,0.5512
0,7,0.002,104.0739,2.1186,0.5758
0,8,0.002,100.1551,2.0021,0.5902
0,9,0.002,93.6854,1.8769,0.6174
0,10,0.002,89.2636,1.8053,0.6363
0,11,0.002,84.9804,1.7693,0.6545
0,12,0.002,81.1177,1.6726,0.6716
0,13,0.002,77.1957,1.6190,0.6884
0,14,0.002,74.9469,1.5522,0.6938
0,15,0.002,71.8763,1.5079,0.7062
0,16,0.002,69.5412,1.5017,0.7158
0,17,0.002,67.4534,1.4085,0.7237
0,18,0.002,65.7673,1.3988,0.7315
0,19,0.002,63.9519,1.3757,0.7369
0,20,0.002,61.3428,1.3262,0.7489
0,21,0.002,60.0557,1.2743,0.7528
0,22,0.002,59.7015,1.2632,0.7528
0,23,0.002,57.8201,1.2509,0.7608
0,24,0.002,56.6719,1.2194,0.7666
0,25,0.002,55.0172,1.2298,0.7730
0,26,0.002,54.4171,1.2061,0.7746
0,27,0.002,53.3767,1.1573,0.7790
0,28,0.002,53.1258,1.1826,0.7793
0,29,0.002,51.1599,1.1474,0.7868
0,30,0.002,51.3841,1.1306,0.7859
0,31,0.002,50.0747,1.1319,0.7911
0,32,0.002,48.9144,1.0947,0.7960
0,33,0.002,49.0685,1.1005,0.7955
0,34,0.002,48.5408,1.1209,0.7962
0,35,0.002,47.8504,1.0932,0.7982
0,36,0.002,46.9985,1.0900,0.8034
0,37,0.002,46.1853,1.0735,0.8045
0,38,0.002,46.8016,1.0351,0.8042
0,39,0.002,45.1344,1.0612,0.8103
0,40,0.002,45.2977,1.0468,0.8088
0,41,0.002,44.6711,1.0406,0.8114
0,42,0.002,44.0203,1.0341,0.8142
0,43,0.002,43.9219,1.0205,0.8134
0,44,0.002,43.5678,1.0176,0.8167
0,45,0.002,42.5420,0.9903,0.8213
0,46,0.002,42.4537,1.0115,0.8192
0,47,0.002,42.0126,0.9962,0.8226
0,48,0.002,42.8246,0.9996,0.8195
0,49,0.002,42.0551,0.9952,0.8205
0,50,0.002,41.3096,0.9710,0.8262
0,51,0.002,40.6841,0.9737,0.8278
0,52,0.002,40.6884,0.9908,0.8274
0,53,0.002,41.2814,1.0045,0.8249
0,54,0.002,40.7148,0.9736,0.8272
0,55,0.002,40.3676,0.9463,0.8298
0,56,0.002,39.7072,0.9524,0.8300
0,57,0.002,40.2769,0.9804,0.8288
0,58,0.002,39.6727,0.9627,0.8323
0,59,0.002,38.9587,0.9334,0.8349
0,60,0.002,38.4614,0.9552,0.8362
0,61,0.002,38.4509,0.9364,0.8370
0,62,0.002,39.0509,0.9666,0.8354
0,63,0.002,38.1980,0.9330,0.8385
0,64,0.002,37.8769,0.9477,0.8394
0,65,0.002,37.4947,0.9304,0.8412
0,66,0.002,37.5597,0.9263,0.8391
0,67,0.002,37.0739,0.9326,0.8408
0,68,0.002,37.4013,0.9195,0.8401
0,69,0.002,36.6045,0.9218,0.8433
0,70,0.002,36.7251,0.8979,0.8428
0,71,0.002,36.5409,0.9037,0.8443
0,72,0.002,36.6593,0.9181,0.8428
0,73,0.002,36.4194,0.9063,0.8442
0,74,0.002,35.4267,0.9132,0.8497
0,75,0.002,36.1811,0.8920,0.8462
0,76,0.002,35.7934,0.8920,0.8473
0,77,0.002,35.7618,0.9380,0.8470
0,78,0.002,35.3977,0.8623,0.8483
0,79,0.002,35.2920,0.8877,0.8488
0,80,0.002,35.1970,0.8817,0.8502
0,81,0.002,34.8261,0.8766,0.8505
0,82,0.002,35.0781,0.8761,0.8510
0,83,0.002,34.8407,0.8670,0.8507
0,84,0.002,34.5340,0.8713,0.8519
0,85,0.002,34.2808,0.8665,0.8525
0,86,0.002,33.5843,0.8648,0.8564
0,87,0.002,34.3335,0.8641,0.8539
0,88,0.002,33.8371,0.8881,0.8544
0,89,0.002,33.5097,0.8433,0.8575
0,90,0.002,33.5316,0.8534,0.8555
0,91,0.002,33.6210,0.8536,0.8544
0,92,0.002,33.2402,0.8490,0.8576
0,93,0.002,33.2757,0.8242,0.8568
0,94,0.002,32.4304,0.8449,0.8604
0,95,0.002,32.7685,0.8424,0.8592
0,96,0.002,32.8318,0.8300,0.8584
0,97,0.002,32.3680,0.8677,0.8614
0,98,0.002,33.2186,0.8408,0.8572
0,99,0.002,32.6372,0.8465,0.8603
0,100,0.002,32.0957,0.8406,0.8621
0,101,0.002,32.3158,0.8318,0.8609
0,102,0.002,32.2005,0.8392,0.8624
0,103,0.002,31.7213,0.8266,0.8635
0,104,0.002,31.7542,0.8202,0.8636
0,105,0.002,32.2340,0.8193,0.8620
0,106,0.002,31.7139,0.8333,0.8642
0,107,0.002,31.5059,0.8319,0.8657
0,108,0.002,31.8021,0.8333,0.8628
0,109,0.002,31.6730,0.8184,0.8650
0,110,0.002,31.7513,0.8225,0.8627
0,111,0.002,31.7784,0.8255,0.8632
0,112,0.002,31.0331,0.8108,0.8673
0,113,0.002,30.9466,0.8268,0.8661
0,114,0.002,31.1173,0.8279,0.8653
0,115,0.002,30.9937,0.8052,0.8665
0,116,0.002,30.7583,0.8053,0.8682
0,117,0.002,31.1787,0.8250,0.8649
0,118,0.002,31.0639,0.8126,0.8674
