eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,34.926735,0.71564996,0.84838754,0.0,0.0
1.0,0.0,62.671555,1.090575,0.7487625,0.0,0.0
2.0,0.0,54.118736,0.95116246,0.7730125,0.0,0.0
3.0,0.0,53.893578,1.3187376,0.78797495,0.0,0.0
4.0,0.0,75.46304,1.2106375,0.7097625,0.0,0.0
5.0,0.0,72.111984,1.0507749,0.74707496,0.0,0.0
6.0,0.0,62.85489,1.3446499,0.77875006,0.0,0.0
7.0,0.0,82.975174,1.305825,0.7237375,0.0,0.0
8.0,0.0,66.899826,0.9923625,0.8133375,0.0,0.0
9.0,0.0,59.15719,1.4313875,0.802825,0.0,0.0
0.0,1.0,43.244026,0.72774994,0.8234875,0.024925,-0.024925
1.0,1.0,32.88301,0.8727625,0.8530875,0.0,0.0
2.0,1.0,40.731537,0.8627375,0.82285005,0.0,0.0
3.0,1.0,42.379963,1.0279125,0.8276125,0.0,0.0
4.0,1.0,55.282207,0.95463747,0.77549994,0.0,0.0
5.0,1.0,58.47549,0.89866245,0.7848625,0.0,0.0
6.0,1.0,51.15559,1.13975,0.80796254,0.0,0.0
7.0,1.0,64.50895,1.0558374,0.779025,0.0,0.0
8.0,1.0,52.150623,0.8433625,0.8446125,0.0,0.0
9.0,1.0,45.348408,1.1693249,0.837025,0.0,0.0
0.0,2.0,46.628723,0.77378756,0.807425,0.040975,-0.040975
1.0,2.0,40.678337,0.9763125,0.82650006,0.0265625,-0.0265625
2.0,2.0,28.7625,0.8264375,0.8698876,0.0,0.0
3.0,2.0,36.361496,0.98562497,0.8504125,0.0,0.0
4.0,2.0,50.120716,1.0037125,0.7923125,0.0,0.0
5.0,2.0,52.50395,0.8929125,0.802475,0.0,0.0
6.0,2.0,47.9677,1.2174624,0.8145375,0.0,0.0
7.0,2.0,60.371273,1.001675,0.7900625,0.0,0.0
8.0,2.0,51.696793,0.76423746,0.8262,0.0,0.0
9.0,2.0,47.37226,1.0858126,0.81972504,0.0,0.0
0.0,3.0,47.541286,0.78730005,0.80230004,0.0461375,-0.0461375
1.0,3.0,43.434063,0.99895,0.815275,0.037825003,-0.037825003
2.0,3.0,34.140625,0.8654875,0.84627503,0.023625,-0.023625
3.0,3.0,23.11265,0.92185,0.9025875,0.0,0.0
4.0,3.0,45.57371,0.95348746,0.80992496,0.0,0.0
5.0,3.0,52.7136,0.88192505,0.795375,0.0,0.0
6.0,3.0,44.185265,1.202475,0.8270625,0.0,0.0
7.0,3.0,55.36035,0.96741253,0.80612504,0.0,0.0
8.0,3.0,49.195564,0.75482506,0.832025,0.0,0.0
9.0,3.0,42.838314,1.0522,0.8354125,0.0,0.0
0.0,4.0,47.92107,0.8226125,0.8020875,0.046325002,-0.046325002
1.0,4.0,44.555298,1.0281625,0.81165,0.041449998,-0.041449998
2.0,4.0,34.211914,0.91287494,0.84540004,0.024500003,-0.024500003
3.0,4.0,25.725775,0.9916625,0.8919375,0.010637499,-0.010637499
4.0,4.0,30.08079,0.9487625,0.8715625,0.0,0.0
5.0,4.0,48.48885,0.90208745,0.80777496,0.0,0.0
6.0,4.0,41.299152,1.2496626,0.837525,0.0,0.0
7.0,4.0,53.681503,0.98481256,0.809725,0.0,0.0
8.0,4.0,45.243164,0.767625,0.845625,0.0,0.0
9.0,4.0,39.398888,1.0271126,0.8495625,0.0,0.0
0.0,5.0,48.94636,0.86603755,0.79665005,0.051762503,-0.051762503
1.0,5.0,45.946724,1.0484126,0.80735,0.045725,-0.045725
2.0,5.0,34.76265,0.9379,0.8452625,0.0246375,-0.0246375
3.0,5.0,27.272913,1.01255,0.884475,0.0180875,-0.0180875
4.0,5.0,34.05585,0.973675,0.8574625,0.0141125,-0.0141125
5.0,5.0,32.479187,0.8558625,0.868725,0.0,0.0
6.0,5.0,38.154427,1.2454625,0.8488625,0.0,0.0
7.0,5.0,48.290375,0.9989625,0.83263755,0.0,0.0
8.0,5.0,39.7377,0.74965006,0.866375,0.0,0.0
9.0,5.0,30.84616,1.012375,0.88025004,0.0,0.0
0.0,6.0,48.948124,0.85678744,0.79658747,0.051812496,-0.051812496
1.0,6.0,45.690712,1.0482999,0.80890006,0.044175,-0.044175
2.0,6.0,34.893837,0.9168999,0.84379995,0.026074998,-0.026074998
3.0,6.0,26.727764,0.9796001,0.88699996,0.0155875,-0.0155875
4.0,6.0,34.132687,0.9546375,0.8567625,0.0148,-0.0148
5.0,6.0,35.11735,0.8365,0.85911244,0.009612501,-0.009612501
6.0,6.0,29.442888,1.141875,0.88385,0.0,0.0
7.0,6.0,46.50459,0.928625,0.8387375,0.0,0.0
8.0,6.0,37.520714,0.72830003,0.87762505,0.0,0.0
9.0,6.0,29.18644,0.988925,0.88881254,0.0,0.0
0.0,7.0,51.062412,0.8832625,0.7886,0.0598125,-0.0598125
1.0,7.0,47.407112,1.0832125,0.80213755,0.05095,-0.05095
2.0,7.0,35.12035,0.9518125,0.84362507,0.026237499,-0.026237499
3.0,7.0,27.574163,1.0079249,0.8843875,0.0181875,-0.0181875
4.0,7.0,34.994247,0.97903746,0.85410005,0.0174875,-0.0174875
5.0,7.0,35.341373,0.8685125,0.858575,0.0101625,-0.0101625
6.0,7.0,32.190777,1.2117376,0.8742626,0.009587499,-0.009587499
7.0,7.0,36.099228,0.9062,0.87085,0.0,0.0
8.0,7.0,35.717884,0.73303753,0.8832375,0.0,0.0
9.0,7.0,24.799936,0.9687,0.90712506,0.0,0.0
0.0,8.0,50.979572,0.886475,0.7878375,0.0605625,-0.0605625
1.0,8.0,47.184525,1.0836875,0.8021625,0.050925,-0.050925
2.0,8.0,35.347477,0.93735003,0.84250003,0.0274,-0.0274
3.0,8.0,27.698887,0.98494995,0.88293755,0.0196375,-0.0196375
4.0,8.0,35.504135,0.9665625,0.852025,0.019537501,-0.019537501
5.0,8.0,35.77006,0.8359875,0.856675,0.0120375,-0.0120375
6.0,8.0,32.284264,1.1624501,0.8745125,0.0093625,-0.0093625
7.0,8.0,38.889984,0.894425,0.8611001,0.0097625,-0.0097625
8.0,8.0,28.459862,0.6557875,0.91015,0.0,0.0
9.0,8.0,23.530514,0.98365,0.91148746,0.0,0.0
0.0,9.0,51.433323,0.89573747,0.784775,0.0636125,-0.0636125
1.0,9.0,48.029892,1.1190624,0.79926246,0.053825002,-0.053825002
2.0,9.0,35.936188,0.965425,0.8393251,0.030575002,-0.030575002
3.0,9.0,28.313412,1.022075,0.8806,0.0219875,-0.0219875
4.0,9.0,35.760735,0.98663753,0.8505375,0.021050002,-0.021050002
5.0,9.0,36.472477,0.8683875,0.85456246,0.014175,-0.014175
6.0,9.0,32.67173,1.2117,0.8729375,0.0109250005,-0.0109250005
7.0,9.0,40.508,0.919625,0.8557124,0.0151375,-0.0151375
8.0,9.0,30.730026,0.69437504,0.9013125,0.00885,-0.00885
9.0,9.0,20.208786,0.876725,0.92390007,0.0,0.0
