eval_exp,training_exp,Loss_Exp,Time_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,25.138575,0.173475,0.520325,0.88995004,0.0,0.0
1.0,0.0,65.01865,0.2599,0.86352503,0.746125,0.0,0.0
2.0,0.0,57.552673,0.22639999,0.756075,0.764875,0.0,0.0
3.0,0.0,63.3367,0.3282,0.969825,0.7551,0.0,0.0
4.0,0.0,82.692474,0.135425,0.91912496,0.6891501,0.0,0.0
5.0,0.0,78.71725,0.115225,0.818575,0.72925,0.0,0.0
6.0,0.0,69.08443,0.161225,1.01915,0.76037496,0.0,0.0
7.0,0.0,91.42493,0.15660001,0.93955004,0.7049,0.0,0.0
8.0,0.0,74.23545,0.046825,0.7826,0.79365003,0.0,0.0
9.0,0.0,64.49442,0.028549999,0.973125,0.791175,0.0,0.0
0.0,1.0,33.696,0.2451,0.64355,0.857425,0.03255,-0.03255
1.0,1.0,36.621597,0.35095,0.98759997,0.846675,0.0,0.0
2.0,1.0,41.21382,0.373925,0.88989997,0.822675,0.0,0.0
3.0,1.0,44.19135,0.22635001,1.2198999,0.8233,0.0,0.0
4.0,1.0,55.1731,0.12889999,1.1845001,0.77735,0.0,0.0
5.0,1.0,54.42215,0.119875,1.0035,0.796225,0.0,0.0
6.0,1.0,50.247498,0.21007499,1.306375,0.812925,0.0,0.0
7.0,1.0,68.89278,0.2287,1.330775,0.77532506,0.0,0.0
8.0,1.0,50.7024,0.043475002,0.938575,0.84815,0.0,0.0
9.0,1.0,48.927223,0.030025002,1.3882499,0.82815003,0.0,0.0
0.0,2.0,37.430252,0.266175,0.748425,0.84,0.049950004,-0.049950004
1.0,2.0,39.603027,0.35205,1.0922,0.83477503,0.0119,-0.0119
2.0,2.0,31.134651,0.40265,0.994,0.865875,0.0,0.0
3.0,2.0,36.43935,0.20754999,1.245575,0.851925,0.0,0.0
4.0,2.0,49.24465,0.191675,1.308275,0.795175,0.0,0.0
5.0,2.0,49.4477,0.1446,1.126325,0.81242496,0.0,0.0
6.0,2.0,44.699574,0.1677,1.3762751,0.8308,0.0,0.0
7.0,2.0,59.85225,0.242125,1.2988,0.796875,0.0,0.0
8.0,2.0,47.450924,0.052750003,0.927675,0.846275,0.0,0.0
9.0,2.0,43.556973,0.030274998,1.696475,0.85117495,0.0,0.0
0.0,3.0,40.1655,0.2075,0.80682504,0.829325,0.06065,-0.06065
1.0,3.0,41.93225,0.328875,1.1564,0.8249,0.0218,-0.0218
2.0,3.0,34.848976,0.387025,1.1357,0.849675,0.016224999,-0.016224999
3.0,3.0,23.814575,0.19657499,1.24325,0.905025,0.0,0.0
4.0,3.0,44.298775,0.1382,1.3282,0.8211,0.0,0.0
5.0,3.0,49.114777,0.16685,1.263575,0.81049997,0.0,0.0
6.0,3.0,43.161724,0.1615,1.535,0.83475,0.0,0.0
7.0,3.0,55.196175,0.23642498,1.396725,0.81167495,0.0,0.0
8.0,3.0,47.5258,0.0494,1.022275,0.84105,0.0,0.0
9.0,3.0,39.5788,0.026524998,1.5826501,0.8564,0.0,0.0
0.0,4.0,42.0434,0.273325,0.87827504,0.826225,0.063775,-0.063775
1.0,4.0,44.2819,0.361575,1.14495,0.81589997,0.030775,-0.030775
2.0,4.0,35.378952,0.27175,1.151575,0.84677505,0.0191,-0.0191
3.0,4.0,26.9853,0.21072501,1.35,0.89277506,0.012275,-0.012275
4.0,4.0,29.690973,0.1649,1.3725,0.88102496,0.0,0.0
5.0,4.0,46.730625,0.113575,1.25865,0.81852496,0.0,0.0
6.0,4.0,41.630478,0.255575,1.64835,0.84009993,0.0,0.0
7.0,4.0,54.762123,0.16402501,1.4159501,0.814575,0.0,0.0
8.0,4.0,45.92365,0.0454,1.1015749,0.8472,0.0,0.0
9.0,4.0,35.697147,0.0253,1.546825,0.868175,0.0,0.0
0.0,5.0,44.425877,0.24935001,0.917475,0.816975,0.073,-0.073
1.0,5.0,46.246925,0.4034,1.168025,0.80957496,0.037125,-0.037125
2.0,5.0,36.636574,0.33824998,1.159025,0.842575,0.0233,-0.0233
3.0,5.0,28.503849,0.24615,1.3030499,0.88675,0.0183,-0.0183
4.0,5.0,35.044926,0.14880002,1.2752249,0.85995,0.0211,-0.0211
5.0,5.0,33.051975,0.21935,1.150525,0.87075,0.0,0.0
6.0,5.0,37.9461,0.19624999,1.580325,0.85429996,0.0,0.0
7.0,5.0,49.062477,0.229425,1.33545,0.83385,0.0,0.0
8.0,5.0,39.591248,0.04525,0.987975,0.866,0.0,0.0
9.0,5.0,28.8393,0.0305,1.4491501,0.8945,0.0,0.0
0.0,6.0,43.90645,0.275975,0.9279,0.81925,0.070725,-0.070725
1.0,6.0,45.607372,0.40685,1.1794,0.81090003,0.035800003,-0.035800003
2.0,6.0,36.750225,0.47235,1.12855,0.83917505,0.0267,-0.0267
3.0,6.0,28.222425,0.21545,1.2862251,0.88652503,0.01855,-0.01855
4.0,6.0,35.4497,0.1589,1.239125,0.85855,0.022525,-0.022525
5.0,6.0,34.458923,0.215175,1.08135,0.8635,0.0073,-0.0073
6.0,6.0,31.066898,0.22260001,1.4730251,0.88085,0.0,0.0
7.0,6.0,46.961773,0.24797499,1.2733,0.840575,0.0,0.0
8.0,6.0,38.5529,0.062850006,0.96250004,0.8736,0.0,0.0
9.0,6.0,29.136549,0.03585,1.501075,0.892725,0.0,0.0
0.0,7.0,47.1263,0.23934999,0.9495,0.80782497,0.08212499,-0.08212499
1.0,7.0,48.26455,0.32295,1.2031,0.801775,0.044875,-0.044875
2.0,7.0,38.455074,0.40714997,1.1793249,0.833025,0.032875,-0.032875
3.0,7.0,30.26305,0.18272501,1.2988,0.878475,0.026600001,-0.026600001
4.0,7.0,38.0481,0.1821,1.28245,0.84887505,0.032125,-0.032125
5.0,7.0,37.75745,0.144575,1.143475,0.8528,0.01795,-0.01795
6.0,7.0,33.70525,0.210275,1.5257001,0.87185,0.008974999,-0.008974999
7.0,7.0,38.223827,0.14932501,1.1954,0.86800003,0.0,0.0
8.0,7.0,38.09185,0.0475,1.015825,0.87654996,0.0,0.0
9.0,7.0,28.529701,0.022650002,1.4514751,0.894875,0.0,0.0
0.0,8.0,47.876877,0.2504,0.98855007,0.804225,0.085700005,-0.085700005
1.0,8.0,49.092926,0.35852498,1.227875,0.79985,0.046825,-0.046825
2.0,8.0,38.602524,0.283525,1.1604501,0.83355004,0.032325,-0.032325
3.0,8.0,30.117,0.23,1.23525,0.87935,0.025674999,-0.025674999
4.0,8.0,38.711575,0.13087499,1.23365,0.84627503,0.034775004,-0.034775004
5.0,8.0,37.411674,0.10065,1.077725,0.854975,0.015825002,-0.015825002
6.0,8.0,34.025826,0.212125,1.43765,0.8714,0.009450001,-0.009450001
7.0,8.0,40.735447,0.18645,1.155075,0.85905004,0.008975,-0.008975
8.0,8.0,28.499027,0.040825,0.79215,0.91069996,0.0,0.0
9.0,8.0,27.403502,0.020375,1.40375,0.90344995,0.0,0.0
0.0,9.0,48.623825,0.2007,0.94085,0.801375,0.0886,-0.0886
1.0,9.0,49.781326,0.26017502,1.1703498,0.79705,0.04965,-0.04965
2.0,9.0,39.439026,0.35595,1.02175,0.829975,0.035925,-0.035925
3.0,9.0,31.0548,0.16615,1.0724001,0.87670004,0.02835,-0.02835
4.0,9.0,40.28335,0.16685,1.0301,0.84025,0.0408,-0.0408
5.0,9.0,39.02135,0.1131,0.92845,0.85077506,0.020025002,-0.020025002
6.0,9.0,35.384323,0.137,1.2449,0.86660004,0.01425,-0.01425
7.0,9.0,43.5716,0.2077,0.9798,0.851025,0.016999999,-0.016999999
8.0,9.0,32.747375,0.038775,0.716725,0.89797497,0.0127,-0.0127
9.0,9.0,18.034775,0.032825,0.94385004,0.93515,0.0,0.0
