training_exp,epoch,lr,Loss_Epoch,Time_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,256.0377,0.8809,3.2946,-0.0548
0,1,0.002,184.0409,0.5227,3.6906,0.2182
0,2,0.002,159.6384,0.5482,3.4888,0.3239
0,3,0.002,143.7583,0.4427,3.4527,0.4019
0,4,0.002,129.9413,0.3989,2.8976,0.4615
0,5,0.002,120.4504,0.5444,2.4965,0.5026
0,6,0.002,111.6181,0.5484,2.2356,0.5438
0,7,0.002,105.5889,0.4156,2.0396,0.5698
0,8,0.002,98.9304,0.3878,1.9293,0.5958
0,9,0.002,94.5796,0.5528,1.8613,0.6138
0,10,0.002,89.4192,0.5416,1.7751,0.6339
0,11,0.002,85.4257,0.4105,1.7339,0.6526
0,12,0.002,82.2170,0.4458,1.6486,0.6660
0,13,0.002,77.8766,0.5576,1.5748,0.6836
0,14,0.002,74.5851,0.5301,1.5513,0.6966
0,15,0.002,71.6255,0.3919,1.4925,0.7085
0,16,0.002,68.9620,0.3940,1.4411,0.7199
0,17,0.002,67.5052,0.6109,1.3918,0.7249
0,18,0.002,65.7071,0.5166,1.3697,0.7323
0,19,0.002,63.2023,0.3639,1.3667,0.7410
0,20,0.002,61.5524,0.3841,1.2878,0.7477
0,21,0.002,59.4765,0.5508,1.2909,0.7545
0,22,0.002,58.4251,0.5343,1.2439,0.7586
0,23,0.002,57.6604,0.3834,1.2456,0.7624
0,24,0.002,56.4814,0.3756,1.2112,0.7655
0,25,0.002,55.1731,0.5298,1.2030,0.7700
0,26,0.002,53.7647,0.5154,1.1526,0.7770
0,27,0.002,52.6936,0.3883,1.1362,0.7804
0,28,0.002,52.5735,0.4896,1.1439,0.7816
0,29,0.002,51.7495,0.6140,1.1582,0.7847
0,30,0.002,50.1261,0.5510,1.0898,0.7908
0,31,0.002,50.4824,0.3959,1.1229,0.7883
0,32,0.002,48.9319,0.3746,1.0736,0.7947
0,33,0.002,48.6734,0.5499,1.0794,0.7961
0,34,0.002,48.1423,0.5421,1.0839,0.7976
0,35,0.002,47.5605,0.4059,1.0677,0.7999
0,36,0.002,47.1340,0.4294,1.0514,0.8023
0,37,0.002,46.2654,0.5763,1.0812,0.8055
0,38,0.002,46.2415,0.5992,1.0418,0.8054
0,39,0.002,45.2785,0.3816,1.0215,0.8095
0,40,0.002,45.2277,0.4228,1.0616,0.8082
0,41,0.002,44.5928,0.5408,1.0146,0.8134
0,42,0.002,44.2896,0.5353,1.0272,0.8133
0,43,0.002,43.7592,0.4126,1.0252,0.8132
0,44,0.002,43.4430,0.4072,1.0098,0.8165
