training_exp,epoch,lr,Loss_Epoch,Time_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,251.4390,0.6145,3.2941,-0.0368
0,1,0.002,183.3866,0.5633,3.7858,0.2227
0,2,0.002,160.5317,0.5588,3.6101,0.3166
0,3,0.002,145.4329,0.3867,3.4914,0.3826
0,4,0.002,133.2608,0.5784,3.0309,0.4453
0,5,0.002,122.5118,0.5635,2.6900,0.4944
0,6,0.002,114.1781,0.3899,2.3475,0.5348
0,7,0.002,107.4953,0.3811,2.1781,0.5592
0,8,0.002,100.6203,0.5485,2.0157,0.5887
0,9,0.002,95.6803,0.5682,1.8996,0.6079
0,10,0.002,91.0992,0.3934,1.8336,0.6276
0,11,0.002,86.8666,0.4287,1.7446,0.6459
0,12,0.002,83.2852,0.6035,1.6904,0.6601
0,13,0.002,79.2967,0.5326,1.6207,0.6772
0,14,0.002,76.4785,0.4155,1.5728,0.6868
0,15,0.002,72.7654,0.4014,1.5353,0.7023
0,16,0.002,70.4885,0.5539,1.4738,0.7112
0,17,0.002,68.2298,0.5167,1.4334,0.7206
0,18,0.002,65.2616,0.3897,1.3891,0.7314
0,19,0.002,63.4812,0.4019,1.3797,0.7405
0,20,0.002,62.5958,0.5309,1.3441,0.7426
0,21,0.002,60.5312,0.5963,1.2800,0.7504
0,22,0.002,59.8165,0.4181,1.2900,0.7537
0,23,0.002,57.4074,0.4035,1.2843,0.7627
0,24,0.002,56.0874,0.5441,1.2568,0.7679
0,25,0.002,56.0414,0.5669,1.2149,0.7680
0,26,0.002,54.5686,0.4482,1.2156,0.7723
0,27,0.002,53.7867,0.4553,1.1789,0.7774
0,28,0.002,53.0726,0.5636,1.1624,0.7784
0,29,0.002,51.8997,0.5626,1.1390,0.7829
0,30,0.002,50.5016,0.4081,1.1646,0.7896
0,31,0.002,50.1643,0.3948,1.1314,0.7885
0,32,0.002,50.1080,0.5882,1.1103,0.7902
0,33,0.002,49.8385,0.5289,1.1426,0.7911
0,34,0.002,48.3185,0.4185,1.0790,0.7968
0,35,0.002,48.3644,0.4542,1.0812,0.7971
0,36,0.002,47.1095,0.5511,1.0970,0.8015
0,37,0.002,47.2474,0.5663,1.0868,0.8003
0,38,0.002,45.7596,0.4446,1.0678,0.8077
0,39,0.002,45.4086,0.4120,1.0368,0.8087
0,40,0.002,46.1322,0.5560,1.0667,0.8038
0,41,0.002,45.1314,0.5660,1.0246,0.8108
0,42,0.002,45.2632,0.4464,1.0330,0.8075
0,43,0.002,43.9593,0.4122,1.0072,0.8138
0,44,0.002,43.5688,0.5367,1.0255,0.8155
0,45,0.002,43.1370,0.5669,1.0153,0.8186
0,46,0.002,42.7175,0.4292,0.9907,0.8193
0,47,0.002,42.9172,0.4352,0.9900,0.8170
0,48,0.002,41.5846,0.6474,0.9986,0.8238
0,49,0.002,41.2391,0.5872,0.9743,0.8236
0,50,0.002,40.9539,0.4655,0.9712,0.8265
0,51,0.002,40.9741,0.4402,0.9859,0.8249
0,52,0.002,40.9405,0.5665,0.9766,0.8269
0,53,0.002,40.6461,0.5892,0.9859,0.8283
0,54,0.002,39.6693,0.5353,0.9569,0.8318
0,55,0.002,39.6714,0.4176,0.9543,0.8326
0,56,0.002,40.3669,0.5570,0.9952,0.8289
0,57,0.002,39.1574,0.5376,0.9456,0.8327
0,58,0.002,39.0972,0.4222,0.9299,0.8331
0,59,0.002,39.1543,0.4338,0.9454,0.8332
0,60,0.002,38.7202,0.5458,0.9475,0.8361
0,61,0.002,38.6012,0.5593,0.9466,0.8344
0,62,0.002,38.9429,0.4347,0.9165,0.8334
0,63,0.002,38.1627,0.4438,0.9425,0.8370
0,64,0.002,37.8664,0.5678,0.9286,0.8391
0,65,0.002,37.2030,0.5375,0.9325,0.8417
0,66,0.002,37.3583,0.4119,0.9379,0.8398
0,67,0.002,37.5805,0.4561,0.9018,0.8392
0,68,0.002,36.8043,0.5392,0.8977,0.8439
0,69,0.002,37.0024,0.5654,0.9073,0.8433
0,70,0.002,36.6828,0.4415,0.9037,0.8412
0,71,0.002,36.1763,0.4029,0.8894,0.8447
0,72,0.002,36.8488,0.5445,0.8991,0.8420
0,73,0.002,35.7556,0.5617,0.8970,0.8470
0,74,0.002,36.0148,0.4361,0.9030,0.8444
0,75,0.002,35.8611,0.4510,0.9048,0.8464
0,76,0.002,35.3815,0.5875,0.9140,0.8484
0,77,0.002,35.4083,0.5708,0.8958,0.8490
0,78,0.002,35.5977,0.4075,0.8814,0.8461
0,79,0.002,35.0903,0.4326,0.8982,0.8501
0,80,0.002,35.3172,0.5717,0.8781,0.8488
