eval_exp,training_exp,Loss_Exp,Time_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.26956075,0.009736657,0.007457017,0.0008196681,0.0,0.0
0.0,0.0,0.82020867,0.011122163,0.031107005,0.0023558363,0.0,0.0
0.0,0.0,0.8658905,0.00393097,0.024568586,0.0031360795,0.0,0.0
0.0,0.0,2.9987764,0.011741913,0.054499947,0.012217071,0.0,0.0
0.0,0.0,2.9243395,0.0104607325,0.037365124,0.011880442,0.0,0.0
0.0,0.0,2.9102926,0.021815935,0.037020013,0.0072675184,0.0,0.0
0.0,0.0,2.2337265,0.025856623,0.053654216,0.0075370353,0.0,0.0
0.0,0.0,3.0240262,0.01702278,0.056609698,0.010890449,0.0,0.0
0.0,0.0,4.1775184,0.011061279,0.022894721,0.012551969,0.0,0.0
0.0,0.0,2.6785693,0.0038388635,0.068052344,0.008178322,0.0,0.0
0.0,0.0,1.1259515,0.10446936,0.020350838,0.0055832285,0.0060610953,0.0060610953
0.0,0.0,0.45980194,0.08189152,0.040386327,0.0029380154,0.0,0.0
0.0,0.0,0.26335534,0.028508423,0.025564868,0.0023583611,0.0,0.0
0.0,0.0,1.3992348,0.08571142,0.06712528,0.0062639234,0.0,0.0
0.0,0.0,1.1725618,0.01583335,0.039152108,0.00626758,0.0,0.0
0.0,0.0,1.51734,0.012816858,0.038207095,0.007055973,0.0,0.0
0.0,0.0,1.9632708,0.07631849,0.050954554,0.008542646,0.0,0.0
0.0,0.0,0.8102128,0.02295761,0.05624817,0.0041045034,0.0,0.0
0.0,0.0,1.5500506,0.0060485536,0.02872729,0.00564491,0.0,0.0
0.0,0.0,2.3301654,0.0035832946,0.08878396,0.008402527,0.0,0.0
0.0,0.0,1.3632185,0.09260756,0.009663977,0.006462347,0.0068765916,0.0068765916
0.0,0.0,0.8379252,0.06116286,0.0062659937,0.004733138,0.0019626194,0.0019626194
0.0,0.0,0.6308659,0.010291016,0.01379584,0.002766312,0.0,0.0
0.0,0.0,1.7459737,0.072016425,0.016373975,0.008197996,0.0,0.0
0.0,0.0,1.5419855,0.0035418912,0.025951117,0.0059005776,0.0,0.0
0.0,0.0,1.4383568,0.003930013,0.018579325,0.004995267,0.0,0.0
0.0,0.0,1.9819291,0.061765403,0.012894779,0.009301718,0.0,0.0
0.0,0.0,0.6479336,0.006456391,0.010780786,0.004205058,0.0,0.0
0.0,0.0,0.92188567,0.006709089,0.0183159,0.0045359703,0.0,0.0
0.0,0.0,1.7669781,0.003206536,0.024319785,0.007869994,0.0,0.0
0.0,0.0,0.7918627,0.055833496,0.018976752,0.005980543,0.0065777563,0.0065777563
0.0,0.0,0.5289898,0.08465781,0.019900672,0.0033169915,0.00051173713,0.00051173713
0.0,0.0,1.102238,0.023230255,0.02318755,0.0052370615,0.0025913315,0.0025913315
0.0,0.0,0.44265178,0.07964498,0.029508753,0.001725342,0.0,0.0
0.0,0.0,0.862059,0.008926748,0.03501388,0.0017226485,0.0,0.0
0.0,0.0,1.7133771,0.06907165,0.02669306,0.00592811,0.0,0.0
0.0,0.0,1.6384904,0.016252233,0.036264688,0.007075806,0.0,0.0
0.0,0.0,1.20678,0.011656408,0.027128631,0.00360938,0.0,0.0
0.0,0.0,1.5334991,0.0074957907,0.017638883,0.009220774,0.0,0.0
0.0,0.0,1.9058505,0.0025268558,0.048313268,0.00932563,0.0,0.0
0.0,0.0,0.42530522,0.046627164,0.005521042,0.002715687,0.0031488086,0.0031488086
0.0,0.0,1.1195078,0.019860314,0.009473238,0.005005506,0.003669043,0.003669043
0.0,0.0,1.3528779,0.057158113,0.018158883,0.0062441886,0.0048798053,0.0048798053
0.0,0.0,0.72405493,0.07599806,0.024682835,0.003675159,0.0049932455,0.0049932455
0.0,0.0,0.7423609,0.0036928128,0.041462407,0.0043785702,0.0,0.0
0.0,0.0,1.0155466,0.02032351,0.031198157,0.0032506862,0.0,0.0
0.0,0.0,1.3980179,0.015626017,0.039220013,0.0058597657,0.0,0.0
0.0,0.0,1.179543,0.06613775,0.03314293,0.004804944,0.0,0.0
0.0,0.0,2.0238314,0.0043367622,0.02825655,0.00821614,0.0,0.0
0.0,0.0,1.5640479,0.0032080952,0.068469785,0.007937891,0.0,0.0
0.0,0.0,1.3061453,0.01161346,0.01230293,0.011368595,0.010838905,0.010838905
0.0,0.0,0.51661116,0.08404181,0.011249084,0.0019026322,0.0040201833,0.0040201833
0.0,0.0,0.2363071,0.068904005,0.011869569,0.0013809014,0.002051067,0.002051067
0.0,0.0,1.081142,0.00907772,0.016150154,0.0043522897,0.0034874775,0.0034874775
0.0,0.0,1.1917235,0.0068972376,0.014233991,0.0060197096,0.0056539257,0.0056539257
0.0,0.0,0.9824404,0.080333225,0.019409988,0.0036968838,0.0,0.0
0.0,0.0,0.9127652,0.008090851,0.020627279,0.005194478,0.0,0.0
0.0,0.0,1.1013467,0.008452329,0.013631647,0.006887449,0.0,0.0
0.0,0.0,0.8610923,0.0059633767,0.0032897543,0.004391109,0.0,0.0
0.0,0.0,2.4829845,0.0005545268,0.04398518,0.011038641,0.0,0.0
0.0,0.0,1.1518921,0.06389135,0.0058665937,0.0063134725,0.0057328017,0.0057328017
0.0,0.0,0.8446368,0.012165188,0.013374425,0.003005318,0.0051050833,0.0051050833
0.0,0.0,0.6577964,0.05313177,0.015381649,0.0033952084,0.0040257764,0.0040257764
0.0,0.0,0.65767205,0.068759486,0.0129767,0.0030385205,0.0017837811,0.0017837811
0.0,0.0,0.8153875,0.0059251054,0.027967611,0.0040794387,0.0040524686,0.0040524686
