training_exp,epoch,lr,Loss_Epoch,Time_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,253.7481,0.7488,3.1797,-0.0373
0,1,0.002,181.9884,0.5547,3.6752,0.2318
0,2,0.002,158.1493,0.5728,3.4855,0.3305
0,3,0.002,143.1715,0.4443,3.5645,0.4080
0,4,0.002,131.3823,0.4274,2.8461,0.4623
0,5,0.002,121.7888,0.5926,2.6703,0.5050
0,6,0.002,112.4085,0.5793,2.3365,0.5421
0,7,0.002,105.0646,0.3891,2.1438,0.5733
0,8,0.002,100.0429,0.4614,2.0610,0.5916
0,9,0.002,95.2076,0.5506,1.9169,0.6123
0,10,0.002,90.8886,0.6333,1.7921,0.6306
0,11,0.002,86.3423,0.4580,1.7798,0.6503
0,12,0.002,82.8785,0.4525,1.7039,0.6637
0,13,0.002,79.6192,0.5303,1.6658,0.6774
0,14,0.002,75.8460,0.5414,1.5772,0.6935
0,15,0.002,72.4667,0.4694,1.5166,0.7050
0,16,0.002,70.6395,0.3842,1.4844,0.7115
0,17,0.002,68.2074,0.5596,1.4508,0.7215
0,18,0.002,66.1728,0.5414,1.4013,0.7293
0,19,0.002,63.9668,0.4138,1.3327,0.7398
0,20,0.002,62.3271,0.4128,1.3182,0.7458
0,21,0.002,60.9455,0.5854,1.2985,0.7491
0,22,0.002,59.6525,0.5671,1.2877,0.7533
0,23,0.002,58.3149,0.4419,1.2579,0.7600
0,24,0.002,56.5375,0.4264,1.2364,0.7656
0,25,0.002,55.5117,0.6011,1.2102,0.7703
0,26,0.002,54.4976,0.5429,1.2207,0.7742
0,27,0.002,53.1473,0.3991,1.2069,0.7776
0,28,0.002,52.7548,0.4234,1.1566,0.7799
0,29,0.002,51.8737,0.5808,1.1486,0.7842
0,30,0.002,50.7622,0.5862,1.1364,0.7875
0,31,0.002,50.7629,0.4022,1.1469,0.7868
0,32,0.002,50.4645,0.4030,1.1337,0.7891
0,33,0.002,49.2948,0.5228,1.1362,0.7924
0,34,0.002,48.7551,0.5361,1.1129,0.7963
0,35,0.002,47.5610,0.4221,1.0682,0.8004
0,36,0.002,47.1235,0.4890,1.0884,0.8024
0,37,0.002,47.0570,0.6120,1.0814,0.8020
0,38,0.002,46.2070,0.5918,1.0695,0.8053
0,39,0.002,45.5680,0.4163,1.0522,0.8072
0,40,0.002,45.3474,0.4125,1.0558,0.8084
0,41,0.002,45.5413,0.5948,1.0500,0.8059
0,42,0.002,45.1248,0.6104,1.0432,0.8098
0,43,0.002,44.5622,0.4279,1.0324,0.8119
0,44,0.002,43.8454,0.4747,1.0340,0.8151
0,45,0.002,43.1253,0.5532,1.0076,0.8173
0,46,0.002,42.7404,0.6396,1.0060,0.8199
0,47,0.002,42.6226,0.4963,0.9993,0.8200
0,48,0.002,42.5580,0.4166,1.0009,0.8185
0,49,0.002,41.8154,0.6052,0.9849,0.8239
0,50,0.002,41.3476,0.5300,0.9796,0.8248
0,51,0.002,41.3418,0.4535,0.9683,0.8238
0,52,0.002,40.5630,0.4731,0.9645,0.8287
0,53,0.002,40.4817,0.5481,0.9756,0.8268
0,54,0.002,40.1700,0.5732,0.9752,0.8308
0,55,0.002,40.5273,0.4788,0.9814,0.8285
0,56,0.002,39.6567,0.4401,0.9512,0.8318
0,57,0.002,39.3727,0.5624,0.9605,0.8332
0,58,0.002,39.4093,0.5732,0.9589,0.8323
0,59,0.002,38.9639,0.4696,0.9312,0.8341
0,60,0.002,38.3378,0.5316,0.9427,0.8385
0,61,0.002,38.9093,0.5743,0.9465,0.8341
0,62,0.002,37.8886,0.6225,0.9562,0.8382
0,63,0.002,37.9374,0.4333,0.9098,0.8382
0,64,0.002,38.2446,0.4992,0.9176,0.8368
0,65,0.002,37.1947,0.5918,0.9406,0.8409
0,66,0.002,37.5246,0.5905,0.9263,0.8392
0,67,0.002,36.8193,0.4483,0.9324,0.8422
0,68,0.002,36.6996,0.5081,0.9150,0.8435
0,69,0.002,37.3942,0.6613,0.9152,0.8397
0,70,0.002,36.4922,0.6032,0.9027,0.8441
0,71,0.002,37.1783,0.4673,0.9226,0.8428
0,72,0.002,37.0511,0.4661,0.9074,0.8415
0,73,0.002,36.3649,0.5926,0.9040,0.8445
0,74,0.002,36.0840,0.6785,0.8947,0.8453
0,75,0.002,35.8132,0.4343,0.8923,0.8466
0,76,0.002,35.8814,0.4218,0.8949,0.8461
0,77,0.002,35.6697,0.6321,0.8892,0.8465
0,78,0.002,35.6165,0.6003,0.8868,0.8479
0,79,0.002,34.9922,0.4520,0.8637,0.8497
0,80,0.002,35.3718,0.4948,0.8911,0.8480
0,81,0.002,34.7926,0.5988,0.8909,0.8505
0,82,0.002,35.1639,0.6273,0.8752,0.8500
0,83,0.002,35.0249,0.4905,0.8804,0.8493
0,84,0.002,34.1252,0.4710,0.8762,0.8535
0,85,0.002,34.2494,0.5945,0.8647,0.8544
0,86,0.002,33.7832,0.5709,0.8449,0.8550
0,87,0.002,34.2576,0.3824,0.8548,0.8533
0,88,0.002,34.0194,0.4524,0.8772,0.8539
0,89,0.002,33.9741,0.5412,0.8519,0.8541
0,90,0.002,34.0272,0.5483,0.8593,0.8535
0,91,0.002,33.8668,0.4222,0.8409,0.8553
0,92,0.002,33.7655,0.4198,0.8604,0.8558
0,93,0.002,33.5564,0.5706,0.8463,0.8557
0,94,0.002,33.5734,0.5296,0.8589,0.8562
0,95,0.002,33.3358,0.3964,0.8457,0.8577
0,96,0.002,32.5909,0.3912,0.8591,0.8606
0,97,0.002,33.1796,0.5271,0.8417,0.8571
0,98,0.002,32.3530,0.5441,0.8244,0.8612
0,99,0.002,32.7175,0.4087,0.8415,0.8587
0,100,0.002,32.4086,0.3730,0.8479,0.8610
0,101,0.002,32.1068,0.5411,0.8297,0.8622
0,102,0.002,32.5188,0.5748,0.8298,0.8604
0,103,0.002,32.6153,0.3832,0.8460,0.8594
0,104,0.002,32.4110,0.4048,0.8291,0.8601
0,105,0.002,32.0820,0.5541,0.8194,0.8629
0,106,0.002,31.9751,0.5584,0.8431,0.8622
0,107,0.002,31.8819,0.4179,0.8441,0.8630
0,108,0.002,31.5036,0.4042,0.8342,0.8651
0,109,0.002,31.2271,0.5550,0.8158,0.8646
0,110,0.002,30.7816,0.5257,0.8272,0.8686
0,111,0.002,31.7783,0.4168,0.8479,0.8640
0,112,0.002,31.9568,0.4084,0.8066,0.8622
0,113,0.002,30.8051,0.5487,0.8181,0.8673
0,114,0.002,31.3987,0.6294,0.8362,0.8643
0,115,0.002,30.7907,0.3932,0.7924,0.8684
0,116,0.002,31.7208,0.4347,0.8096,0.8637
0,117,0.002,31.0647,0.5481,0.8142,0.8659
0,118,0.002,31.1168,0.5703,0.7924,0.8657
0,119,0.002,31.1555,0.4037,0.8012,0.8657
0,120,0.002,31.0349,0.3871,0.8131,0.8671
0,121,0.002,30.6813,0.6091,0.7991,0.8681
0,122,0.002,30.1824,0.5881,0.7863,0.8711
0,123,0.002,30.3589,0.4202,0.7993,0.8701
0,124,0.002,29.9229,0.4674,0.7930,0.8706
0,125,0.002,30.1194,0.5484,0.8059,0.8705
0,126,0.002,30.2414,0.5605,0.8097,0.8697
0,127,0.002,30.2441,0.3812,0.7966,0.8682
0,128,0.002,30.0458,0.4090,0.8228,0.8706
0,129,0.002,30.5195,0.5757,0.8106,0.8683
0,130,0.002,30.0486,0.6097,0.7851,0.8697
0,131,0.002,30.4814,0.4340,0.7847,0.8674
0,132,0.002,29.9960,0.4559,0.7974,0.8701
0,133,0.002,30.4410,0.5593,0.8014,0.8690
0,134,0.002,30.6346,0.5874,0.7931,0.8684
0,135,0.002,29.9628,0.4235,0.8003,0.8716
0,136,0.002,29.7101,0.4052,0.7855,0.8713
0,137,0.002,29.7757,0.5937,0.8103,0.8721
0,138,0.002,29.5833,0.5256,0.7995,0.8720
0,139,0.002,29.1339,0.4607,0.8018,0.8740
0,140,0.002,29.3649,0.4445,0.7897,0.8730
0,141,0.002,29.1180,0.5479,0.7589,0.8735
0,142,0.002,28.8293,0.5602,0.7825,0.8758
0,143,0.002,29.3960,0.4327,0.7753,0.8727
0,144,0.002,29.0918,0.4440,0.7798,0.8731
0,145,0.002,28.9852,0.6006,0.8192,0.8759
0,146,0.002,29.3539,0.5881,0.7634,0.8728
0,147,0.002,29.4077,0.4144,0.7627,0.8731
0,148,0.002,28.9064,0.4096,0.7923,0.8749
0,149,0.002,28.9156,0.5717,0.7825,0.8745
0,150,0.002,28.9343,0.5884,0.7722,0.8749
0,151,0.002,29.1198,0.4549,0.8115,0.8754
0,152,0.002,28.9560,0.4295,0.7782,0.8732
0,153,0.002,28.4304,0.5619,0.7702,0.8758
0,154,0.002,27.9570,0.5783,0.7605,0.8795
0,155,0.002,28.0415,0.4597,0.7763,0.8784
0,156,0.002,28.3717,0.4888,0.7585,0.8773
0,157,0.002,28.4087,0.5453,0.7631,0.8763
0,158,0.002,28.4540,0.6241,0.7737,0.8759
0,159,0.002,28.1987,0.4257,0.7576,0.8779
0,160,0.002,28.3407,0.4218,0.7641,0.8775
0,161,0.002,28.2663,0.5810,0.7756,0.8774
0,162,0.002,27.8519,0.5961,0.7666,0.8795
0,163,0.002,28.0064,0.4649,0.7541,0.8793
0,164,0.002,28.0125,0.4222,0.7546,0.8789
0,165,0.002,27.6413,0.5786,0.7582,0.8808
0,166,0.002,27.6249,0.6671,0.7671,0.8792
0,167,0.002,27.7522,0.4966,0.7458,0.8805
0,168,0.002,27.6366,0.5171,0.7684,0.8819
0,169,0.002,27.5200,0.5786,0.7673,0.8813
