eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,1.1781616,0.023626419,0.0047493177,0.0,0.0
0.0,0.0,0.95700747,0.04953985,0.0029649858,0.0,0.0
0.0,0.0,0.941249,0.041661177,0.0037213687,0.0,0.0
0.0,0.0,1.3797017,0.08340804,0.0050834073,0.0,0.0
0.0,0.0,2.3125048,0.07084593,0.008454145,0.0,0.0
0.0,0.0,3.52745,0.056598313,0.007998405,0.0,0.0
0.0,0.0,2.40359,0.074348,0.006345621,0.0,0.0
0.0,0.0,2.9606404,0.07365717,0.006666416,0.0,0.0
0.0,0.0,4.775994,0.04758517,0.01070806,0.0,0.0
0.0,0.0,4.6189766,0.0946853,0.015466255,0.0,0.0
0.0,0.0,0.45390257,0.006748048,0.002271246,0.0046626003,0.0046626003
0.0,0.0,0.5502316,0.012571601,0.0024183844,0.0,0.0
0.0,0.0,0.34535986,0.013740457,0.0018182655,0.0,0.0
0.0,0.0,0.9502307,0.028063083,0.003484581,0.0,0.0
0.0,0.0,0.42584053,0.01964469,0.0022299206,0.0,0.0
0.0,0.0,0.8339986,0.023031669,0.0026119878,0.0,0.0
0.0,0.0,0.8837433,0.031765312,0.0039095227,0.0,0.0
0.0,0.0,0.90119475,0.045360927,0.0037694415,0.0,0.0
0.0,0.0,1.1386194,0.030028515,0.0073626544,0.0,0.0
0.0,0.0,1.8593913,0.06806403,0.0072864206,0.0,0.0
0.0,0.0,0.3380453,0.00531212,0.0014115582,0.0045559714,0.0045559714
0.0,0.0,0.48250797,0.011321335,0.0017860116,0.002198259,0.002198259
0.0,0.0,0.37311172,0.013157878,0.0019035776,0.0,0.0
0.0,0.0,0.62682515,0.019492479,0.003241037,0.0,0.0
0.0,0.0,1.1639223,0.016083606,0.005228879,0.0,0.0
0.0,0.0,0.9267302,0.013869612,0.0030929025,0.0,0.0
0.0,0.0,0.71578497,0.022211203,0.0031998933,0.0,0.0
0.0,0.0,0.82684946,0.015135693,0.0033988121,0.0,0.0
0.0,0.0,1.6856426,0.02061678,0.006949239,0.0,0.0
0.0,0.0,2.0184379,0.032707434,0.007863522,0.0,0.0
0.0,0.0,0.6015242,0.0089506665,0.0026546796,0.005610245,0.005610245
0.0,0.0,0.4562742,0.016296254,0.002137747,0.002424839,0.002424839
0.0,0.0,0.5448005,0.014712159,0.0028008712,0.001712272,0.001712272
0.0,0.0,0.30775124,0.018120011,0.0014298102,0.0,0.0
0.0,0.0,0.9128144,0.018394899,0.003958204,0.0,0.0
0.0,0.0,1.0421675,0.027402263,0.003687047,0.0,0.0
0.0,0.0,0.9177979,0.0420976,0.0043890313,0.0,0.0
0.0,0.0,0.7576804,0.022406079,0.0030000103,0.0,0.0
0.0,0.0,1.0875502,0.013070331,0.006040289,0.0,0.0
