eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.45029745,0.011237408,0.0016665872,0.0,0.0
0.0,0.0,0.954015,0.022469297,0.003256117,0.0,0.0
0.0,0.0,1.141433,0.01964943,0.004732046,0.0,0.0
0.0,0.0,1.7105684,0.033270396,0.006612293,0.0,0.0
0.0,0.0,1.8221622,0.037070468,0.006145003,0.0,0.0
0.0,0.0,3.1012363,0.02779334,0.0101286,0.0,0.0
0.0,0.0,2.0258405,0.04059999,0.0061988826,0.0,0.0
0.0,0.0,2.277952,0.03657936,0.006629062,0.0,0.0
0.0,0.0,3.305364,0.028151318,0.008019931,0.0,0.0
0.0,0.0,2.0624287,0.07016349,0.006981582,0.0,0.0
0.0,0.0,0.31727648,0.004205053,0.0010036688,0.002074247,0.002074247
0.0,0.0,0.5856502,0.0072694174,0.0026487906,0.0,0.0
0.0,0.0,0.54981387,0.0076962644,0.0023041996,0.0,0.0
0.0,0.0,1.189079,0.017458515,0.0056590023,0.0,0.0
0.0,0.0,1.6385475,0.01348281,0.0069784396,0.0,0.0
0.0,0.0,1.1250556,0.012047593,0.003926746,0.0,0.0
0.0,0.0,0.49389642,0.019967163,0.002500465,0.0,0.0
0.0,0.0,1.1054026,0.037856027,0.0053315014,0.0,0.0
0.0,0.0,1.2399206,0.020306207,0.0042781453,0.0,0.0
0.0,0.0,2.4063375,0.050914947,0.010049125,0.0,0.0
0.0,0.0,0.6929069,0.0074650757,0.003092099,0.0043964298,0.0043964298
0.0,0.0,0.44912857,0.012990173,0.0019576692,0.0013901438,0.0013901438
0.0,0.0,0.2579977,0.008145162,0.0009746783,0.0,0.0
0.0,0.0,0.77991056,0.0186035,0.0039092763,0.0,0.0
0.0,0.0,0.5982758,0.013072587,0.0028768182,0.0,0.0
0.0,0.0,1.0758251,0.014528373,0.004703572,0.0,0.0
0.0,0.0,0.7873644,0.020167917,0.0037379856,0.0,0.0
0.0,0.0,0.8257945,0.015351633,0.0033574328,0.0,0.0
0.0,0.0,1.1254101,0.008123802,0.0046529486,0.0,0.0
0.0,0.0,2.4308429,0.050706163,0.010073727,0.0,0.0
0.0,0.0,0.70815796,0.004453925,0.0034757818,0.0045684893,0.0045684893
0.0,0.0,0.74034524,0.010013787,0.0035060458,0.003555783,0.003555783
0.0,0.0,0.65080845,0.0058408077,0.0028295103,0.0023911297,0.0023911297
0.0,0.0,0.4418927,0.0040595494,0.001928579,0.0,0.0
0.0,0.0,1.2177639,0.008368386,0.0055052256,0.0,0.0
0.0,0.0,1.6351779,0.009804456,0.0071468465,0.0,0.0
0.0,0.0,0.96472996,0.012512977,0.0047375513,0.0,0.0
0.0,0.0,1.0653249,0.013098274,0.0040552258,0.0,0.0
0.0,0.0,1.9020486,0.014328539,0.008892747,0.0,0.0
0.0,0.0,1.9675341,0.03387198,0.007908128,0.0,0.0
0.0,0.0,1.0258968,0.0070467913,0.003907837,0.005117067,0.005117067
0.0,0.0,0.9357784,0.011768117,0.0045463564,0.0036367695,0.0036367695
0.0,0.0,0.7680961,0.0072687524,0.0029077257,0.0026925823,0.0026925823
0.0,0.0,0.84206986,0.00958318,0.0032905266,0.0020644309,0.0020644309
0.0,0.0,0.5392967,0.008478017,0.0025181498,0.0,0.0
0.0,0.0,1.2127656,0.012142897,0.005296211,0.0,0.0
0.0,0.0,1.2398957,0.01866989,0.004959195,0.0,0.0
0.0,0.0,1.3400667,0.014519298,0.004995476,0.0,0.0
0.0,0.0,2.5709405,0.020960724,0.009688875,0.0,0.0
