training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,252.5276,3.3742,-0.0401
0,1,182.3072,3.6184,0.2251
0,2,157.4019,3.6049,0.3266
0,3,143.0282,3.4122,0.4000
0,4,130.3643,2.8580,0.4595
0,5,120.4019,2.5055,0.5041
0,6,112.2327,2.2552,0.5420
0,7,105.5664,2.1095,0.5688
0,8,100.9180,2.0037,0.5867
0,9,95.7812,1.9292,0.6097
0,10,90.6702,1.8163,0.6299
0,11,87.3293,1.7448,0.6467
0,12,82.8441,1.6717,0.6633
0,13,79.6961,1.6073,0.6778
0,14,75.1948,1.5394,0.6937
0,15,74.0099,1.5588,0.6986
0,16,70.0820,1.4784,0.7154
0,17,67.5486,1.4225,0.7250
0,18,65.2621,1.4094,0.7345
0,19,64.0569,1.3233,0.7387
0,20,62.2774,1.3303,0.7455
0,21,60.0963,1.2881,0.7536
0,22,58.4579,1.2206,0.7600
0,23,57.7795,1.2274,0.7622
0,24,56.1270,1.1871,0.7688
0,25,55.6804,1.1729,0.7695
0,26,55.1285,1.1861,0.7720
0,27,53.5232,1.1684,0.7780
0,28,53.3631,1.1524,0.7773
0,29,51.6298,1.1683,0.7840
0,30,50.7330,1.0901,0.7883
0,31,50.4113,1.1048,0.7885
0,32,49.7503,1.0910,0.7917
0,33,49.6746,1.0814,0.7906
0,34,47.9511,1.0496,0.7976
0,35,47.5984,1.0534,0.7997
0,36,46.7306,1.0477,0.8040
0,37,46.5526,1.0441,0.8047
0,38,45.9516,1.0123,0.8063
0,39,45.6214,1.0456,0.8075
0,40,44.9866,1.0182,0.8082
0,41,44.1633,1.0001,0.8132
0,42,44.4947,1.0235,0.8120
0,43,44.3824,0.9956,0.8117
0,44,43.6351,1.0010,0.8157
0,45,43.5843,1.0020,0.8158
0,46,42.8986,0.9746,0.8189
0,47,42.0300,0.9505,0.8204
0,48,42.1819,0.9770,0.8203
0,49,41.8100,0.9622,0.8220
0,50,41.1690,0.9544,0.8257
0,51,41.4091,0.9457,0.8241
0,52,40.7209,0.9290,0.8271
0,53,40.4180,0.9524,0.8292
0,54,40.8469,0.9301,0.8255
0,55,40.4943,0.9549,0.8270
0,56,39.5526,0.9239,0.8320
0,57,39.3809,0.9413,0.8315
0,58,39.2626,0.9321,0.8341
0,59,38.5147,0.9257,0.8351
0,60,38.2510,0.9259,0.8365
0,61,38.1919,0.9083,0.8378
0,62,38.2389,0.9005,0.8366
0,63,38.8266,0.9239,0.8335
0,64,37.6912,0.8993,0.8392
0,65,38.3422,0.9027,0.8353
0,66,37.7338,0.9062,0.8395
0,67,37.2726,0.8841,0.8391
0,68,36.6902,0.8996,0.8438
0,69,37.1191,0.8801,0.8409
0,70,35.7498,0.9078,0.8465
0,71,36.3269,0.8850,0.8445
0,72,35.6566,0.8691,0.8475
0,73,35.8136,0.8725,0.8464
0,74,36.0807,0.8724,0.8457
0,75,35.9100,0.8746,0.8456
0,76,36.1374,0.8660,0.8451
0,77,35.1844,0.8675,0.8493
0,78,35.5641,0.8589,0.8477
0,79,35.5445,0.8588,0.8477
0,80,35.0931,0.8449,0.8499
0,81,34.3174,0.8298,0.8533
0,82,34.2899,0.8471,0.8513
0,83,34.3926,0.8503,0.8519
0,84,34.3148,0.8428,0.8536
0,85,34.1408,0.8547,0.8519
0,86,34.2692,0.8464,0.8520
0,87,34.7806,0.8387,0.8515
0,88,33.7739,0.8205,0.8563
0,89,34.1556,0.8201,0.8533
0,90,33.9135,0.8468,0.8543
0,91,33.6228,0.8266,0.8556
0,92,33.7413,0.8286,0.8544
0,93,33.6158,0.8213,0.8557
0,94,33.1026,0.8212,0.8578
0,95,32.6392,0.8071,0.8598
0,96,32.9411,0.8294,0.8583
0,97,32.9385,0.8195,0.8582
0,98,32.8636,0.8190,0.8585
0,99,33.2091,0.8189,0.8572
0,100,32.7843,0.8351,0.8572
0,101,33.1635,0.8185,0.8572
