training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,253.6087,3.1414,-0.0418
0,1,182.0727,3.8141,0.2126
0,2,159.0183,3.4811,0.3100
0,3,142.9465,3.4640,0.3923
0,4,130.9546,2.8848,0.4559
0,5,120.5189,2.5748,0.5054
0,6,112.4138,2.2985,0.5383
0,7,104.6013,2.0915,0.5725
0,8,100.1941,2.0146,0.5881
0,9,94.5460,1.8890,0.6123
0,10,89.4331,1.8019,0.6336
0,11,85.4923,1.7245,0.6517
0,12,82.1311,1.6219,0.6644
0,13,78.2716,1.5403,0.6827
0,14,74.8062,1.5478,0.6958
0,15,72.3839,1.5053,0.7048
0,16,69.8226,1.4683,0.7141
0,17,67.1990,1.4082,0.7246
0,18,65.0915,1.3853,0.7336
0,19,64.0209,1.3443,0.7366
0,20,62.2020,1.3170,0.7448
0,21,60.9682,1.2814,0.7487
0,22,59.6989,1.2891,0.7521
0,23,57.7609,1.2537,0.7612
0,24,56.3341,1.2413,0.7654
0,25,54.9977,1.1909,0.7716
0,26,54.6745,1.1933,0.7725
0,27,53.6132,1.1788,0.7776
0,28,52.3149,1.1667,0.7809
0,29,51.8217,1.1201,0.7848
0,30,50.9592,1.1269,0.7875
0,31,51.0161,1.1539,0.7874
0,32,50.0744,1.1358,0.7894
0,33,49.8862,1.0808,0.7912
0,34,48.5035,1.0684,0.7964
0,35,48.6038,1.0930,0.7963
0,36,47.1435,1.1034,0.8018
0,37,47.2077,1.0634,0.8007
0,38,46.1841,1.0758,0.8066
0,39,46.1383,1.0323,0.8044
0,40,45.4019,1.0397,0.8083
0,41,45.1677,1.0536,0.8090
0,42,44.3562,1.0176,0.8130
0,43,44.1381,1.0195,0.8123
0,44,43.4121,1.0237,0.8160
0,45,43.5869,1.0083,0.8155
0,46,42.8146,1.0007,0.8180
0,47,42.8314,1.0251,0.8196
0,48,42.5081,0.9989,0.8200
0,49,42.1132,0.9974,0.8226
0,50,41.6439,0.9706,0.8244
0,51,40.8575,0.9690,0.8258
0,52,41.3949,0.9809,0.8237
0,53,40.8576,1.0091,0.8266
0,54,40.0760,0.9618,0.8306
0,55,40.1034,0.9617,0.8299
0,56,39.3468,0.9580,0.8328
0,57,39.2685,0.9377,0.8333
0,58,39.1276,0.9647,0.8326
0,59,39.2489,0.9298,0.8335
0,60,39.5148,0.9246,0.8331
0,61,39.2009,0.9349,0.8322
0,62,38.0724,0.9448,0.8383
0,63,38.7443,0.9372,0.8358
0,64,38.8261,0.9314,0.8341
0,65,38.1643,0.9285,0.8378
0,66,37.3951,0.9146,0.8397
0,67,37.1223,0.9097,0.8420
0,68,37.4411,0.9155,0.8401
0,69,37.0579,0.9008,0.8413
0,70,36.3981,0.9448,0.8443
0,71,36.9556,0.8992,0.8413
0,72,36.7652,0.9158,0.8434
0,73,36.0903,0.8885,0.8443
0,74,36.0769,0.9026,0.8462
0,75,36.4066,0.9007,0.8456
0,76,36.1310,0.8884,0.8461
0,77,35.5495,0.8947,0.8483
0,78,35.7401,0.8839,0.8466
0,79,35.8107,0.8797,0.8455
0,80,34.7881,0.8738,0.8515
0,81,34.9630,0.9157,0.8502
0,82,34.7088,0.8896,0.8522
0,83,35.2261,0.8750,0.8501
0,84,34.9795,0.8715,0.8501
0,85,34.3374,0.8644,0.8529
0,86,34.6127,0.8587,0.8520
0,87,34.1532,0.8709,0.8533
0,88,34.0203,0.8604,0.8543
0,89,34.3369,0.8800,0.8512
0,90,34.0089,0.8515,0.8549
0,91,34.0576,0.8645,0.8532
0,92,34.1152,0.8653,0.8543
0,93,34.0820,0.8638,0.8523
0,94,33.8097,0.8486,0.8556
0,95,34.0939,0.8428,0.8527
0,96,33.4093,0.8666,0.8561
0,97,33.3352,0.8522,0.8558
0,98,33.1300,0.8420,0.8578
0,99,33.0146,0.8708,0.8583
0,100,32.9769,0.8126,0.8573
0,101,32.6692,0.8417,0.8598
0,102,32.2387,0.8164,0.8602
0,103,33.0713,0.8378,0.8584
0,104,32.4116,0.8391,0.8620
0,105,32.4436,0.8371,0.8623
0,106,32.1456,0.8220,0.8619
0,107,32.1506,0.8508,0.8620
0,108,31.8164,0.8195,0.8643
0,109,31.7655,0.8373,0.8631
0,110,31.6352,0.8174,0.8631
0,111,31.7812,0.8162,0.8628
0,112,31.8056,0.8058,0.8623
0,113,30.9299,0.8150,0.8674
0,114,31.3638,0.8247,0.8641
0,115,31.2287,0.8054,0.8650
0,116,31.2694,0.8173,0.8640
0,117,31.0012,0.8123,0.8662
0,118,31.6616,0.7959,0.8638
0,119,30.5855,0.8168,0.8690
0,120,30.2828,0.8076,0.8694
0,121,30.4410,0.8048,0.8688
0,122,31.3162,0.7885,0.8653
0,123,30.5899,0.8025,0.8677
0,124,31.3030,0.8130,0.8646
0,125,30.0932,0.7979,0.8707
0,126,30.6214,0.7836,0.8679
0,127,29.8692,0.7965,0.8716
0,128,31.2310,0.8212,0.8662
0,129,30.7400,0.8112,0.8674
0,130,30.3020,0.8064,0.8692
0,131,29.9643,0.7810,0.8702
0,132,29.9064,0.7733,0.8702
0,133,29.7571,0.7888,0.8709
0,134,29.8553,0.7802,0.8707
0,135,29.4317,0.7826,0.8725
0,136,29.4756,0.7784,0.8731
0,137,29.6637,0.7913,0.8710
0,138,29.7679,0.7774,0.8716
0,139,29.9944,0.8007,0.8705
0,140,29.4619,0.7601,0.8721
0,141,29.0769,0.8047,0.8752
0,142,29.4250,0.7750,0.8729
0,143,29.0988,0.7659,0.8734
0,144,28.9485,0.7841,0.8743
0,145,29.1890,0.7664,0.8729
0,146,29.3062,0.7734,0.8728
0,147,28.5693,0.7720,0.8770
0,148,29.0290,0.7904,0.8731
0,149,29.1432,0.7815,0.8735
0,150,28.9404,0.7844,0.8743
0,151,29.3085,0.7564,0.8742
0,152,28.9311,0.7716,0.8737
0,153,29.5438,0.7820,0.8738
0,154,28.6848,0.7638,0.8756
0,155,28.6592,0.7670,0.8764
0,156,28.4157,0.7743,0.8758
0,157,28.3153,0.7497,0.8773
0,158,28.9315,0.7750,0.8743
0,159,28.1203,0.7666,0.8787
0,160,28.4428,0.7447,0.8764
0,161,28.1466,0.7699,0.8792
0,162,27.7300,0.7301,0.8802
0,163,28.2617,0.7474,0.8777
0,164,28.5306,0.7756,0.8764
0,165,28.2539,0.7584,0.8779
0,166,27.7878,0.7478,0.8792
0,167,28.1034,0.7465,0.8790
0,168,27.7372,0.7639,0.8817
0,169,27.5390,0.7560,0.8805
0,170,27.8879,0.7559,0.8773
0,171,27.9031,0.7585,0.8792
0,172,27.3974,0.7533,0.8811
0,173,27.7380,0.7475,0.8789
0,174,27.0640,0.7557,0.8827
0,175,27.4536,0.7537,0.8808
0,176,27.4521,0.7474,0.8808
0,177,27.4683,0.7272,0.8815
0,178,27.2206,0.7623,0.8824
0,179,26.8598,0.7422,0.8835
0,180,27.1660,0.7372,0.8810
0,181,27.2026,0.7404,0.8818
0,182,27.0528,0.7408,0.8825
0,183,26.4146,0.7415,0.8850
0,184,26.5085,0.7599,0.8859
0,185,26.1750,0.7275,0.8854
0,186,26.3248,0.7399,0.8852
0,187,26.4963,0.7340,0.8852
0,188,26.3787,0.7329,0.8846
0,189,26.3748,0.7296,0.8853
0,190,26.4158,0.7399,0.8852
0,191,26.3831,0.7397,0.8847
0,192,25.9748,0.7315,0.8873
0,193,26.1937,0.7382,0.8867
0,194,25.8604,0.7287,0.8875
0,195,26.4277,0.7207,0.8850
0,196,25.7377,0.7424,0.8882
0,197,26.5421,0.7332,0.8841
0,198,26.2303,0.7418,0.8865
0,199,26.0941,0.7269,0.8871
0,200,25.8562,0.7310,0.8875
0,201,26.0755,0.7437,0.8859
0,202,26.2936,0.7120,0.8849
0,203,25.8162,0.7256,0.8878
0,204,25.5258,0.7387,0.8886
0,205,26.0350,0.7287,0.8864
0,206,26.5010,0.7298,0.8853
0,207,26.0348,0.7312,0.8854
0,208,26.0613,0.7245,0.8869
0,209,25.8399,0.7196,0.8872
0,210,25.9778,0.7337,0.8863
0,211,25.7021,0.7409,0.8888
0,212,26.1237,0.7288,0.8858
0,213,25.7244,0.7312,0.8877
0,214,25.8950,0.7398,0.8884
0,215,25.7416,0.7183,0.8893
0,216,25.7187,0.7330,0.8869
0,217,25.8698,0.7263,0.8873
0,218,25.9010,0.7242,0.8874
0,219,25.7904,0.7373,0.8878
0,220,25.6487,0.7283,0.8886
0,221,25.3349,0.7268,0.8894
0,222,25.5900,0.7178,0.8883
0,223,25.6577,0.7307,0.8886
0,224,26.1612,0.7271,0.8855
0,225,25.7552,0.7238,0.8871
0,226,25.6187,0.7283,0.8886
0,227,26.0160,0.7317,0.8859
0,228,24.9320,0.7363,0.8913
0,229,25.7021,0.7249,0.8880
0,230,25.7063,0.7349,0.8886
0,231,25.5740,0.7184,0.8884
0,232,25.6053,0.7265,0.8883
0,233,25.5801,0.7231,0.8883
0,234,25.5455,0.7234,0.8887
0,235,26.0585,0.7355,0.8864
0,236,25.4050,0.7288,0.8883
0,237,25.6406,0.7179,0.8874
0,238,25.4241,0.7175,0.8903
0,239,25.8110,0.7322,0.8867
0,240,25.5667,0.7179,0.8890
0,241,25.4945,0.7335,0.8886
0,242,25.6121,0.7336,0.8887
0,243,24.8127,0.7267,0.8924
0,244,25.7320,0.7314,0.8879
0,245,25.6913,0.7268,0.8883
0,246,25.1024,0.7142,0.8914
0,247,25.3837,0.7252,0.8891
0,248,25.3343,0.7331,0.8899
0,249,25.4593,0.7212,0.8883
1,0,46.3435,1.0501,0.8105
1,1,40.6042,0.9110,0.8294
1,2,38.2912,0.8943,0.8380
1,3,36.1104,0.8713,0.8459
1,4,34.8231,0.8547,0.8517
1,5,34.3404,0.8403,0.8534
1,6,33.4150,0.8312,0.8577
1,7,33.1169,0.8315,0.8586
1,8,32.6935,0.8430,0.8601
1,9,32.0390,0.8094,0.8631
1,10,31.8179,0.8201,0.8641
1,11,31.4008,0.8161,0.8650
1,12,31.5925,0.8141,0.8647
1,13,30.7656,0.8048,0.8685
1,14,30.6401,0.8096,0.8686
1,15,30.2984,0.8032,0.8693
1,16,30.0370,0.7976,0.8706
1,17,29.7667,0.7903,0.8719
1,18,29.6682,0.8017,0.8722
1,19,29.5482,0.7837,0.8735
1,20,29.3138,0.7932,0.8742
1,21,29.1887,0.8004,0.8749
1,22,28.9233,0.7782,0.8746
1,23,28.8621,0.7960,0.8753
