eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,34.786713,0.716225,0.84951246,0.0,0.0
1.0,0.0,62.448505,1.0880625,0.7501876,0.0,0.0
2.0,0.0,54.47806,0.950675,0.77166253,0.0,0.0
3.0,0.0,53.798298,1.327225,0.7879875,0.0,0.0
4.0,0.0,75.334854,1.208075,0.71001256,0.0,0.0
5.0,0.0,71.89706,1.0480499,0.7485625,0.0,0.0
6.0,0.0,62.836685,1.3433875,0.7787875,0.0,0.0
7.0,0.0,83.16369,1.3140125,0.72314996,0.0,0.0
8.0,0.0,66.34904,1.0039874,0.8152875,0.0,0.0
9.0,0.0,60.05081,1.4106374,0.7995,0.0,0.0
0.0,1.0,36.368725,0.7330625,0.84331244,0.0062249997,-0.0062249997
1.0,1.0,34.035927,0.9029375,0.84878755,0.0,0.0
2.0,1.0,40.611763,0.896175,0.8219,0.0,0.0
3.0,1.0,41.70715,1.081275,0.8304375,0.0,0.0
4.0,1.0,55.224915,1.0144374,0.77667505,0.0,0.0
5.0,1.0,56.46499,0.9289625,0.79029995,0.0,0.0
6.0,1.0,49.64215,1.2142625,0.8121,0.0,0.0
7.0,1.0,64.26661,1.1504376,0.7794,0.0,0.0
8.0,1.0,52.729725,0.8768125,0.8384875,0.0,0.0
9.0,1.0,45.399887,1.17635,0.83402497,0.0,0.0
0.0,2.0,39.024307,0.767875,0.83285004,0.016649999,-0.016649999
1.0,2.0,39.352238,0.9886375,0.8306625,0.0181375,-0.0181375
2.0,2.0,29.535362,0.85569996,0.86661255,0.0,0.0
3.0,2.0,36.050774,1.029325,0.8510375,0.0,0.0
4.0,2.0,49.859276,1.0241001,0.7909,0.0,0.0
5.0,2.0,51.9078,0.92123747,0.8050375,0.0,0.0
6.0,2.0,47.582985,1.2622875,0.8173624,0.0,0.0
7.0,2.0,61.270767,1.065575,0.78365,0.0,0.0
8.0,2.0,51.856247,0.8179125,0.825,0.0,0.0
9.0,2.0,47.121212,1.083225,0.82269996,0.0,0.0
0.0,3.0,41.97966,0.790225,0.820675,0.02885,-0.02885
1.0,3.0,42.39935,1.0267375,0.81821245,0.030575,-0.030575
2.0,3.0,35.222725,0.90096253,0.8424125,0.0241875,-0.0241875
3.0,3.0,23.118137,0.955875,0.9025125,0.0,0.0
4.0,3.0,45.041855,0.9787875,0.812275,0.0,0.0
5.0,3.0,52.73319,0.928025,0.7951625,0.0,0.0
6.0,3.0,44.710415,1.2783375,0.8259,0.0,0.0
7.0,3.0,56.79476,1.016175,0.80035007,0.0,0.0
8.0,3.0,49.889763,0.7884,0.8291125,0.0,0.0
9.0,3.0,42.120815,1.0698,0.8405,0.0,0.0
0.0,4.0,42.962425,0.8173375,0.81895,0.030575,-0.030575
1.0,4.0,44.332497,1.0492375,0.81217504,0.036625,-0.036625
2.0,4.0,35.643536,0.94535,0.83932495,0.027287498,-0.027287498
3.0,4.0,26.950539,1.0242624,0.88716257,0.015337501,-0.015337501
4.0,4.0,29.307161,0.9645125,0.87679994,0.0,0.0
5.0,4.0,47.804947,0.9402376,0.80992496,0.0,0.0
6.0,4.0,41.471226,1.3106501,0.8381625,0.0,0.0
