training_exp,epoch,lr,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,337.1376,1.0903,-0.3330
0,1,0.002,260.6445,2.1597,-0.0195
0,2,0.002,212.3078,3.9247,0.0686
0,3,0.002,195.0169,4.0003,0.1681
0,4,0.002,179.9379,3.5555,0.2093
0,5,0.002,167.8527,3.7467,0.2645
0,6,0.002,159.8965,3.8395,0.2959
0,7,0.002,152.3188,3.5327,0.3311
0,8,0.002,147.3294,3.4581,0.3626
0,9,0.002,142.3466,3.3360,0.3907
0,10,0.002,137.9973,3.0429,0.4148
0,11,0.002,134.4061,2.9923,0.4357
0,12,0.002,130.7069,2.8595,0.4521
0,13,0.002,128.5643,2.6955,0.4636
0,14,0.002,125.1894,2.5803,0.4809
0,15,0.002,123.2271,2.4522,0.4863
0,16,0.002,119.6207,2.2792,0.5013
0,17,0.002,117.1113,2.2143,0.5139
0,18,0.002,114.0377,2.0902,0.5251
0,19,0.002,112.0634,2.0764,0.5346
0,20,0.002,109.8566,2.0344,0.5434
0,21,0.002,107.5116,1.8787,0.5536
0,22,0.002,105.5670,1.8709,0.5622
0,23,0.002,103.3150,1.8219,0.5743
0,24,0.002,101.5729,1.7878,0.5810
0,25,0.002,99.4915,1.7477,0.5878
0,26,0.002,99.1820,1.7561,0.5893
0,27,0.002,96.6630,1.6982,0.6025
0,28,0.002,95.2162,1.6291,0.6072
0,29,0.002,93.6954,1.6717,0.6128
0,30,0.002,92.3093,1.7002,0.6218
0,31,0.002,90.6294,1.6315,0.6277
0,32,0.002,89.3249,1.6618,0.6324
0,33,0.002,88.1284,1.5924,0.6385
0,34,0.002,86.5099,1.6112,0.6459
0,35,0.002,85.9913,1.5631,0.6462
0,36,0.002,83.9717,1.5997,0.6554
0,37,0.002,82.9648,1.5796,0.6575
0,38,0.002,81.4013,1.5404,0.6646
0,39,0.002,81.0059,1.5610,0.6686
0,40,0.002,79.3648,1.5282,0.6747
0,41,0.002,78.5277,1.5047,0.6758
0,42,0.002,77.7788,1.5063,0.6800
0,43,0.002,77.0854,1.4590,0.6821
0,44,0.002,75.4154,1.4970,0.6892
0,45,0.002,75.5039,1.4114,0.6925
0,46,0.002,75.4685,1.4585,0.6883
0,47,0.002,74.7075,1.4640,0.6932
0,48,0.002,73.5043,1.4094,0.6956
0,49,0.002,73.5620,1.4312,0.6976
0,50,0.002,71.8933,1.4061,0.7036
0,51,0.002,70.9384,1.3659,0.7080
0,52,0.002,70.4910,1.4016,0.7089
0,53,0.002,70.2287,1.3924,0.7078
0,54,0.002,69.4051,1.3436,0.7099
0,55,0.002,69.1060,1.3760,0.7140
0,56,0.002,68.3400,1.3790,0.7161
0,57,0.002,67.8621,1.3181,0.7189
0,58,0.002,68.1205,1.3449,0.7161
0,59,0.002,66.8373,1.3531,0.7212
0,60,0.002,67.4436,1.3381,0.7197
0,61,0.002,66.0240,1.3266,0.7245
0,62,0.002,64.7657,1.3279,0.7321
0,63,0.002,66.3110,1.3060,0.7205
0,64,0.002,64.6999,1.2924,0.7283
0,65,0.002,63.8845,1.3216,0.7309
0,66,0.002,63.5723,1.3057,0.7326
0,67,0.002,63.8181,1.3359,0.7336
0,68,0.002,63.8623,1.2830,0.7335
0,69,0.002,61.9876,1.2661,0.7412
0,70,0.002,63.1015,1.3095,0.7339
0,71,0.002,62.8463,1.2994,0.7338
0,72,0.002,61.4023,1.2901,0.7434
0,73,0.002,61.7117,1.2777,0.7402
0,74,0.002,61.3182,1.2827,0.7420
0,75,0.002,61.2454,1.2580,0.7436
0,76,0.002,61.7031,1.2472,0.7425
0,77,0.002,60.2135,1.2848,0.7459
0,78,0.002,61.0692,1.2697,0.7431
0,79,0.002,60.0422,1.2653,0.7484
0,80,0.002,58.6519,1.2276,0.7519
0,81,0.002,59.1845,1.2309,0.7502
0,82,0.002,58.9131,1.2277,0.7509
0,83,0.002,59.9933,1.2504,0.7476
0,84,0.002,58.4860,1.2538,0.7544
0,85,0.002,58.5856,1.2257,0.7528
0,86,0.002,58.2835,1.2348,0.7532
0,87,0.002,58.6161,1.2545,0.7524
0,88,0.002,56.7446,1.2370,0.7602
0,89,0.002,57.2156,1.2289,0.7573
0,90,0.002,57.8316,1.1770,0.7541
0,91,0.002,57.8665,1.2309,0.7560
0,92,0.002,57.0940,1.2691,0.7589
0,93,0.002,56.9900,1.2315,0.7588
0,94,0.002,55.9280,1.2324,0.7622
0,95,0.002,56.7349,1.2186,0.7591
0,96,0.002,56.0785,1.1861,0.7618
0,97,0.002,56.5566,1.2059,0.7607
0,98,0.002,55.5494,1.1779,0.7639
0,99,0.002,55.9736,1.2046,0.7626
0,100,0.002,54.6638,1.2029,0.7696
0,101,0.002,54.5114,1.2114,0.7700
0,102,0.002,54.5827,1.1685,0.7684
0,103,0.002,54.8639,1.1877,0.7675
0,104,0.002,54.8329,1.1593,0.7678
0,105,0.002,53.4866,1.2167,0.7741
0,106,0.002,54.6238,1.2036,0.7676
0,107,0.002,54.7538,1.1558,0.7704
0,108,0.002,53.8009,1.1752,0.7724
0,109,0.002,53.6528,1.1684,0.7704
0,110,0.002,53.7834,1.1442,0.7725
0,111,0.002,54.0827,1.1722,0.7674
0,112,0.002,52.9643,1.1743,0.7722
0,113,0.002,52.9892,1.1640,0.7751
0,114,0.002,52.9297,1.1678,0.7728
0,115,0.002,52.9591,1.1351,0.7757
0,116,0.002,53.1214,1.1496,0.7732
0,117,0.002,52.1409,1.1702,0.7777
0,118,0.002,52.0220,1.1953,0.7774
0,119,0.002,52.4123,1.1382,0.7768
0,120,0.002,52.1388,1.1411,0.7797
0,121,0.002,52.3147,1.1296,0.7750
0,122,0.002,51.8169,1.1385,0.7794
0,123,0.002,51.5021,1.1458,0.7792
0,124,0.002,52.1824,1.1515,0.7790
0,125,0.002,52.1653,1.1662,0.7763
0,126,0.002,50.7034,1.1495,0.7842
0,127,0.002,50.5775,1.0950,0.7845
0,128,0.002,50.5268,1.1038,0.7850
0,129,0.002,50.3051,1.1404,0.7857
0,130,0.002,50.9352,1.1194,0.7839
0,131,0.002,51.0971,1.1483,0.7822
0,132,0.002,50.3540,1.1185,0.7871
0,133,0.002,50.0140,1.1196,0.7864
0,134,0.002,50.8282,1.1476,0.7839
0,135,0.002,49.3713,1.1138,0.7873
0,136,0.002,50.5502,1.1354,0.7834
0,137,0.002,50.1887,1.1314,0.7871
0,138,0.002,49.9271,1.1051,0.7862
0,139,0.002,50.3190,1.1236,0.7856
0,140,0.002,49.7360,1.1339,0.7878
0,141,0.002,49.2599,1.1456,0.7890
0,142,0.002,50.2222,1.1347,0.7853
0,143,0.002,49.6761,1.1431,0.7863
0,144,0.002,49.5128,1.1281,0.7873
0,145,0.002,49.3055,1.1310,0.7896
0,146,0.002,49.2562,1.0763,0.7897
0,147,0.002,48.6326,1.0942,0.7926
0,148,0.002,48.9830,1.0989,0.7898
0,149,0.002,48.6234,1.0733,0.7902
0,150,0.002,47.6649,1.0760,0.7960
0,151,0.002,48.4197,1.0957,0.7926
0,152,0.002,48.5153,1.1257,0.7932
0,153,0.002,48.2285,1.0867,0.7930
0,154,0.002,47.8355,1.1088,0.7960
0,155,0.002,48.8547,1.0726,0.7914
0,156,0.002,48.3074,1.1212,0.7945
0,157,0.002,47.6751,1.0930,0.7957
0,158,0.002,47.1724,1.0542,0.7985
0,159,0.002,47.2222,1.1007,0.7981
0,160,0.002,47.0074,1.0683,0.7970
0,161,0.002,47.6824,1.0777,0.7939
0,162,0.002,46.9486,1.0513,0.7984
0,163,0.002,47.1429,1.0839,0.7977
0,164,0.002,47.7066,1.0931,0.7938
0,165,0.002,47.5172,1.0450,0.7967
0,166,0.002,47.8566,1.0486,0.7953
0,167,0.002,47.2726,1.0836,0.7977
0,168,0.002,46.8225,1.0625,0.8003
0,169,0.002,46.2644,1.0617,0.8020
0,170,0.002,46.8803,1.0857,0.7998
0,171,0.002,46.1684,1.0668,0.8004
0,172,0.002,46.1274,1.0876,0.8033
0,173,0.002,46.4804,1.1204,0.7997
0,174,0.002,46.1370,1.0770,0.8017
0,175,0.002,46.3504,1.0877,0.8004
0,176,0.002,46.3631,1.0605,0.7998
0,177,0.002,46.2095,1.0641,0.8012
0,178,0.002,45.1526,1.1105,0.8064
0,179,0.002,46.6966,1.0358,0.7993
0,180,0.002,45.7268,1.0569,0.8021
0,181,0.002,45.8139,1.0873,0.8029
0,182,0.002,45.5363,1.0589,0.8034
0,183,0.002,46.1326,1.0510,0.8015
0,184,0.002,45.8400,1.0812,0.8036
0,185,0.002,45.9481,1.0637,0.8020
0,186,0.002,45.5095,1.0740,0.8058
0,187,0.002,44.8709,1.0986,0.8066
0,188,0.002,45.5059,1.0657,0.8032
0,189,0.002,44.5927,1.0482,0.8073
0,190,0.002,45.3472,1.0648,0.8041
0,191,0.002,44.2088,1.0623,0.8089
0,192,0.002,45.0959,1.0211,0.8054
0,193,0.002,44.5193,1.0563,0.8068
0,194,0.002,44.8088,1.0566,0.8063
0,195,0.002,44.2898,1.0525,0.8086
0,196,0.002,44.4961,1.0581,0.8073
0,197,0.002,44.7617,1.0409,0.8061
0,198,0.002,44.3509,1.0318,0.8105
0,199,0.002,45.3438,1.0511,0.8055
1,0,0.002,61.5383,1.3612,0.7538
1,1,0.002,56.6989,1.2845,0.7707
1,2,0.002,54.5450,1.2681,0.7782
1,3,0.002,52.9260,1.2405,0.7840
1,4,0.002,52.0189,1.2426,0.7864
1,5,0.002,51.4492,1.2366,0.7899
1,6,0.002,50.5168,1.2395,0.7937
1,7,0.002,50.2490,1.2043,0.7938
1,8,0.002,50.4883,1.2252,0.7935
1,9,0.002,49.5173,1.2107,0.7974
1,10,0.002,49.1272,1.2280,0.7987
1,11,0.002,49.8797,1.2147,0.7947
1,12,0.002,48.4495,1.2035,0.8009
1,13,0.002,48.7436,1.2006,0.8005
1,14,0.002,48.0323,1.2055,0.8021
1,15,0.002,48.3925,1.2001,0.8011
1,16,0.002,47.6267,1.2118,0.8036
1,17,0.002,47.4199,1.2075,0.8058
1,18,0.002,47.4412,1.1660,0.8045
1,19,0.002,47.1433,1.1858,0.8060
1,20,0.002,47.1901,1.2293,0.8055
1,21,0.002,46.5861,1.1740,0.8081
1,22,0.002,46.1400,1.1820,0.8108
1,23,0.002,46.1910,1.1928,0.8093
1,24,0.002,46.5367,1.1481,0.8078
1,25,0.002,45.8557,1.1730,0.8109
1,26,0.002,46.2826,1.2030,0.8098
1,27,0.002,45.4252,1.1770,0.8117
1,28,0.002,45.6442,1.1711,0.8111
1,29,0.002,45.5017,1.1889,0.8124
1,30,0.002,45.2667,1.1764,0.8136
1,31,0.002,45.1655,1.2096,0.8136
1,32,0.002,44.9537,1.2066,0.8132
1,33,0.002,44.9529,1.1624,0.8142
1,34,0.002,44.9453,1.1579,0.8138
1,35,0.002,44.5628,1.1992,0.8164
1,36,0.002,44.5602,1.1572,0.8149
1,37,0.002,44.4503,1.1739,0.8156
1,38,0.002,44.7548,1.1705,0.8149
1,39,0.002,44.4878,1.1670,0.8164
1,40,0.002,44.0007,1.1687,0.8183
1,41,0.002,44.3176,1.1902,0.8170
1,42,0.002,44.2747,1.1989,0.8175
1,43,0.002,43.1876,1.1859,0.8209
1,44,0.002,43.4625,1.1516,0.8196
1,45,0.002,43.3731,1.1814,0.8204
1,46,0.002,43.5519,1.1875,0.8179
1,47,0.002,43.3594,1.1560,0.8203
1,48,0.002,43.7849,1.1787,0.8187
1,49,0.002,43.2504,1.1659,0.8213
1,50,0.002,43.6652,1.1698,0.8190
1,51,0.002,42.9942,1.1768,0.8224
1,52,0.002,43.2684,1.1580,0.8210
1,53,0.002,43.2290,1.1508,0.8198
1,54,0.002,43.2041,1.1665,0.8212
1,55,0.001,43.0488,1.1552,0.8210
1,56,0.001,42.7213,1.1911,0.8223
1,57,0.001,42.1529,1.1508,0.8240
1,58,0.001,42.3680,1.1506,0.8250
1,59,0.001,42.8686,1.1583,0.8221
1,60,0.001,42.0180,1.1566,0.8256
1,61,0.001,42.0898,1.1639,0.8269
1,62,0.001,42.0206,1.1724,0.8261
1,63,0.001,41.8092,1.1965,0.8266
1,64,0.001,42.0684,1.1921,0.8262
1,65,0.001,42.2013,1.1911,0.8256
1,66,0.001,42.0504,1.1755,0.8258
1,67,0.001,42.1253,1.1622,0.8255
1,68,0.001,42.3299,1.2086,0.8239
1,69,0.0005,41.7266,1.1574,0.8270
1,70,0.0005,42.1491,1.1755,0.8260
1,71,0.0005,41.5610,1.1806,0.8279
1,72,0.0005,41.5323,1.1743,0.8285
1,73,0.0005,41.9533,1.1752,0.8257
1,74,0.0005,41.7321,1.1428,0.8270
1,75,0.0005,41.6551,1.1757,0.8275
1,76,0.0005,41.7403,1.1634,0.8267
1,77,0.0005,41.1561,1.1903,0.8299
1,78,0.0005,41.3267,1.1476,0.8281
1,79,0.0005,41.9021,1.2021,0.8268
1,80,0.0005,41.4190,1.1678,0.8286
1,81,0.0005,41.4812,1.1638,0.8282
1,82,0.0005,41.2520,1.1539,0.8285
1,83,0.00025,41.1662,1.1747,0.8288
1,84,0.00025,40.5261,1.1635,0.8313
1,85,0.00025,40.9689,1.1690,0.8295
1,86,0.00025,41.4018,1.1787,0.8281
1,87,0.00025,41.1513,1.1779,0.8299
1,88,0.00025,41.2110,1.1768,0.8291
1,89,0.00025,41.7008,1.1599,0.8266
1,90,0.00025,41.1794,1.1868,0.8296
1,91,0.00025,40.9650,1.1655,0.8303
1,92,0.00025,41.1937,1.1641,0.8287
1,93,0.00025,41.0226,1.1913,0.8293
1,94,0.00025,41.5516,1.1730,0.8285
1,95,0.00025,40.9100,1.1463,0.8307
1,96,0.000125,41.0938,1.1556,0.8283
1,97,0.000125,41.0794,1.1723,0.8300
1,98,0.000125,41.0317,1.1740,0.8297
1,99,0.000125,40.9960,1.1636,0.8300
1,100,0.000125,41.3131,1.1851,0.8283
1,101,0.000125,41.1302,1.1896,0.8294
1,102,0.000125,41.2232,1.1675,0.8287
1,103,0.000125,40.9919,1.1902,0.8305
1,104,0.000125,41.3480,1.1565,0.8285
1,105,0.000125,41.1214,1.1669,0.8290
1,106,0.000125,41.0912,1.1962,0.8293
1,107,0.000125,41.1957,1.1564,0.8283
1,108,0.0001,40.7574,1.1441,0.8311
1,109,0.0001,40.8742,1.1655,0.8303
1,110,0.0001,41.0553,1.1607,0.8293
1,111,0.0001,41.5240,1.1740,0.8275
1,112,0.0001,41.0325,1.1594,0.8300
1,113,0.0001,40.9664,1.1556,0.8294
1,114,0.0001,41.1382,1.1830,0.8293
1,115,0.0001,41.3846,1.1676,0.8278
1,116,0.0001,40.9532,1.1873,0.8298
1,117,0.0001,41.0462,1.1721,0.8296
1,118,0.0001,40.9294,1.1594,0.8298
1,119,0.0001,40.8454,1.1975,0.8305
1,120,0.0001,40.9495,1.1637,0.8297
1,121,0.0001,41.6699,1.1538,0.8269
1,122,0.0001,40.8875,1.1605,0.8307
1,123,0.0001,40.8628,1.1758,0.8307
1,124,0.0001,41.2680,1.1719,0.8288
1,125,0.0001,41.1351,1.1603,0.8298
1,126,0.0001,40.8406,1.1702,0.8306
1,127,0.0001,40.6485,1.2050,0.8324
1,128,0.0001,40.9235,1.1671,0.8304
1,129,0.0001,40.9397,1.1561,0.8309
1,130,0.0001,41.4806,1.1716,0.8280
1,131,0.0001,41.3694,1.1765,0.8288
1,132,0.0001,40.8535,1.1595,0.8297
1,133,0.0001,41.0990,1.1673,0.8292
1,134,0.0001,40.3913,1.1847,0.8321
1,135,0.0001,40.6017,1.1615,0.8320
1,136,0.0001,40.8539,1.1385,0.8299
1,137,0.0001,40.8469,1.1833,0.8310
1,138,0.0001,40.7065,1.1523,0.8308
1,139,0.0001,41.3999,1.1887,0.8281
1,140,0.0001,40.6851,1.1699,0.8319
1,141,0.0001,40.6799,1.1602,0.8315
1,142,0.0001,41.0571,1.1865,0.8299
1,143,0.0001,41.1250,1.1837,0.8298
1,144,0.0001,40.8331,1.1866,0.8312
1,145,0.0001,40.8139,1.1613,0.8315
1,146,0.0001,41.1309,1.1760,0.8298
1,147,0.0001,41.2040,1.1824,0.8285
1,148,0.0001,40.6383,1.1411,0.8311
1,149,0.0001,40.7090,1.1915,0.8317
1,150,0.0001,41.3954,1.1672,0.8276
1,151,0.0001,40.7926,1.1611,0.8305
1,152,0.0001,40.8800,1.1713,0.8295
1,153,0.0001,40.8262,1.1871,0.8304
1,154,0.0001,40.7015,1.1545,0.8321
1,155,0.0001,41.5414,1.1475,0.8282
1,156,0.0001,40.6590,1.1555,0.8308
1,157,0.0001,41.0879,1.1962,0.8297
1,158,0.0001,40.8322,1.1535,0.8306
1,159,0.0001,40.7376,1.1730,0.8314
1,160,0.0001,40.9656,1.1498,0.8299
1,161,0.0001,41.1370,1.1627,0.8303
1,162,0.0001,40.8189,1.1801,0.8304
1,163,0.0001,41.0250,1.1790,0.8297
1,164,0.0001,40.8843,1.1753,0.8295
1,165,0.0001,40.8152,1.1667,0.8310
1,166,0.0001,40.7836,1.1695,0.8310
1,167,0.0001,40.8164,1.1480,0.8319
1,168,0.0001,41.3185,1.1583,0.8281
1,169,0.0001,41.1000,1.1468,0.8300
1,170,0.0001,40.3447,1.1382,0.8328
1,171,0.0001,40.7256,1.1535,0.8317
1,172,0.0001,40.9536,1.1768,0.8307
1,173,0.0001,40.6987,1.1634,0.8312
1,174,0.0001,41.1780,1.1489,0.8291
1,175,0.0001,40.4023,1.1647,0.8315
1,176,0.0001,40.6134,1.1859,0.8319
1,177,0.0001,40.5144,1.1698,0.8326
1,178,0.0001,41.2017,1.1794,0.8287
1,179,0.0001,41.1008,1.1809,0.8303
1,180,0.0001,40.2992,1.1645,0.8326
1,181,0.0001,40.4033,1.1387,0.8333
1,182,0.0001,40.7669,1.1537,0.8311
1,183,0.0001,40.6931,1.1632,0.8309
1,184,0.0001,40.8711,1.1691,0.8297
1,185,0.0001,40.7493,1.1498,0.8309
1,186,0.0001,41.1449,1.1713,0.8294
1,187,0.0001,41.0712,1.1594,0.8299
1,188,0.0001,40.7923,1.1892,0.8316
1,189,0.0001,40.1081,1.1957,0.8336
1,190,0.0001,40.3785,1.1662,0.8308
1,191,0.0001,40.8586,1.1697,0.8312
1,192,0.0001,40.2795,1.1614,0.8327
1,193,0.0001,39.9698,1.1617,0.8341
1,194,0.0001,40.6784,1.1538,0.8309
1,195,0.0001,40.9446,1.1778,0.8312
1,196,0.0001,40.5225,1.1898,0.8322
1,197,0.0001,40.8402,1.1789,0.8304
1,198,0.0001,40.6505,1.1748,0.8317
1,199,0.0001,40.4302,1.1662,0.8325
2,0,0.002,46.6452,1.2393,0.8040
2,1,0.002,44.5362,1.2381,0.8146
2,2,0.002,43.0600,1.1596,0.8195
2,3,0.002,42.3231,1.1841,0.8197
2,4,0.002,42.3110,1.1857,0.8212
2,5,0.002,41.9223,1.1674,0.8227
2,6,0.002,41.0294,1.1651,0.8259
2,7,0.002,41.0348,1.1674,0.8257
2,8,0.002,40.0145,1.1676,0.8303
2,9,0.002,40.3558,1.1560,0.8286
2,10,0.002,39.9813,1.1591,0.8303
2,11,0.002,39.9415,1.1683,0.8316
2,12,0.002,39.4116,1.1328,0.8319
2,13,0.002,39.7049,1.1484,0.8313
2,14,0.002,39.1853,1.1682,0.8332
2,15,0.002,38.8644,1.1532,0.8347
2,16,0.002,38.6672,1.1485,0.8373
2,17,0.002,39.1078,1.1654,0.8333
2,18,0.002,38.7327,1.1399,0.8339
2,19,0.002,38.6938,1.1456,0.8360
2,20,0.002,38.1338,1.1122,0.8383
2,21,0.002,38.5949,1.1799,0.8366
2,22,0.002,37.7367,1.1552,0.8396
2,23,0.002,37.9128,1.1522,0.8393
2,24,0.002,37.8468,1.1567,0.8392
2,25,0.002,37.8127,1.1290,0.8394
2,26,0.002,37.4118,1.1908,0.8421
2,27,0.002,37.6135,1.1504,0.8408
2,28,0.002,37.6895,1.1542,0.8408
2,29,0.002,37.5391,1.1626,0.8410
2,30,0.002,37.2817,1.1364,0.8416
2,31,0.002,37.0768,1.1534,0.8428
2,32,0.002,37.2019,1.1463,0.8421
2,33,0.002,36.9934,1.1507,0.8433
2,34,0.002,36.8677,1.1633,0.8446
2,35,0.002,36.5379,1.1480,0.8456
2,36,0.002,36.3677,1.1379,0.8452
2,37,0.002,36.7748,1.1521,0.8441
2,38,0.002,36.1305,1.1309,0.8460
2,39,0.002,36.5991,1.1351,0.8449
2,40,0.002,36.3883,1.2020,0.8461
2,41,0.002,37.1397,1.1800,0.8420
2,42,0.002,36.4461,1.1379,0.8447
2,43,0.002,36.1978,1.1617,0.8467
2,44,0.002,35.6660,1.1416,0.8498
2,45,0.002,35.7631,1.1426,0.8481
2,46,0.002,35.9184,1.1806,0.8473
2,47,0.002,35.9191,1.1486,0.8478
2,48,0.002,35.9550,1.1439,0.8472
2,49,0.002,35.4075,1.1479,0.8498
2,50,0.002,35.5134,1.1533,0.8500
2,51,0.002,35.2762,1.1540,0.8513
