eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,25.795938,0.536075,0.8885625,0.0,0.0
1.0,0.0,63.88529,0.9046,0.746475,0.0,0.0
2.0,0.0,56.368576,0.7754625,0.77035004,0.0,0.0
3.0,0.0,59.349834,0.9989,0.7695,0.0,0.0
4.0,0.0,79.02982,0.94181246,0.69797504,0.0,0.0
5.0,0.0,75.234604,0.8404875,0.7389625,0.0,0.0
6.0,0.0,66.37754,1.042775,0.76734996,0.0,0.0
7.0,0.0,87.0202,0.98777497,0.7157875,0.0,0.0
8.0,0.0,71.687775,0.88323754,0.7929875,0.0,0.0
9.0,0.0,62.32864,1.17845,0.7940125,0.0,0.0
0.0,1.0,32.020573,0.55248755,0.86328745,0.025275,-0.025275
1.0,1.0,26.625998,0.65331256,0.87906253,0.0,0.0
2.0,1.0,37.914787,0.68635,0.83655,0.0,0.0
3.0,1.0,42.540184,0.80656254,0.8265125,0.0,0.0
4.0,1.0,54.31806,0.75374997,0.78287506,0.0,0.0
5.0,1.0,55.732872,0.69735,0.7925875,0.0,0.0
6.0,1.0,48.3967,0.8812875,0.816025,0.0,0.0
7.0,1.0,62.80024,0.8472625,0.786275,0.0,0.0
8.0,1.0,52.677666,0.7202249,0.8312875,0.0,0.0
9.0,1.0,48.033653,0.94277495,0.8297125,0.0,0.0
0.0,2.0,34.8032,0.5716125,0.8515625,0.0369875,-0.0369875
1.0,2.0,34.020714,0.70627505,0.8504875,0.028575001,-0.028575001
2.0,2.0,24.344398,0.59501255,0.89226246,0.0,0.0
3.0,2.0,34.417835,0.76183754,0.85655,0.0,0.0
4.0,2.0,47.107216,0.702275,0.807925,0.0,0.0
5.0,2.0,49.811523,0.65717506,0.8124625,0.0,0.0
6.0,2.0,45.696434,0.8729251,0.82272494,0.0,0.0
7.0,2.0,59.699528,0.78587496,0.79252493,0.0,0.0
8.0,2.0,51.637726,0.66675,0.8277125,0.0,0.0
9.0,2.0,47.506935,0.918325,0.8270875,0.0,0.0
0.0,3.0,36.631054,0.57675,0.844325,0.0442625,-0.0442625
1.0,3.0,37.082573,0.71273756,0.8390875,0.039975,-0.039975
2.0,3.0,30.738935,0.62360007,0.86382496,0.0284625,-0.0284625
3.0,3.0,18.471899,0.62390006,0.92327505,0.0,0.0
4.0,3.0,42.701313,0.655975,0.82715005,0.0,0.0
5.0,3.0,48.769665,0.63021255,0.80964994,0.0,0.0
6.0,3.0,42.10309,0.81845,0.83618754,0.0,0.0
7.0,3.0,54.050274,0.718225,0.8119,0.0,0.0
8.0,3.0,51.46355,0.6535,0.82710004,0.0,0.0
9.0,3.0,40.495934,0.79475003,0.8519625,0.0,0.0
0.0,4.0,37.374027,0.60378754,0.84372497,0.04485,-0.04485
1.0,4.0,38.93122,0.74583745,0.8323875,0.046675,-0.046675
2.0,4.0,31.764187,0.6561625,0.85859996,0.0336625,-0.0336625
3.0,4.0,22.790724,0.6814875,0.90565,0.017600002,-0.017600002
4.0,4.0,24.233074,0.6097125,0.89885,0.0,0.0
5.0,4.0,43.815487,0.6306375,0.82632506,0.0,0.0
6.0,4.0,39.755863,0.836975,0.84411246,0.0,0.0
7.0,4.0,52.574974,0.71103746,0.8154501,0.0,0.0
8.0,4.0,48.77361,0.6607,0.8330625,0.0,0.0
9.0,4.0,39.750088,0.81857497,0.85426253,0.0,0.0
0.0,5.0,39.898983,0.6290375,0.83449996,0.054087497,-0.054087497
1.0,5.0,41.29335,0.7460625,0.82385004,0.0552125,-0.0552125
2.0,5.0,33.094074,0.663425,0.85458755,0.037674997,-0.037674997
3.0,5.0,24.35565,0.6942625,0.8989625,0.024312498,-0.024312498
4.0,5.0,30.97525,0.6400375,0.87261254,0.026237499,-0.026237499
5.0,5.0,27.838276,0.55895,0.88452494,0.0,0.0
6.0,5.0,35.97655,0.80702496,0.858,0.0,0.0
7.0,5.0,46.17575,0.6987626,0.8385375,0.0,0.0
8.0,5.0,40.480537,0.6180625,0.8644375,0.0,0.0
9.0,5.0,28.574812,0.78877497,0.8954625,0.0,0.0
0.0,6.0,40.1655,0.6188875,0.833625,0.0549625,-0.0549625
1.0,6.0,41.951466,0.7573624,0.8212875,0.057775,-0.057775
2.0,6.0,33.770874,0.6519375,0.85081244,0.041449998,-0.041449998
3.0,6.0,25.037487,0.672,0.89619994,0.0270625,-0.0270625
4.0,6.0,32.076687,0.62705,0.86749995,0.0313625,-0.0313625
5.0,6.0,32.17075,0.55021256,0.86875,0.015787499,-0.015787499
6.0,6.0,25.894262,0.70178753,0.89726245,0.0,0.0
7.0,6.0,44.5286,0.62626255,0.8442125,0.0,0.0
8.0,6.0,37.8989,0.5932125,0.87213755,0.0,0.0
9.0,6.0,27.297375,0.7774,0.90075004,0.0,0.0
0.0,7.0,43.42115,0.671775,0.82275,0.065825,-0.065825
1.0,7.0,44.70761,0.811075,0.8103875,0.0686625,-0.0686625
2.0,7.0,34.63045,0.694225,0.84774995,0.044499997,-0.044499997
3.0,7.0,26.514061,0.734725,0.8909,0.03235,-0.03235
4.0,7.0,33.530613,0.6712,0.8633375,0.035537504,-0.035537504
5.0,7.0,33.86234,0.60377496,0.862525,0.022,-0.022
6.0,7.0,29.816898,0.79456246,0.8826,0.014662499,-0.014662499
7.0,7.0,31.089836,0.6063375,0.889175,0.0,0.0
8.0,7.0,35.758377,0.591425,0.8781,0.0,0.0
9.0,7.0,24.012589,0.7871125,0.9120125,0.0,0.0
0.0,8.0,44.0538,0.67816246,0.8203,0.068275,-0.068275
1.0,8.0,45.2811,0.81754994,0.8081,0.07095,-0.07095
2.0,8.0,34.909225,0.6909,0.84735006,0.044912502,-0.044912502
3.0,8.0,26.515776,0.7174,0.89098746,0.0322875,-0.0322875
4.0,8.0,34.860714,0.6731625,0.85894996,0.0399,-0.0399
5.0,8.0,34.194023,0.5850875,0.86258745,0.021937499,-0.021937499
6.0,8.0,30.328575,0.7642375,0.8822625,0.015000001,-0.015000001
7.0,8.0,35.04619,0.6092875,0.87605006,0.013150001,-0.013150001
8.0,8.0,26.914639,0.47496253,0.9096875,0.0,0.0
9.0,8.0,23.583824,0.78283757,0.9134125,0.0,0.0
0.0,9.0,45.17116,0.691225,0.81543756,0.073125005,-0.073125005
1.0,9.0,46.41962,0.84162503,0.8043625,0.0747,-0.0747
2.0,9.0,35.878452,0.71884996,0.8431124,0.049174998,-0.049174998
3.0,9.0,27.454214,0.74348754,0.8873875,0.035887502,-0.035887502
4.0,9.0,35.326622,0.6888375,0.85719997,0.041649997,-0.041649997
5.0,9.0,35.580364,0.61105,0.85870004,0.025824998,-0.025824998
6.0,9.0,31.597012,0.800025,0.8767125,0.020537501,-0.020537501
7.0,9.0,38.40349,0.631325,0.86515,0.02405,-0.02405
8.0,9.0,30.363565,0.5136375,0.89778745,0.011899999,-0.011899999
9.0,9.0,18.018013,0.61065006,0.93465,0.0,0.0
