eval_exp,training_exp,Loss_Exp,Time_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,25.079124,0.309725,0.519925,0.890625,0.0,0.0
1.0,0.0,64.6645,0.24970001,0.87485003,0.74600005,0.0,0.0
2.0,0.0,56.4261,0.2468,0.75995004,0.768275,0.0,0.0
3.0,0.0,62.791824,0.3023,0.97389996,0.756225,0.0,0.0
4.0,0.0,81.33672,0.125875,0.925775,0.694775,0.0,0.0
5.0,0.0,76.289825,0.12395,0.83269995,0.736075,0.0,0.0
6.0,0.0,67.99387,0.154575,1.04085,0.763375,0.0,0.0
7.0,0.0,90.013824,0.16037501,0.9551,0.7083,0.0,0.0
8.0,0.0,71.56935,0.049125,0.77805,0.801325,0.0,0.0
9.0,0.0,64.585625,0.028575001,0.95860004,0.789075,0.0,0.0
0.0,1.0,41.03645,0.239925,0.923275,0.83207494,0.05855,-0.05855
1.0,1.0,39.6426,0.355075,1.4150499,0.83484995,0.0,0.0
2.0,1.0,43.801304,0.25175,1.5420249,0.81229997,0.0,0.0
3.0,1.0,50.029724,0.295775,1.870125,0.80185,0.0,0.0
4.0,1.0,58.242172,0.12905,1.932575,0.7679,0.0,0.0
5.0,1.0,54.883873,0.120400004,1.7716,0.79590005,0.0,0.0
6.0,1.0,54.293247,0.21715002,2.245675,0.79915,0.0,0.0
7.0,1.0,73.10975,0.15865,2.18255,0.76005006,0.0,0.0
8.0,1.0,51.95352,0.045475002,1.4427251,0.842375,0.0,0.0
9.0,1.0,51.73057,0.02855,2.064275,0.824,0.0,0.0
0.0,2.0,45.902176,0.18304999,0.93642503,0.81147504,0.079124995,-0.079124995
1.0,2.0,45.572147,0.394075,1.319525,0.810875,0.023950001,-0.023950001
2.0,2.0,31.878426,0.28377497,1.1853,0.86427504,0.0,0.0
3.0,2.0,43.817223,0.16475,1.30305,0.81915,0.0,0.0
4.0,2.0,51.76513,0.125625,1.446975,0.78697497,0.0,0.0
5.0,2.0,49.615025,0.123900004,1.27385,0.81455004,0.0,0.0
6.0,2.0,47.124702,0.278125,1.5368,0.822275,0.0,0.0
7.0,2.0,61.8585,0.175075,1.3544,0.78777504,0.0,0.0
8.0,2.0,50.05857,0.044749998,1.03665,0.83472496,0.0,0.0
9.0,2.0,43.033302,0.02635,1.58485,0.851925,0.0,0.0
0.0,3.0,52.04645,0.264425,1.007975,0.778175,0.112449996,-0.112449996
1.0,3.0,55.900322,0.335825,1.308775,0.765875,0.068975,-0.068975
2.0,3.0,40.795425,0.25432497,1.2666501,0.819825,0.044425003,-0.044425003
3.0,3.0,24.653524,0.29017502,1.321125,0.90262496,0.0,0.0
4.0,3.0,42.954697,0.13472499,1.45875,0.82775,0.0,0.0
5.0,3.0,50.1267,0.109825,1.332075,0.808325,0.0,0.0
6.0,3.0,43.010975,0.19780001,1.62975,0.8357,0.0,0.0
7.0,3.0,55.61775,0.147875,1.43705,0.8095499,0.0,0.0
8.0,3.0,47.386475,0.050325,1.1043,0.844125,0.0,0.0
9.0,3.0,38.393753,0.0274,1.54355,0.85864997,0.0,0.0
0.0,4.0,53.676624,0.2552,1.03415,0.78385,0.106775,-0.106775
