eval_exp,training_exp,Loss_Exp,Time_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.14236513,0.024302918,0.0076555186,0.00048152573,0.0,0.0
0.0,0.0,0.5366569,0.012898447,0.019986551,0.0014194958,0.0,0.0
0.0,0.0,0.9534111,0.033277243,0.013984004,0.004295561,0.0,0.0
0.0,0.0,2.8924482,0.0072543155,0.033807825,0.011342472,0.0,0.0
0.0,0.0,2.1597025,0.002340274,0.024362314,0.00971838,0.0,0.0
0.0,0.0,0.96615595,0.017595805,0.025583485,0.004362563,0.0,0.0
0.0,0.0,2.252611,0.02693997,0.02958179,0.0091981925,0.0,0.0
0.0,0.0,2.292758,0.023263855,0.038433135,0.010541592,0.0,0.0
0.0,0.0,1.4233086,0.006472006,0.027277512,0.003477339,0.0,0.0
0.0,0.0,3.4137707,0.006839362,0.05779069,0.012328095,0.0,0.0
0.0,0.0,0.97982717,0.074971646,0.09136662,0.0038654725,0.0034135762,0.0034135762
0.0,0.0,0.7375163,0.075067915,0.14517316,0.0028727269,0.0,0.0
0.0,0.0,0.62869984,0.02413509,0.15180035,0.0022034035,0.0,0.0
0.0,0.0,0.994672,0.0470081,0.11266751,0.004218129,0.0,0.0
0.0,0.0,0.8197143,0.024139231,0.17296885,0.0032916619,0.0,0.0
0.0,0.0,1.5995469,0.019505385,0.19932845,0.0056338273,0.0,0.0
0.0,0.0,1.201837,0.040587842,0.19276218,0.004814824,0.0,0.0
0.0,0.0,3.9037888,0.017899508,0.1355188,0.008311586,0.0,0.0
0.0,0.0,1.7415135,0.0057555954,0.07683594,0.008925076,0.0,0.0
0.0,0.0,2.0139885,0.000832166,0.10051732,0.0040767463,0.0,0.0
0.0,0.0,1.2950851,0.015250984,0.050948817,0.0070856893,0.006675095,0.006675095
0.0,0.0,1.199359,0.061360627,0.07784567,0.0047913417,0.0025164457,0.0025164457
0.0,0.0,0.27240616,0.07325577,0.081211105,0.0001920217,0.0,0.0
0.0,0.0,1.4692981,0.0136501845,0.12741391,0.0063342196,0.0,0.0
0.0,0.0,1.0933441,0.015746327,0.12663427,0.0045251315,0.0,0.0
0.0,0.0,1.5567168,0.009779315,0.11306781,0.0045741256,0.0,0.0
0.0,0.0,2.5249052,0.06293037,0.15719092,0.009425857,0.0,0.0
0.0,0.0,1.7022116,0.07390657,0.16392535,0.005506998,0.0,0.0
0.0,0.0,2.725362,0.011443884,0.08866769,0.010995766,0.0,0.0
0.0,0.0,3.1393313,0.004203272,0.17951293,0.012375851,0.0,0.0
0.0,0.0,1.036754,0.071823165,0.045575406,0.009795239,0.0102011,0.0102011
0.0,0.0,1.6296679,0.06726021,0.057545904,0.009359328,0.0110073555,0.0110073555
0.0,0.0,1.3038415,0.021096723,0.09817312,0.006384114,0.0063574268,0.0063574268
0.0,0.0,0.15497217,0.061125748,0.08067081,0.0018294529,0.0,0.0
0.0,0.0,0.21683533,0.017741103,0.08629419,0.0020621528,0.0,0.0
0.0,0.0,1.2872283,0.015916405,0.13051976,0.0051407083,0.0,0.0
0.0,0.0,1.3036586,0.052676037,0.19585724,0.005258321,0.0,0.0
0.0,0.0,0.7652425,0.012705782,0.1425013,0.0027481737,0.0,0.0
0.0,0.0,2.256809,0.014631539,0.052510794,0.009679985,0.0,0.0
0.0,0.0,0.7879793,0.0094918385,0.048243806,0.0047668214,0.0,0.0
0.0,0.0,1.7248113,0.050952725,0.08449972,0.0056588477,0.005462315,0.005462315
0.0,0.0,1.2961421,0.09245005,0.0746419,0.0034992944,0.004199627,0.004199627
0.0,0.0,1.6390132,0.12093826,0.103547916,0.0047730817,0.004933241,0.004933241
0.0,0.0,1.452133,0.10325351,0.118469484,0.0062675686,0.006476641,0.006476641
0.0,0.0,0.33188948,0.07837922,0.13886394,0.0009443946,0.0,0.0
0.0,0.0,1.5380188,0.08289682,0.14406873,0.0046877614,0.0,0.0
0.0,0.0,0.4751831,0.0929764,0.23477322,0.0019070595,0.0,0.0
0.0,0.0,1.0711583,0.1814997,0.18597311,0.0051531526,0.0,0.0
0.0,0.0,1.4847889,0.025547052,0.097189315,0.008580304,0.0,0.0
0.0,0.0,2.0795903,0.016725803,0.13396749,0.008862095,0.0,0.0
0.0,0.0,2.5285923,0.10964303,0.0699841,0.0088614365,0.009044608,0.009044608
0.0,0.0,2.0960574,0.08854841,0.1566822,0.004550536,0.00638377,0.00638377
0.0,0.0,0.87244964,0.022354972,0.16256818,0.0027868915,0.0026214262,0.0026214262
0.0,0.0,1.1103358,0.07576118,0.17672601,0.0042967307,0.004080441,0.004080441
0.0,0.0,1.2886907,0.073607035,0.16179736,0.005929745,0.0063645015,0.0063645015
0.0,0.0,0.49467817,0.027855372,0.18049468,0.0032683134,0.0,0.0
0.0,0.0,0.41687965,0.027159471,0.2525797,0.0022531906,0.0,0.0
0.0,0.0,0.7977115,0.024498716,0.17833556,0.0033394399,0.0,0.0
0.0,0.0,1.4774848,0.061218012,0.103049465,0.005726471,0.0,0.0
0.0,0.0,1.2837551,0.010648357,0.25927955,0.003862237,0.0,0.0
0.0,0.0,3.3971562,0.19877195,0.032541268,0.015625874,0.015864268,0.015864268
0.0,0.0,3.669759,0.09826419,0.0796258,0.012176217,0.013692791,0.013692791
0.0,0.0,1.831249,0.17848252,0.08333295,0.010395032,0.010218212,0.010218212
0.0,0.0,2.0075893,0.18511942,0.0920534,0.008277984,0.008248143,0.008248143
0.0,0.0,1.1162891,0.014822174,0.05624171,0.006470316,0.007030114,0.007030114
0.0,0.0,0.24786744,0.04472322,0.054036718,0.00278298,0.0007790219,0.0007790219
0.0,0.0,0.415843,0.0893196,0.06472202,0.0018592677,0.0,0.0
0.0,0.0,1.2783588,0.07560242,0.021568064,0.004189511,0.0,0.0
0.0,0.0,1.9711848,0.027808363,0.050249536,0.003965721,0.0,0.0
0.0,0.0,1.2609621,0.011312162,0.15535848,0.003172045,0.0,0.0
0.0,0.0,1.8610871,0.14355108,0.040562566,0.0062459456,0.006643043,0.006643043
0.0,0.0,1.8362311,0.10009763,0.06309415,0.0065599205,0.008858187,0.008858187
0.0,0.0,0.848642,0.094079085,0.017667927,0.004109366,0.0042526457,0.0042526457
0.0,0.0,1.0442582,0.13879265,0.062285885,0.004499159,0.006138964,0.006138964
0.0,0.0,1.0939558,0.051346496,0.06639233,0.0052680513,0.0058352384,0.0058352384
0.0,0.0,1.3256569,0.09475131,0.052028216,0.005795405,0.0055952542,0.0055952542
0.0,0.0,1.0524635,0.046225287,0.09261637,0.0050114826,0.0050194613,0.0050194613
0.0,0.0,0.9761547,0.0071335034,0.056909624,0.0036464953,0.0,0.0
0.0,0.0,1.1063157,0.011604417,0.029608162,0.003236797,0.0,0.0
0.0,0.0,1.5699236,0.007454319,0.09410414,0.0050026984,0.0,0.0
0.0,0.0,1.9020975,0.09498032,0.029338486,0.006094886,0.006310308,0.006310308
0.0,0.0,1.8540246,0.09752041,0.02020265,0.004754125,0.007027623,0.007027623
0.0,0.0,0.62998176,0.12893854,0.07536885,0.0049695927,0.004998687,0.004998687
0.0,0.0,1.2904853,0.1182229,0.087772414,0.003980569,0.004794267,0.004794267
0.0,0.0,1.2872883,0.035304043,0.109007865,0.0038996993,0.0043916837,0.0043916837
0.0,0.0,0.7746124,0.028616305,0.09455934,0.0025635741,0.0041148365,0.0041148365
0.0,0.0,1.121903,0.09112668,0.13931166,0.00460677,0.00448386,0.00448386
0.0,0.0,0.8873453,0.046612922,0.096567996,0.0038738656,0.0030911164,0.0030911164
0.0,0.0,0.38588285,0.011342479,0.06407292,0.0019727699,0.0,0.0
0.0,0.0,1.1749096,0.0067854184,0.15325256,0.005462139,0.0,0.0
0.0,0.0,1.5860083,0.104791254,0.008411465,0.005320008,0.0053293393,0.0053293393
0.0,0.0,5.861254,0.26058993,0.050807964,0.018959876,0.021376448,0.021376448
0.0,0.0,1.2951528,0.16584705,0.011608826,0.005450842,0.005409482,0.005409482
0.0,0.0,2.031458,0.08740579,0.032914855,0.008836395,0.0086492775,0.0086492775
0.0,0.0,2.1569834,0.107040755,0.039939474,0.0072334283,0.008025896,0.008025896
0.0,0.0,0.60473347,0.0568994,0.020394174,0.001797738,0.004629795,0.004629795
0.0,0.0,1.3858197,0.18337318,0.053407054,0.005233767,0.0041961293,0.0041961293
0.0,0.0,1.0772557,0.08207714,0.04574458,0.0033476597,0.0057102432,0.0057102432
0.0,0.0,2.1993723,0.014182977,0.027641904,0.0074264286,0.008295895,0.008295895
0.0,0.0,0.57692444,0.032714825,0.044612017,0.0023494621,0.0,0.0
