training_exp,epoch,lr,Loss_Epoch,Time_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,254.0840,0.6472,3.3166,-0.0421
0,1,0.002,185.0180,0.5829,3.5935,0.2150
0,2,0.002,159.6853,0.6579,3.4966,0.3134
0,3,0.002,144.8364,0.5476,3.5811,0.3896
0,4,0.002,131.2810,0.5884,2.9588,0.4541
0,5,0.002,121.3976,0.6376,2.6266,0.5012
0,6,0.002,112.4378,0.4494,2.3737,0.5440
0,7,0.002,106.2837,0.4537,2.1951,0.5661
0,8,0.002,100.9961,0.6489,1.9943,0.5874
0,9,0.002,96.3696,0.6390,1.9274,0.6069
0,10,0.002,90.8991,0.4650,1.8565,0.6306
0,11,0.002,87.0951,0.4721,1.7520,0.6475
0,12,0.002,82.3325,0.6637,1.7088,0.6675
0,13,0.002,78.9755,0.6347,1.6167,0.6794
0,14,0.002,75.9744,0.4827,1.5589,0.6918
0,15,0.002,72.9209,0.5051,1.5345,0.7066
0,16,0.002,71.0422,0.6615,1.4771,0.7108
0,17,0.002,67.3043,0.6426,1.4271,0.7259
0,18,0.002,65.8760,0.4995,1.4487,0.7316
0,19,0.002,63.4799,0.4835,1.3675,0.7404
0,20,0.002,62.4472,0.6478,1.3217,0.7452
0,21,0.002,61.4335,0.6108,1.3114,0.7465
0,22,0.002,60.3999,0.5243,1.2757,0.7515
0,23,0.002,57.8340,0.4986,1.2560,0.7597
0,24,0.002,56.7286,0.6812,1.2219,0.7648
0,25,0.002,55.4766,0.6875,1.2267,0.7712
0,26,0.002,55.2075,0.5047,1.1915,0.7712
0,27,0.002,54.2457,0.5197,1.1681,0.7743
0,28,0.002,52.3386,0.6766,1.1929,0.7813
0,29,0.002,51.7517,0.6947,1.1377,0.7835
0,30,0.002,51.5644,0.4837,1.1541,0.7855
0,31,0.002,50.7471,0.5260,1.1117,0.7869
0,32,0.002,49.8918,0.6274,1.1331,0.7915
0,33,0.002,49.1154,0.6890,1.1094,0.7934
0,34,0.002,49.1754,0.5631,1.1153,0.7937
0,35,0.002,47.7395,0.5705,1.1032,0.7988
0,36,0.002,47.8078,0.6644,1.0721,0.7969
0,37,0.002,47.0583,0.6629,1.1062,0.8004
0,38,0.002,46.3070,0.5372,1.0606,0.8052
0,39,0.002,46.0462,0.5836,1.0228,0.8067
0,40,0.002,44.9318,0.6733,1.0659,0.8104
0,41,0.002,44.8818,0.6762,1.0214,0.8115
0,42,0.002,44.7732,0.5311,1.0370,0.8108
0,43,0.002,44.2388,0.4984,1.0121,0.8139
0,44,0.002,43.1958,0.6689,1.0171,0.8178
0,45,0.002,43.2342,0.6543,1.0252,0.8168
0,46,0.002,43.1549,0.5636,1.0030,0.8165
