training_exp,epoch,lr,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,252.5158,3.1780,-0.0415
0,1,0.002,182.7006,3.8728,0.2106
0,2,0.002,159.3636,3.4783,0.3154
0,3,0.002,144.3729,3.5628,0.3917
0,4,0.002,131.5894,2.9529,0.4534
0,5,0.002,121.9237,2.5943,0.4998
0,6,0.002,113.5985,2.3571,0.5360
0,7,0.002,106.9402,2.1547,0.5591
0,8,0.002,100.2155,2.0669,0.5893
0,9,0.002,95.4709,1.9174,0.6101
0,10,0.002,90.2413,1.8449,0.6314
0,11,0.002,85.9408,1.7758,0.6501
0,12,0.002,82.3649,1.6891,0.6631
0,13,0.002,77.9963,1.6390,0.6823
0,14,0.002,74.8604,1.6063,0.6965
0,15,0.002,72.6743,1.5191,0.7029
0,16,0.002,70.0496,1.4382,0.7136
0,17,0.002,67.6095,1.4195,0.7214
0,18,0.002,65.7839,1.3980,0.7291
0,19,0.002,63.8057,1.3475,0.7362
0,20,0.002,62.5431,1.3225,0.7417
0,21,0.002,60.4033,1.3040,0.7495
0,22,0.002,58.9950,1.2741,0.7555
0,23,0.002,57.6825,1.2789,0.7611
0,24,0.002,56.8997,1.1900,0.7640
0,25,0.002,55.9357,1.2300,0.7671
0,26,0.002,54.4845,1.1564,0.7720
0,27,0.002,53.3343,1.1669,0.7783
0,28,0.002,52.6517,1.1428,0.7809
0,29,0.002,51.1183,1.1213,0.7858
0,30,0.002,51.6601,1.1190,0.7837
0,31,0.002,50.7529,1.1199,0.7868
0,32,0.002,49.8815,1.1189,0.7909
0,33,0.002,49.1788,1.0920,0.7943
0,34,0.002,48.5236,1.0696,0.7963
0,35,0.002,47.8460,1.0619,0.7984
0,36,0.002,46.8541,1.0724,0.8027
0,37,0.002,47.0635,1.0357,0.8015
0,38,0.002,46.8784,1.0811,0.8031
0,39,0.002,45.9343,1.0304,0.8053
0,40,0.002,44.9611,1.0304,0.8106
0,41,0.002,44.6307,1.0146,0.8124
0,42,0.002,44.6521,1.0244,0.8112
0,43,0.002,44.6372,1.0176,0.8118
0,44,0.002,43.4897,1.0408,0.8163
0,45,0.002,42.9169,0.9980,0.8182
0,46,0.002,42.9215,0.9788,0.8170
0,47,0.002,42.4432,1.0216,0.8197
0,48,0.002,41.8671,0.9719,0.8221
0,49,0.002,42.3681,1.0042,0.8207
0,50,0.002,41.5007,0.9915,0.8230
0,51,0.002,40.9381,0.9716,0.8259
0,52,0.002,40.7566,0.9745,0.8271
0,53,0.002,40.6868,0.9560,0.8278
0,54,0.002,39.8591,0.9478,0.8299
0,55,0.002,39.8899,0.9296,0.8306
0,56,0.002,39.7602,0.9407,0.8307
