eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.25622866,0.0063558845,0.0011146647,0.0,0.0
0.0,0.0,0.74864,0.016454142,0.0024483418,0.0,0.0
0.0,0.0,1.4494362,0.012631554,0.0057477076,0.0,0.0
0.0,0.0,1.565423,0.025655013,0.0062664635,0.0,0.0
0.0,0.0,2.2125876,0.02763265,0.006388454,0.0,0.0
0.0,0.0,4.0511465,0.022577228,0.012065858,0.0,0.0
0.0,0.0,3.1543717,0.03436769,0.009595177,0.0,0.0
0.0,0.0,3.1895692,0.028571047,0.008639578,0.0,0.0
0.0,0.0,3.993922,0.011218921,0.009843077,0.0,0.0
0.0,0.0,2.344824,0.028617656,0.0066049155,0.0,0.0
0.0,0.0,0.5719555,0.009299508,0.0021341026,0.0026052836,0.0026052836
0.0,0.0,0.2557671,0.0088306125,0.0014623923,0.0,0.0
0.0,0.0,0.6219325,0.008361812,0.0027123536,0.0,0.0
0.0,0.0,1.0970987,0.016159493,0.0044152965,0.0,0.0
0.0,0.0,1.0644532,0.00786777,0.004137034,0.0,0.0
0.0,0.0,0.7717077,0.009495463,0.0027444318,0.0,0.0
0.0,0.0,1.2459247,0.013221095,0.0050331284,0.0,0.0
0.0,0.0,1.1624256,0.016053416,0.0049377186,0.0,0.0
0.0,0.0,1.7550522,0.010301333,0.008341148,0.0,0.0
0.0,0.0,1.5251005,0.027719803,0.006515741,0.0,0.0
0.0,0.0,1.4962568,0.010110577,0.0060692765,0.0059484113,0.0059484113
0.0,0.0,2.0689464,0.008284577,0.0079246,0.0070661055,0.0070661055
0.0,0.0,0.18177861,0.0032687627,0.00083666085,0.0,0.0
0.0,0.0,0.8144768,0.010783264,0.0026469075,0.0,0.0
0.0,0.0,0.6352138,0.011632428,0.0028222175,0.0,0.0
0.0,0.0,0.9714054,0.0049540424,0.003768873,0.0,0.0
0.0,0.0,1.249149,0.010868989,0.00527565,0.0,0.0
0.0,0.0,1.085035,0.010801599,0.0039861426,0.0,0.0
0.0,0.0,2.5252373,0.008502112,0.0107025765,0.0,0.0
0.0,0.0,3.3706083,0.019266564,0.014332214,0.0,0.0
0.0,0.0,1.6491637,0.023121307,0.006846126,0.0073138126,0.0073138126
0.0,0.0,2.301529,0.022107773,0.00939681,0.009267113,0.009267113
0.0,0.0,1.7427046,0.02147572,0.008218268,0.008215221,0.008215221
0.0,0.0,0.3404086,0.02627814,0.001377488,0.0,0.0
0.0,0.0,1.204132,0.021201417,0.004692935,0.0,0.0
0.0,0.0,1.307275,0.023790946,0.0050655063,0.0,0.0
0.0,0.0,1.6077456,0.042479668,0.005803865,0.0,0.0
0.0,0.0,1.6831402,0.026082778,0.0054751597,0.0,0.0
0.0,0.0,2.2315953,0.010524027,0.007326818,0.0,0.0
0.0,0.0,3.6070268,0.038022622,0.0147963455,0.0,0.0
0.0,0.0,1.6599952,0.016383672,0.0066568456,0.007093614,0.007093614
0.0,0.0,1.6278268,0.022098506,0.0066430406,0.007363888,0.007363888
0.0,0.0,0.9959603,0.011796816,0.0044476767,0.004559999,0.004559999
0.0,0.0,0.69141644,0.017155375,0.0029562428,0.0037190176,0.0037190176
0.0,0.0,0.37814066,0.015532508,0.0014317711,0.0,0.0
0.0,0.0,1.1084752,0.020584784,0.005404375,0.0,0.0
0.0,0.0,0.8248576,0.03508006,0.003050801,0.0,0.0
0.0,0.0,1.2659281,0.016521905,0.0047132056,0.0,0.0
0.0,0.0,1.9839964,0.012370776,0.01018834,0.0,0.0
0.0,0.0,2.664306,0.026209677,0.013266251,0.0,0.0
0.0,0.0,3.7318852,0.024476517,0.01451632,0.014403884,0.014403884
0.0,0.0,4.253661,0.02094951,0.013503495,0.0139032155,0.0139032155
0.0,0.0,2.4682016,0.01503104,0.009766016,0.009898231,0.009898231
0.0,0.0,3.0378513,0.021387575,0.011749152,0.012132286,0.012132286
0.0,0.0,2.9621224,0.016935537,0.012816393,0.0133280195,0.0133280195
0.0,0.0,0.40181848,0.019758396,0.0018230749,0.0,0.0
0.0,0.0,1.2533433,0.026463995,0.004894057,0.0,0.0
0.0,0.0,2.1472251,0.02279224,0.0067296727,0.0,0.0
0.0,0.0,1.7332175,0.014266833,0.0058758,0.0,0.0
0.0,0.0,1.4724625,0.020412566,0.004495123,0.0,0.0
0.0,0.0,2.9898162,0.016343731,0.012213511,0.011728359,0.011728359
0.0,0.0,1.9859456,0.010768816,0.0067502707,0.0069669657,0.0069669657
0.0,0.0,1.4833167,0.010489447,0.006962205,0.006573134,0.006573134
0.0,0.0,1.5526072,0.022267468,0.0071259523,0.007186348,0.007186348
0.0,0.0,1.899118,0.016316887,0.007872964,0.008404528,0.008404528
