eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,34.88581,0.7176,0.848775,0.0,0.0
1.0,0.0,62.826553,1.0963625,0.7484375,0.0,0.0
2.0,0.0,54.121277,0.94685,0.7727875,0.0,0.0
3.0,0.0,53.353573,1.307975,0.7891,0.0,0.0
4.0,0.0,75.01668,1.1917624,0.7105125,0.0,0.0
5.0,0.0,71.08294,1.0420125,0.75,0.0,0.0
6.0,0.0,62.602875,1.3334501,0.7784125,0.0,0.0
7.0,0.0,82.57969,1.2908375,0.7243499,0.0,0.0
8.0,0.0,65.262436,0.9868625,0.8162375,0.0,0.0
9.0,0.0,58.40008,1.42995,0.804275,0.0,0.0
0.0,1.0,43.252262,0.7301625,0.8230375,0.025699997,-0.025699997
1.0,1.0,33.342514,0.8775375,0.8508376,0.0,0.0
2.0,1.0,40.817436,0.86573744,0.822125,0.0,0.0
3.0,1.0,42.633965,1.020675,0.82524997,0.0,0.0
4.0,1.0,55.237423,0.95411247,0.77485,0.0,0.0
5.0,1.0,57.885498,0.8965625,0.7860375,0.0,0.0
6.0,1.0,50.91073,1.1323124,0.80773747,0.0,0.0
7.0,1.0,64.81683,1.05815,0.7776,0.0,0.0
8.0,1.0,52.277332,0.8397875,0.84185004,0.0,0.0
9.0,1.0,45.69399,1.1817375,0.8358625,0.0,0.0
0.0,2.0,46.096584,0.7740625,0.81086254,0.0379,-0.0379
1.0,2.0,43.17625,1.008575,0.8195875,0.031274997,-0.031274997
2.0,2.0,27.972086,0.8120375,0.87305003,0.0,0.0
3.0,2.0,38.04721,0.95905,0.84365,0.0,0.0
4.0,2.0,50.71436,0.9932,0.787975,0.0,0.0
5.0,2.0,51.52325,0.8691125,0.807375,0.0,0.0
6.0,2.0,48.90362,1.1826376,0.8109875,0.0,0.0
7.0,2.0,63.536324,0.98547494,0.7785,0.0,0.0
8.0,2.0,53.32213,0.756875,0.8158625,0.0,0.0
9.0,2.0,51.197712,1.0500625,0.8068875,0.0,0.0
0.0,3.0,47.967674,0.8835375,0.8004,0.04835,-0.04835
1.0,3.0,51.115463,1.1775625,0.7863875,0.064449996,-0.064449996
2.0,3.0,35.678013,0.9189,0.8399624,0.033075,-0.033075
3.0,3.0,21.583885,0.90133756,0.9092876,0.0,0.0
4.0,3.0,43.45279,0.9398875,0.81938756,0.0,0.0
5.0,3.0,51.957222,0.8730499,0.798275,0.0,0.0
6.0,3.0,42.2047,1.17845,0.8346375,0.0,0.0
7.0,3.0,54.717026,0.9589625,0.80945003,0.0,0.0
8.0,3.0,49.628635,0.744875,0.8274625,0.0,0.0
9.0,3.0,45.627502,1.027275,0.8219375,0.0,0.0
0.0,4.0,51.360424,1.0275,0.78777504,0.060987502,-0.060987502
1.0,4.0,58.00405,1.2381124,0.7591375,0.091675,-0.091675
2.0,4.0,40.345024,1.035,0.81416243,0.0588875,-0.0588875
3.0,4.0,27.758825,1.0380623,0.884975,0.024287501,-0.024287501
4.0,4.0,27.659761,0.9400126,0.8836375,0.0,0.0
5.0,4.0,47.80488,0.90032506,0.80885005,0.0,0.0
6.0,4.0,39.476063,1.2534875,0.8460125,0.0,0.0
7.0,4.0,55.39125,0.9987625,0.8033125,0.0,0.0
8.0,4.0,47.030014,0.77329993,0.8398251,0.0,0.0
9.0,4.0,47.424576,0.97940004,0.8175626,0.0,0.0
0.0,5.0,59.2404,1.134925,0.7344875,0.11425,-0.11425
1.0,5.0,60.841473,1.31795,0.73721254,0.113625,-0.113625
2.0,5.0,41.78006,1.0574125,0.805325,0.0677,-0.0677
3.0,5.0,30.951347,1.0966876,0.8699375,0.03935,-0.03935
4.0,5.0,37.777775,1.0144625,0.84238756,0.0412375,-0.0412375
5.0,5.0,30.854387,0.8231875,0.8731375,0.0,0.0
6.0,5.0,36.43399,1.223825,0.8554125,0.0,0.0
7.0,5.0,47.336273,1.0434375,0.83887494,0.0,0.0
8.0,5.0,37.932587,0.7531875,0.878,0.0,0.0
9.0,5.0,28.197676,1.0155625,0.892075,0.0,0.0
0.0,6.0,58.717377,1.0322499,0.75768757,0.0910625,-0.0910625
1.0,6.0,59.713326,1.2777499,0.757625,0.0932125,-0.0932125
2.0,6.0,41.456287,1.0136125,0.81615,0.056875,-0.056875
3.0,6.0,34.3567,1.0405124,0.85575,0.053525,-0.053525
4.0,6.0,41.342915,0.9908875,0.8300749,0.05355,-0.05355
5.0,6.0,40.026035,0.84072506,0.8439124,0.029225001,-0.029225001
6.0,6.0,27.853825,1.0760001,0.8892,0.0,0.0
7.0,6.0,48.237442,0.9319,0.83632505,0.0,0.0
8.0,6.0,38.90669,0.73472506,0.8815249,0.0,0.0
9.0,6.0,27.443176,1.0326499,0.89832497,0.0,0.0
0.0,7.0,61.313038,1.0752625,0.75153756,0.09725,-0.09725
1.0,7.0,60.99674,1.3566251,0.75052494,0.10034999,-0.10034999
2.0,7.0,45.36289,1.1203749,0.80207497,0.0709625,-0.0709625
3.0,7.0,34.167374,1.1315875,0.86003745,0.04925,-0.04925
4.0,7.0,43.217804,1.0765375,0.8262625,0.057375,-0.057375
5.0,7.0,44.75716,0.9326625,0.82412493,0.049012505,-0.049012505
6.0,7.0,35.0095,1.2661,0.86105007,0.02815,-0.02815
7.0,7.0,33.62869,0.9035375,0.8789251,0.0,0.0
8.0,7.0,36.85309,0.75339997,0.881175,0.0,0.0
9.0,7.0,25.64505,0.9387125,0.90945,0.0,0.0
0.0,8.0,63.796154,1.1673626,0.73888755,0.10987501,-0.10987501
1.0,8.0,63.57674,1.4554499,0.7459875,0.1048375,-0.1048375
2.0,8.0,42.947926,1.1038,0.81245,0.060599998,-0.060599998
3.0,8.0,33.755352,1.0296875,0.86115,0.04815,-0.04815
4.0,8.0,45.138874,1.0611,0.81936246,0.064275004,-0.064275004
5.0,8.0,42.145588,0.84738755,0.8358374,0.037287496,-0.037287496
6.0,8.0,35.051086,1.1127625,0.86352503,0.025700001,-0.025700001
7.0,8.0,41.006687,0.88694996,0.85465,0.0243,-0.0243
8.0,8.0,26.977139,0.6144874,0.91413754,0.0,0.0
9.0,8.0,24.887325,0.95801246,0.9091625,0.0,0.0
0.0,9.0,68.20376,1.2062125,0.72448754,0.124249995,-0.124249995
1.0,9.0,70.5831,1.5989876,0.72278744,0.128075,-0.128075
2.0,9.0,46.868385,1.1842124,0.7981125,0.07493751,-0.07493751
3.0,9.0,35.450615,1.1842375,0.859175,0.050112505,-0.050112505
4.0,9.0,47.61804,1.1075749,0.81035006,0.0732875,-0.0732875
5.0,9.0,46.278225,0.9702625,0.8224375,0.050699994,-0.050699994
6.0,9.0,39.22484,1.3170626,0.850425,0.0387875,-0.0387875
7.0,9.0,47.20744,1.0031376,0.8351625,0.043762505,-0.043762505
8.0,9.0,35.673973,0.74378747,0.88795,0.026187498,-0.026187498
9.0,9.0,19.869238,0.86301243,0.92635,0.0,0.0
