training_exp,epoch,lr,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,336.2824,1.1211,-0.3130
0,1,0.002,261.0721,2.2802,-0.0194
0,2,0.002,210.1055,3.9418,0.0939
0,3,0.002,191.3246,4.0475,0.1869
0,4,0.002,176.1143,3.4888,0.2367
0,5,0.002,164.1681,3.5860,0.2890
0,6,0.002,156.5075,3.7665,0.3229
0,7,0.002,150.1047,3.5200,0.3528
0,8,0.002,144.9955,3.3614,0.3818
0,9,0.002,140.5155,3.2988,0.4067
0,10,0.002,137.9874,3.0878,0.4243
0,11,0.002,134.6410,2.9984,0.4404
0,12,0.002,132.1359,2.8895,0.4532
0,13,0.002,128.4234,2.7172,0.4670
0,14,0.002,126.0777,2.6971,0.4766
0,15,0.002,122.7355,2.4938,0.4926
0,16,0.002,120.5849,2.3943,0.5016
0,17,0.002,118.9252,2.3328,0.5053
0,18,0.002,115.0152,2.2701,0.5259
0,19,0.002,113.6195,2.1261,0.5296
0,20,0.002,112.1865,2.0491,0.5355
0,21,0.002,109.1418,1.9978,0.5476
0,22,0.002,107.1581,1.8780,0.5558
0,23,0.002,104.9460,1.8608,0.5654
0,24,0.002,102.2505,1.8283,0.5779
0,25,0.002,101.1230,1.7610,0.5817
0,26,0.002,99.1970,1.7322,0.5908
0,27,0.002,96.8242,1.7007,0.5998
0,28,0.002,96.0013,1.6738,0.6031
0,29,0.002,94.4432,1.6621,0.6098
0,30,0.002,93.2710,1.5943,0.6185
0,31,0.002,91.2645,1.6376,0.6244
0,32,0.002,90.4113,1.5613,0.6262
0,33,0.002,87.7260,1.5583,0.6401
0,34,0.002,87.8736,1.5581,0.6395
0,35,0.002,86.3250,1.5043,0.6436
0,36,0.002,85.3155,1.5482,0.6475
0,37,0.002,84.1216,1.5439,0.6540
0,38,0.002,83.4363,1.4954,0.6574
0,39,0.002,81.8528,1.5507,0.6649
0,40,0.002,80.5770,1.4816,0.6687
0,41,0.002,79.4294,1.4900,0.6737
0,42,0.002,78.7364,1.5043,0.6760
0,43,0.002,78.0158,1.4700,0.6787
0,44,0.002,76.2517,1.4402,0.6869
0,45,0.002,76.3193,1.4285,0.6863
0,46,0.002,74.7209,1.4237,0.6920
0,47,0.002,75.3036,1.4632,0.6875
0,48,0.002,74.9696,1.4305,0.6902
0,49,0.002,73.4315,1.4133,0.6947
0,50,0.002,73.2229,1.3828,0.6978
0,51,0.002,71.0147,1.3425,0.7087
0,52,0.002,70.5681,1.3880,0.7079
0,53,0.002,71.2504,1.3843,0.7037
0,54,0.002,69.8433,1.3474,0.7094
0,55,0.002,69.2917,1.3158,0.7131
0,56,0.002,68.6152,1.3841,0.7178
0,57,0.002,68.8491,1.3422,0.7157
0,58,0.002,68.0665,1.3501,0.7177
0,59,0.002,68.0672,1.3433,0.7163
0,60,0.002,66.6396,1.3116,0.7226
0,61,0.002,66.5265,1.3019,0.7254
0,62,0.002,65.3703,1.2939,0.7280
0,63,0.002,65.7576,1.3062,0.7252
0,64,0.002,66.2216,1.3220,0.7235
0,65,0.002,65.2273,1.2861,0.7272
0,66,0.002,64.6567,1.3171,0.7301
0,67,0.002,64.0651,1.3505,0.7325
0,68,0.002,65.3904,1.2865,0.7238
0,69,0.002,63.4513,1.3091,0.7350
0,70,0.002,63.5980,1.3254,0.7360
0,71,0.002,61.9614,1.2382,0.7397
0,72,0.002,62.6575,1.2736,0.7367
0,73,0.002,61.5231,1.2755,0.7420
0,74,0.002,62.5543,1.2716,0.7373
0,75,0.002,61.5081,1.2666,0.7441
0,76,0.002,60.9760,1.2998,0.7427
0,77,0.002,61.6981,1.2560,0.7396
0,78,0.002,60.2843,1.2544,0.7456
0,79,0.002,59.6975,1.2451,0.7483
0,80,0.002,59.7818,1.2748,0.7486
0,81,0.002,60.4702,1.2443,0.7432
0,82,0.002,60.6117,1.2299,0.7438
0,83,0.002,59.1235,1.2192,0.7502
0,84,0.002,58.8549,1.2852,0.7511
0,85,0.002,58.1600,1.2048,0.7543
0,86,0.002,58.6704,1.2001,0.7507
0,87,0.002,58.7627,1.2217,0.7524
0,88,0.002,58.7912,1.2636,0.7524
0,89,0.002,58.6632,1.2315,0.7516
0,90,0.002,58.7804,1.2114,0.7514
0,91,0.002,58.0216,1.2296,0.7553
0,92,0.002,57.8684,1.2120,0.7545
0,93,0.002,57.5779,1.1842,0.7549
0,94,0.002,57.6041,1.1965,0.7560
0,95,0.002,57.2903,1.2325,0.7566
0,96,0.002,56.5850,1.2675,0.7609
0,97,0.002,57.5064,1.2056,0.7567
0,98,0.002,56.3910,1.2009,0.7603
0,99,0.002,55.7145,1.1975,0.7641
0,100,0.002,55.5410,1.2209,0.7639
0,101,0.002,55.7920,1.2198,0.7627
0,102,0.002,55.6252,1.1881,0.7649
0,103,0.002,54.9902,1.2142,0.7661
0,104,0.002,54.8357,1.1820,0.7680
0,105,0.002,55.3352,1.1963,0.7647
0,106,0.002,54.5156,1.1728,0.7677
0,107,0.002,54.9965,1.1836,0.7667
0,108,0.002,54.6045,1.1965,0.7671
0,109,0.002,54.8236,1.1534,0.7691
0,110,0.002,54.2856,1.1591,0.7676
0,111,0.002,53.9557,1.1697,0.7701
0,112,0.002,54.8014,1.1702,0.7677
0,113,0.002,53.6708,1.1665,0.7694
0,114,0.002,54.1078,1.1581,0.7688
0,115,0.002,53.4216,1.1663,0.7733
0,116,0.002,52.9009,1.1427,0.7758
0,117,0.002,53.2484,1.1529,0.7724
0,118,0.002,52.9099,1.1626,0.7748
0,119,0.002,52.6115,1.1524,0.7774
0,120,0.002,53.5701,1.1614,0.7722
0,121,0.002,52.5575,1.1535,0.7757
0,122,0.002,52.9740,1.1791,0.7747
0,123,0.002,52.1753,1.1387,0.7748
0,124,0.002,52.3073,1.1440,0.7769
0,125,0.002,51.9896,1.1467,0.7782
0,126,0.002,50.9606,1.1543,0.7835
0,127,0.002,51.5286,1.1592,0.7808
0,128,0.002,51.6017,1.1669,0.7797
0,129,0.002,51.6180,1.1285,0.7799
0,130,0.002,51.9008,1.1340,0.7791
0,131,0.002,51.7518,1.1342,0.7802
0,132,0.002,51.2855,1.1634,0.7802
0,133,0.002,50.4829,1.1496,0.7854
0,134,0.002,50.9574,1.1442,0.7833
