training_exp,epoch,Loss_Epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,326.3290,0.0,4.3289,0.1849
0,1,220.9166,0.0,2.0320,0.2657
0,2,169.3556,0.0,1.5603,0.5825
0,3,145.2632,0.0,1.4301,0.6782
0,4,132.3115,0.0,1.4302,0.6559
0,5,120.5614,0.0,1.4759,0.5906
0,6,107.7557,0.0,1.4292,0.1642
0,7,101.7780,0.0,1.2594,0.6620
0,8,97.5415,0.0,1.3152,0.7786
0,9,107.9432,0.0,1.3516,0.7536
0,10,102.0710,0.0,1.1733,0.7849
0,11,93.3313,0.0,1.3462,0.8057
0,12,85.2520,0.0,1.2259,0.8108
0,13,96.9748,0.0,1.0812,0.3998
0,14,86.8339,0.0,1.3855,0.8176
0,15,84.4516,0.0,1.1295,0.7557
0,16,86.8635,0.0,1.1324,0.6031
0,17,90.3902,0.0,1.2004,0.8011
0,18,109.7323,0.0,1.1430,0.7748
0,19,90.0647,0.0,1.2878,0.8144
0,20,79.8908,0.0,1.1954,0.8356
0,21,75.7266,0.0,1.1921,0.8435
0,22,82.6054,0.0,1.0795,0.7706
0,23,123.0784,0.0,1.4127,0.5075
0,24,102.5314,0.0,1.1598,0.7649
0,25,89.7979,0.0,1.1747,0.8031
0,26,93.2301,0.0,1.3617,0.7055
0,27,86.0650,0.0,1.3721,0.7689
0,28,79.8633,0.0,1.1534,0.7544
0,29,82.0903,0.0,1.3188,0.8257
0,30,84.2633,0.0,1.0911,0.8205
0,31,80.0816,0.0,1.1897,0.7938
0,32,88.7016,0.0,1.3430,0.8113
0,33,82.2528,0.0,1.1379,0.8274
0,34,80.9526,0.0,1.0925,0.8283
0,35,78.5642,0.0,1.5562,0.8228
0,36,73.8504,0.0,1.6488,0.8190
0,37,93.8802,0.0,1.0926,0.8013
0,38,80.9324,0.0,1.1421,0.7489
0,39,75.0260,0.0,1.2793,0.8301
0,40,83.8714,0.0,1.1061,0.8160
0,41,73.4813,0.0,1.2551,0.8434
0,42,77.9581,0.0,1.1806,0.8307
0,43,70.1060,0.0,0.9930,0.7844
0,44,74.3138,0.0,1.3668,0.8123
0,45,73.9943,0.0,1.0841,0.8460
0,46,71.3480,0.0,1.1642,0.8490
0,47,86.5459,0.0,1.2353,0.8197
0,48,86.2006,0.0,0.9500,0.8097
0,49,104.3132,0.0,1.2740,0.7631
0,50,90.3693,0.0,1.0977,0.7946
