eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,49.025604,0.90762496,0.87285,0.0,0.0
1.0,0.0,112.95743,1.265725,0.65555,0.0,0.0
2.0,0.0,127.45546,0.8381625,0.5976125,0.0,0.0
3.0,0.0,148.9575,0.840575,0.518425,0.0,0.0
4.0,0.0,130.47496,0.82067496,0.4983375,0.0,0.0
5.0,0.0,120.65878,0.96645004,0.56415,0.0,0.0
6.0,0.0,117.11419,0.8365,0.6484875,0.0,0.0
7.0,0.0,140.65646,0.76336247,0.61918753,0.0,0.0
8.0,0.0,152.8873,1.1857126,0.4815125,0.0,0.0
9.0,0.0,220.04288,1.4213626,0.38023752,0.0,0.0
0.0,1.0,51.520508,0.80348754,0.86603755,0.0068,-0.0068
1.0,1.0,37.8975,1.041275,0.88436246,0.0,0.0
2.0,1.0,97.488045,0.74324995,0.692325,0.0,0.0
3.0,1.0,104.03869,0.78045005,0.6636125,0.0,0.0
4.0,1.0,87.13628,0.767925,0.66645,0.0,0.0
5.0,1.0,86.61621,0.93035,0.68735003,0.0,0.0
6.0,1.0,76.31468,0.8011125,0.781425,0.0,0.0
7.0,1.0,104.02679,0.76946247,0.7105625,0.0,0.0
8.0,1.0,132.2968,1.0253875,0.54325,0.0,0.0
9.0,1.0,182.22197,1.3198875,0.48655003,0.0,0.0
0.0,2.0,52.810936,0.795225,0.86326253,0.009574999,-0.009574999
1.0,2.0,38.177853,1.0085999,0.8835125,0.000825,-0.000825
2.0,2.0,60.829166,0.64402497,0.80807495,0.0,0.0
3.0,2.0,79.46926,0.7124625,0.743125,0.0,0.0
4.0,2.0,63.0942,0.70565,0.75084996,0.0,0.0
5.0,2.0,66.004196,0.84427506,0.76105,0.0,0.0
6.0,2.0,63.10579,0.7319125,0.82677495,0.0,0.0
7.0,2.0,70.839325,0.6674875,0.78200006,0.0,0.0
8.0,2.0,79.0962,0.87909997,0.730825,0.0,0.0
9.0,2.0,114.64031,1.241475,0.68068755,0.0,0.0
0.0,3.0,55.278088,0.7969375,0.8578625,0.0149875,-0.0149875
1.0,3.0,42.753887,1.0310125,0.86943746,0.0149125,-0.0149125
2.0,3.0,62.620487,0.62904996,0.8038875,0.0041875,-0.0041875
3.0,3.0,51.82621,0.648075,0.83245,0.0,0.0
4.0,3.0,50.89885,0.6416875,0.8016,0.0,0.0
5.0,3.0,55.685387,0.8036,0.79826254,0.0,0.0
6.0,3.0,57.3437,0.6903875,0.7994375,0.0,0.0
7.0,3.0,65.03135,0.6277125,0.8080625,0.0,0.0
8.0,3.0,65.04752,0.75291246,0.7770875,0.0,0.0
9.0,3.0,91.08832,1.1708875,0.746875,0.0,0.0
0.0,4.0,59.9831,0.78112507,0.84545004,0.0274,-0.0274
1.0,4.0,41.834324,0.9760374,0.87225,0.0121125,-0.0121125
2.0,4.0,63.61146,0.61021245,0.8016125,0.0064375005,-0.0064375005
3.0,4.0,54.15146,0.60342497,0.824925,0.0075125,-0.0075125
