eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,2.8254569,0.03698559,0.007536745,0.0,0.0
0.0,0.0,4.121912,0.08941603,0.012579954,0.0,0.0
0.0,0.0,3.5589926,0.036463473,0.011335603,0.0,0.0
0.0,0.0,5.6703014,0.037635945,0.018326186,0.0,0.0
0.0,0.0,3.4604301,0.023586378,0.013602381,0.0,0.0
0.0,0.0,4.160994,0.04686334,0.014908056,0.0,0.0
0.0,0.0,3.8900378,0.033559695,0.017172106,0.0,0.0
0.0,0.0,4.2943587,0.035720255,0.016318353,0.0,0.0
0.0,0.0,6.9648385,0.13445249,0.023329187,0.0,0.0
0.0,0.0,14.314718,0.053767405,0.040746897,0.0,0.0
0.0,0.0,2.558399,0.04098316,0.0066678347,0.009755511,0.009755511
0.0,0.0,1.5499752,0.07863405,0.0047275564,0.0,0.0
0.0,0.0,5.7531376,0.026183918,0.018314395,0.0,0.0
0.0,0.0,5.3675184,0.027392654,0.017357746,0.0,0.0
0.0,0.0,3.9287505,0.028762903,0.016699705,0.0,0.0
0.0,0.0,3.3540583,0.037900392,0.011959933,0.0,0.0
0.0,0.0,2.9331515,0.030170733,0.015575594,0.0,0.0
0.0,0.0,6.4882994,0.03991967,0.017313428,0.0,0.0
0.0,0.0,11.437584,0.11853699,0.03897419,0.0,0.0
0.0,0.0,19.64706,0.07880593,0.056367498,0.0,0.0
0.0,0.0,2.5844684,0.05021119,0.006479965,0.009882403,0.009882403
0.0,0.0,1.9158552,0.08665053,0.0058773924,0.0076815933,0.0076815933
0.0,0.0,1.104263,0.023202248,0.0035790144,0.0,0.0
0.0,0.0,2.3934636,0.02551665,0.007738495,0.0,0.0
0.0,0.0,2.3599703,0.02054519,0.009568954,0.0,0.0
0.0,0.0,1.3769642,0.05356374,0.004860823,0.0,0.0
0.0,0.0,1.6710852,0.033131316,0.006138152,0.0,0.0
0.0,0.0,2.9394379,0.025666248,0.01094395,0.0,0.0
0.0,0.0,3.6060128,0.07325469,0.010752186,0.0,0.0
0.0,0.0,8.525745,0.06516313,0.023795446,0.0,0.0
0.0,0.0,2.764955,0.03000991,0.006402732,0.0089652715,0.0089652715
0.0,0.0,4.153661,0.073429726,0.012725563,0.015206285,0.015206285
0.0,0.0,1.7645442,0.024937024,0.0055370247,0.003430174,0.003430174
0.0,0.0,1.9770231,0.022679875,0.0063822144,0.0,0.0
0.0,0.0,1.4571471,0.01725829,0.0057399925,0.0,0.0
0.0,0.0,1.9558194,0.061613567,0.0070991097,0.0,0.0
0.0,0.0,1.4034833,0.02957078,0.038065832,0.0,0.0
0.0,0.0,2.1310103,0.030804966,0.0080166785,0.0,0.0
0.0,0.0,4.0600295,0.049980465,0.016297277,0.0,0.0
0.0,0.0,4.115239,0.054256786,0.01119317,0.0,0.0
0.0,0.0,4.183294,0.060186435,0.010825197,0.0075171473,0.0075171473
0.0,0.0,4.539285,0.099315286,0.013859642,0.015796158,0.015796158
0.0,0.0,1.7456492,0.019385207,0.0058579976,0.0064907507,0.0064907507
0.0,0.0,2.1353347,0.0352786,0.0069124387,0.0063098012,0.0063098012
0.0,0.0,1.0114583,0.017007498,0.0048447866,0.0,0.0
0.0,0.0,1.8153328,0.06718789,0.00654817,0.0,0.0
0.0,0.0,1.9176098,0.04275135,0.023292573,0.0,0.0
0.0,0.0,3.638039,0.030081093,0.009560458,0.0,0.0
0.0,0.0,3.8251584,0.036090072,0.012192466,0.0,0.0
0.0,0.0,5.2624655,0.049069725,0.014889243,0.0,0.0
0.0,0.0,3.4951792,0.05599796,0.008910809,0.0073131304,0.0073131304
0.0,0.0,4.090631,0.064010195,0.01246288,0.014001941,0.014001941
0.0,0.0,2.1863518,0.03086211,0.0071634483,0.00853404,0.00853404
0.0,0.0,2.506457,0.02470908,0.008089494,0.0072,0.0072
0.0,0.0,1.5693341,0.018756498,0.005363074,0.005475499,0.005475499
0.0,0.0,1.1890714,0.053535055,0.0042563966,0.0,0.0
0.0,0.0,0.987825,0.03990858,0.030880513,0.0,0.0
0.0,0.0,2.5996273,0.029746419,0.0067308797,0.0,0.0
0.0,0.0,3.4946854,0.047973428,0.010831783,0.0,0.0
0.0,0.0,6.3381405,0.04792441,0.017423337,0.0,0.0
0.0,0.0,4.760824,0.044456784,0.012694827,0.007916271,0.007916271
0.0,0.0,3.2937784,0.07685573,0.010000615,0.011222348,0.011222348
0.0,0.0,1.6108953,0.023789255,0.0053232866,0.006648825,0.006648825
0.0,0.0,2.3223288,0.026735658,0.007489651,0.0046786084,0.0046786084
0.0,0.0,0.8770393,0.012643877,0.0036437523,0.004066921,0.004066921
0.0,0.0,2.0387754,0.045714032,0.007115835,0.005543465,0.005543465
0.0,0.0,1.2160178,0.03175964,0.016757142,0.0,0.0
0.0,0.0,2.7409627,0.01549838,0.010262317,0.0,0.0
0.0,0.0,3.4634795,0.054308314,0.013635351,0.0,0.0
0.0,0.0,6.7930884,0.042161353,0.018960861,0.0,0.0
0.0,0.0,5.0379586,0.031230478,0.013017375,0.0102031855,0.0102031855
0.0,0.0,3.2304568,0.05665653,0.00985323,0.011531905,0.011531905
0.0,0.0,1.6214414,0.029992953,0.005058275,0.0071501313,0.0071501313
0.0,0.0,2.4295826,0.034174025,0.007843629,0.0043291887,0.0043291887
0.0,0.0,1.5002961,0.019188074,0.0063832705,0.0039411294,0.0039411294
0.0,0.0,1.4268305,0.05664003,0.005134921,0.0029702694,0.0029702694
0.0,0.0,2.785774,0.022104349,0.029834965,0.017667608,0.017667608
0.0,0.0,2.7191584,0.02703879,0.0050775055,0.0,0.0
0.0,0.0,3.7243218,0.07156377,0.012540933,0.0,0.0
0.0,0.0,4.859308,0.04702139,0.013355795,0.0,0.0
0.0,0.0,5.1799145,0.05015467,0.013173456,0.010443112,0.010443112
0.0,0.0,2.9663432,0.10315033,0.009049298,0.011573138,0.011573138
0.0,0.0,1.7891409,0.019306464,0.0053469436,0.0072981054,0.0072981054
0.0,0.0,3.327701,0.023106478,0.010765096,0.0073346673,0.0073346673
0.0,0.0,0.6654775,0.017517805,0.002905153,0.0035495597,0.0035495597
0.0,0.0,0.86092776,0.06338021,0.003040449,0.0039331918,0.0039331918
0.0,0.0,2.1281826,0.037485015,0.023507869,0.012777367,0.012777367
0.0,0.0,2.381737,0.01456563,0.012444774,0.012676725,0.012676725
0.0,0.0,1.0874805,0.020502962,0.006746112,0.0,0.0
0.0,0.0,2.8782654,0.045868706,0.00785859,0.0,0.0
0.0,0.0,2.6620817,0.07076851,0.0075004534,0.0065478887,0.0065478887
0.0,0.0,3.5916455,0.07996053,0.01095605,0.013137583,0.013137583
0.0,0.0,1.9544208,0.02032006,0.0060526356,0.008211691,0.008211691
0.0,0.0,3.272976,0.024426876,0.010585605,0.009494793,0.009494793
0.0,0.0,1.5065001,0.020199688,0.005963733,0.0049738693,0.0049738693
0.0,0.0,0.7065846,0.057642486,0.0023199844,0.003952669,0.003952669
0.0,0.0,0.8047592,0.046595067,0.042224433,0.030902363,0.030902363
0.0,0.0,1.3608557,0.027040374,0.006928521,0.008009837,0.008009837
0.0,0.0,2.472548,0.029471658,0.0098622795,0.00829984,0.00829984
0.0,0.0,0.89496464,0.03431668,0.0022569036,0.0,0.0
