training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,322.0678,4.1078,-1.0037
0,1,200.2634,2.1055,0.5674
0,2,163.5088,1.5721,0.4282
0,3,145.6398,1.4941,0.3893
0,4,121.3207,1.2691,0.6383
0,5,114.0412,1.5990,0.7432
0,6,108.9942,1.3901,0.6921
0,7,108.5648,1.4753,0.7038
0,8,103.1792,1.4656,0.7596
0,9,104.5601,1.2220,0.7769
0,10,115.6993,1.2633,0.7215
0,11,107.7711,1.4664,0.7113
0,12,99.5392,1.3090,0.7480
0,13,97.1793,1.1763,0.7988
0,14,96.2206,1.2182,0.7540
0,15,84.8747,1.0878,0.8247
0,16,80.3686,1.2450,0.8312
0,17,75.2658,1.0905,0.8350
0,18,78.1190,1.1824,0.7528
0,19,75.7543,1.1335,0.8317
0,20,121.8343,1.4419,0.6768
0,21,98.5644,1.0972,0.7537
0,22,101.4348,1.5414,0.7835
0,23,98.4138,0.8882,0.7861
0,24,83.8559,1.3067,0.8086
0,25,83.6903,1.5851,0.7210
0,26,85.0188,0.9420,0.8189
0,27,73.9137,1.4123,0.7976
0,28,74.2761,1.2294,0.7287
0,29,70.2595,1.3253,0.7917
0,30,73.3618,1.1262,0.7998
0,31,73.8566,1.1603,0.5273
0,32,91.6132,1.3089,0.8076
0,33,91.1562,0.8605,0.7908
0,34,82.0945,1.5333,0.8228
0,35,76.1157,1.0327,0.8345
0,36,76.3119,1.2817,0.6978
0,37,75.6458,1.0333,0.7960
0,38,75.2101,1.3038,0.7411
0,39,75.9152,1.1596,0.7210
0,40,78.5417,1.0769,0.8174
0,41,73.8258,1.0472,0.8359
0,42,73.3479,1.1558,0.8070
0,43,78.4664,1.1256,0.7669
0,44,71.9451,1.0650,0.8232
0,45,68.0597,1.1529,0.7792
0,46,94.2925,1.1376,0.7136
0,47,90.0085,1.5053,0.5409
0,48,85.2733,1.2342,0.8192
0,49,78.2980,1.1452,0.7848
0,50,76.3641,1.1727,0.8408
0,51,78.4404,1.2815,0.8367
0,52,76.0321,1.2800,0.8003
0,53,75.9345,1.2150,0.8345
0,54,79.6777,1.0176,0.8112
0,55,71.6397,1.3183,0.7868
0,56,66.5661,1.0806,0.7977
0,57,67.3623,1.0569,0.8364
0,58,63.9358,1.2168,0.8103
0,59,63.3919,1.1215,0.7407
0,60,64.1538,1.0891,0.8343
0,61,67.9595,1.1001,0.8458
0,62,69.4540,1.2793,0.4312
0,63,69.4661,1.0644,0.8402
0,64,66.2601,1.0426,0.8294
0,65,68.7446,1.1300,0.8576
0,66,64.2593,1.0250,0.8540
0,67,61.2791,1.2592,0.7396
0,68,65.0400,0.9981,0.8648
0,69,63.3010,1.0064,0.8054
0,70,63.4134,1.1106,0.8620
0,71,65.9502,1.1696,0.1500
0,72,64.3692,1.2837,0.7021
0,73,63.2481,1.1668,0.8669
0,74,58.8664,1.0794,0.8608
0,75,61.8935,1.0792,0.8682
0,76,62.0334,1.2145,0.8672
0,77,63.9488,1.1574,-0.6939
0,78,58.1576,1.0774,0.8743
0,79,61.9182,1.1050,0.8666
0,80,62.1469,1.2459,0.8283
0,81,61.5760,1.0990,0.8260
0,82,61.8376,1.3576,-2.0591
0,83,67.3718,1.1628,0.8102
0,84,62.3504,1.0881,0.8458
0,85,63.1622,1.1502,0.8270
0,86,63.2768,1.1439,0.8599
0,87,61.6007,1.0519,0.8641
0,88,62.9434,1.0949,0.8611
0,89,62.2221,1.0359,0.8668
0,90,66.1795,1.0896,0.8556
0,91,60.3783,1.0712,0.8706
0,92,60.9909,1.0605,0.8415
0,93,58.2253,1.1398,0.8657
0,94,59.8914,1.0598,0.8759
0,95,57.1402,1.1035,0.8826
0,96,63.6854,1.0616,0.8620
0,97,60.1652,1.0587,0.8680
0,98,60.2475,1.0521,0.8456
0,99,61.8928,1.0336,0.8589
0,100,60.5324,1.0750,0.8061
0,101,61.5673,1.1220,0.8494
0,102,61.6721,1.0854,0.8398
0,103,61.0323,1.0900,0.5895
0,104,61.5527,1.1052,0.8290
0,105,62.7807,1.0370,0.8341
0,106,60.0210,1.0253,0.8743
0,107,60.1336,1.2877,0.7870
0,108,60.2269,1.2144,0.4834
0,109,59.2067,1.1218,0.8664
0,110,58.6522,1.0936,0.8745
0,111,58.5126,1.1157,0.8687
0,112,63.0474,1.0591,0.4163
0,113,61.0352,1.2968,0.8431
0,114,62.1192,1.0785,0.8718
0,115,62.1518,1.1591,0.8598
0,116,60.5259,1.0580,0.8568
0,117,60.8548,1.1231,0.6828
0,118,60.1256,1.1222,0.8446
0,119,63.0015,1.1251,0.8593
0,120,60.3501,1.2856,0.2454
0,121,62.4623,1.1195,0.7673
0,122,58.4433,1.0709,0.8311
0,123,60.8815,1.0371,0.7507
0,124,62.4729,1.1097,0.8470
1,0,96.4213,1.7330,0.7373
1,1,84.6876,1.8112,0.7760
1,2,72.3024,1.6452,0.8096
1,3,67.4725,1.5721,0.8202
1,4,64.2664,1.5968,0.8296
1,5,63.2415,1.5166,0.8299
1,6,63.9911,1.4767,0.8289
1,7,59.9233,1.5039,0.8391
1,8,58.4990,1.4809,0.8432
1,9,59.5079,1.4898,0.8412
1,10,56.9449,1.4882,0.8477
1,11,59.1845,1.4349,0.8418
1,12,56.4308,1.3974,0.8479
1,13,56.0583,1.5082,0.8505
1,14,55.3820,1.4021,0.8529
1,15,54.2016,1.3952,0.8570
1,16,56.5726,1.4550,0.8480
1,17,54.8686,1.4213,0.8545
1,18,54.1531,1.4301,0.8560
1,19,54.4570,1.3864,0.8553
1,20,51.8332,1.4123,0.8627
