training_exp,epoch,Loss_Epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,310.1996,0.0,4.2670,-0.3107
0,1,225.0333,0.0,2.4122,0.4989
0,2,167.9408,0.0,2.1020,-11.4675
0,3,156.8777,0.0,1.3352,0.5993
0,4,141.1016,0.0,1.5124,0.6896
0,5,134.5465,0.0,1.3215,0.7075
0,6,122.6091,0.0,1.3932,0.7457
0,7,113.5919,0.0,1.6221,0.7194
0,8,112.9561,0.0,1.4133,0.7625
0,9,104.9542,0.0,1.3339,0.7649
0,10,111.3953,0.0,1.3434,0.6730
0,11,108.8981,0.0,1.4285,0.7476
0,12,92.3924,0.0,1.3681,0.7475
0,13,98.8302,0.0,1.3136,0.7551
0,14,93.0694,0.0,1.3391,0.7982
0,15,92.2353,0.0,1.4186,0.6467
0,16,94.6028,0.0,1.3127,0.7673
0,17,96.1752,0.0,1.2898,0.7956
0,18,89.8459,0.0,1.1445,0.7987
0,19,85.5748,0.0,1.1679,0.7877
0,20,101.5790,0.0,1.2398,0.7332
0,21,97.2207,0.0,1.2423,0.7768
0,22,96.7555,0.0,1.1240,0.6347
0,23,92.0340,0.0,1.1711,0.7378
0,24,81.0606,0.0,1.3329,0.8044
0,25,84.5141,0.0,1.1442,0.6707
0,26,81.0114,0.0,1.4632,0.8251
0,27,93.1016,0.0,1.1667,0.7964
0,28,99.6406,0.0,1.1077,0.7927
0,29,88.8912,0.0,1.2828,0.7919
0,30,85.0183,0.0,1.1589,0.7998
0,31,79.0263,0.0,1.1611,0.8074
0,32,86.3965,0.0,1.1708,0.8085
0,33,88.3233,0.0,1.8026,0.8101
0,34,85.3438,0.0,1.0034,0.7976
0,35,83.0994,0.0,1.3238,0.8191
0,36,78.1657,0.0,1.2335,0.8315
0,37,85.6285,0.0,1.2412,0.7962
0,38,91.0559,0.0,1.1666,0.8125
0,39,86.5747,0.0,1.1328,0.7761
0,40,78.0530,0.0,1.3885,0.8362
0,41,81.3388,0.0,1.0035,0.8061
0,42,75.8320,0.0,1.5013,0.8279
0,43,74.4714,0.0,1.1058,0.7521
0,44,72.1729,0.0,1.1438,0.8323
0,45,73.8920,0.0,1.2589,0.6474
0,46,70.4804,0.0,1.1807,0.8332
0,47,70.1965,0.0,1.1970,0.8559
0,48,65.7512,0.0,1.0074,0.7694
0,49,68.6435,0.0,1.1943,0.8517
0,50,74.1391,0.0,1.1737,0.7758
0,51,68.5155,0.0,1.1744,0.8553
0,52,67.2509,0.0,1.1161,0.8168
0,53,67.7775,0.0,1.4648,0.8176
0,54,68.0904,0.0,1.1677,0.8415
0,55,87.3194,0.0,1.0225,0.7932
0,56,78.9372,0.0,1.3772,0.8285
0,57,79.1843,0.0,1.3839,0.8309
0,58,74.7933,0.0,1.0136,0.8180
0,59,72.9456,0.0,1.1277,0.8453
0,60,74.6577,0.0,1.2061,0.8376
0,61,71.5163,0.0,1.1448,0.8435
0,62,69.5511,0.0,1.0734,0.8455
0,63,67.9092,0.0,1.1056,0.8044
0,64,67.9182,0.0,1.6771,0.8527
0,65,71.6251,0.0,1.1424,0.8224
0,66,66.4059,0.0,1.1533,0.8469
0,67,66.4312,0.0,1.1277,0.8419
0,68,67.2774,0.0,1.2134,0.8478
0,69,69.8621,0.0,1.3894,0.8377
0,70,63.4321,0.0,1.0940,0.8671
0,71,61.9856,0.0,1.1090,0.8578
0,72,65.0098,0.0,1.1211,0.8510
0,73,62.9689,0.0,1.2301,0.8131
0,74,62.9805,0.0,1.1125,0.8622
0,75,63.9916,0.0,1.2053,0.8203
0,76,62.4390,0.0,1.1442,0.2500
0,77,68.1328,0.0,1.2705,0.8531
0,78,67.7046,0.0,1.1060,0.8586
0,79,66.6913,0.0,1.1634,0.8578
0,80,65.2438,0.0,1.1769,0.8208
0,81,65.8689,0.0,1.3596,0.8528
0,82,61.4131,0.0,1.1857,0.8371
0,83,63.0065,0.0,1.1548,0.8564
0,84,64.7420,0.0,1.1049,0.8631
0,85,65.4972,0.0,1.3585,0.6001
0,86,63.1215,0.0,1.1328,0.8478
0,87,63.2798,0.0,1.1295,0.8535
0,88,64.6133,0.0,1.1591,0.8667
0,89,60.9324,0.0,1.2510,0.8384
0,90,65.0726,0.0,1.1257,0.8595
0,91,65.0117,0.0,1.8165,0.8601
0,92,62.5536,0.0,1.1251,0.8371
0,93,62.6220,0.0,1.1388,0.8344
0,94,61.3432,0.0,1.1623,0.8508
0,95,62.4354,0.0,1.2086,0.7555
0,96,63.0828,0.0,1.1088,0.8633
0,97,62.5027,0.0,1.1350,0.8554
0,98,61.8223,0.0,1.1301,0.8697
0,99,65.2712,0.0,1.3107,-2.3817
0,100,65.5461,0.0,1.1158,0.8603
0,101,63.2127,0.0,1.1538,0.8207
0,102,62.6088,0.0,1.1229,0.8270
0,103,64.2274,0.0,1.4150,0.8559
0,104,63.5115,0.0,1.1562,0.8591
0,105,61.9071,0.0,1.1376,0.8715
0,106,63.7033,0.0,1.0963,0.8172
0,107,62.9132,0.0,1.2615,0.8290
0,108,60.5056,0.0,1.1264,0.8490
0,109,62.0608,0.0,1.0801,0.8665
0,110,62.5071,0.0,1.2554,0.8503
0,111,61.9716,0.0,1.1587,0.8633
0,112,64.2117,0.0,1.1223,0.8586
0,113,59.9158,0.0,1.1016,0.8696
0,114,63.3415,0.0,1.3524,-2.2532
0,115,61.2639,0.0,1.1805,0.8555
0,116,65.7709,0.0,1.1404,0.8475
0,117,62.9271,0.0,1.1610,0.8360
0,118,62.8441,0.0,1.1854,0.7553
0,119,65.1721,0.0,1.3987,0.8559
0,120,65.9150,0.0,1.1923,0.8574
0,121,68.4847,0.0,1.3847,0.8549
0,122,62.3473,0.0,1.1757,0.8560
0,123,63.8836,0.0,1.1274,0.8058
0,124,63.3446,0.0,1.1631,0.8655
0,125,63.4690,0.0,1.4334,0.8570
0,126,63.2004,0.0,1.4502,0.8166
0,127,61.7082,0.0,1.1668,0.8017
0,128,61.4653,0.0,1.0694,0.8683
0,129,63.7618,0.0,1.1431,0.8674
0,130,65.5272,0.0,1.1120,0.8489
0,131,63.6542,0.0,1.2574,0.7914
0,132,62.0499,0.0,1.1613,0.8616
0,133,64.9708,0.0,1.1980,0.8614
0,134,67.4045,0.0,1.1259,0.8588
0,135,63.5464,0.0,1.1657,0.8562
0,136,62.9615,0.0,1.1182,0.8699
0,137,66.3453,0.0,1.1009,0.8595
0,138,61.8101,0.0,1.1288,0.8715
0,139,63.2798,0.0,1.0742,0.8049
0,140,63.2019,0.0,1.1233,0.8626
0,141,62.3608,0.0,1.1431,0.8671
0,142,64.7540,0.0,1.1264,0.8624
0,143,62.4296,0.0,1.1245,0.8565
0,144,62.3720,0.0,1.1647,0.8642
0,145,65.4005,0.0,1.1435,0.8414
0,146,64.1748,0.0,1.1680,0.8290
0,147,61.6480,0.0,1.1017,0.8732
0,148,64.8198,0.0,1.2269,0.8631
0,149,61.8085,0.0,1.1066,0.8659
0,150,62.3577,0.0,1.2492,0.8696
0,151,61.7693,0.0,1.1424,0.8593
0,152,60.5063,0.0,1.1412,0.8543
0,153,63.5657,0.0,1.1097,0.8669
0,154,60.8702,0.0,1.1260,0.8734
0,155,61.9628,0.0,1.1468,0.8457
0,156,63.1356,0.0,1.2020,0.8480
0,157,64.7311,0.0,1.1283,0.8077
0,158,61.1454,0.0,1.1036,0.8601
0,159,61.3877,0.0,1.0868,0.8663
0,160,62.0667,0.0,1.1318,0.8656
0,161,66.3351,0.0,1.1748,0.8569
0,162,63.5805,0.0,1.1823,0.8262
0,163,63.7555,0.0,1.1519,0.8530
0,164,66.6678,0.0,1.1882,0.6132
0,165,65.8767,0.0,1.0994,0.8383
0,166,62.3190,0.0,1.1708,0.8258
0,167,59.9473,0.0,1.1813,0.7801
0,168,61.6930,0.0,1.1731,0.8533
0,169,63.1200,0.0,1.2298,0.8608
0,170,65.4160,0.0,1.2048,0.8542
0,171,61.2305,0.0,1.1140,0.8056
0,172,61.7116,0.0,1.2030,0.4550
0,173,66.6479,0.0,1.1118,0.8596
0,174,64.4168,0.0,1.1122,0.8402
0,175,62.7447,0.0,1.2025,0.8222
0,176,61.0027,0.0,1.1804,0.8268
0,177,65.9929,0.0,1.1157,0.8461
0,178,64.6824,0.0,1.1534,0.8646
0,179,63.3413,0.0,1.1773,0.8637
0,180,61.6204,0.0,1.1206,0.8417
0,181,66.5002,0.0,1.1494,0.8560
0,182,64.9480,0.0,1.6097,-0.3258
0,183,63.4148,0.0,1.1591,0.8686
0,184,64.0949,0.0,1.1440,0.8146
0,185,63.3306,0.0,1.1404,0.8490
0,186,64.4074,0.0,1.1931,0.8288
0,187,60.2459,0.0,1.3035,0.8732
0,188,64.9665,0.0,1.1057,0.8558
0,189,64.1746,0.0,1.2220,0.7509
0,190,59.8822,0.0,1.1449,0.8436
0,191,62.2703,0.0,1.1725,0.8640
0,192,62.9328,0.0,1.1271,0.8575
0,193,63.3217,0.0,1.0871,0.8296
0,194,60.4483,0.0,1.1325,0.8744
0,195,58.2018,0.0,1.1113,0.8583
0,196,65.6384,0.0,1.2761,0.8095
0,197,65.7626,0.0,1.2624,0.8141
0,198,65.1364,0.0,1.1394,0.8531
0,199,63.7061,0.0,1.1678,0.8546
1,0,250.1499,0.0,6.5233,0.2508
1,1,159.0563,0.0,2.4185,0.5034
1,2,134.8077,0.0,1.9483,0.5748
1,3,108.1041,0.0,1.8334,0.6578
1,4,95.0512,0.0,2.1431,0.7040
1,5,84.2662,0.0,1.7481,0.7247
1,6,84.5503,0.0,1.6249,0.7410
1,7,85.7288,0.0,1.6063,0.7403
1,8,74.4966,0.0,1.2911,0.7771
1,9,67.3119,0.0,1.5395,0.7986
1,10,62.2802,0.0,1.3117,0.8081
1,11,59.8053,0.0,1.3963,0.8138
1,12,61.4357,0.0,1.4968,0.8046
1,13,62.0572,0.0,1.2148,0.8059
1,14,63.8897,0.0,1.4225,0.7832
1,15,65.1789,0.0,1.3707,0.8032
1,16,58.0346,0.0,1.2149,0.8218
