training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,325.0218,4.3853,0.2497
0,1,198.7788,2.1903,0.5753
0,2,163.5302,1.3798,0.6275
0,3,145.8487,1.4636,0.6909
0,4,140.3922,1.5067,0.6727
0,5,128.0737,1.7891,0.3095
0,6,118.7048,1.5229,0.7384
0,7,125.8949,1.1942,0.7361
0,8,112.9532,1.3349,0.6182
0,9,105.7839,1.4289,0.2978
0,10,101.0208,1.3418,0.5098
0,11,115.6576,1.4034,0.7418
0,12,102.1258,1.2463,0.7407
0,13,96.8830,1.1898,0.7956
0,14,123.6507,1.2749,0.7416
0,15,124.0266,1.3427,0.7423
0,16,89.7276,1.1639,0.7853
0,17,86.4216,1.1873,0.8034
0,18,90.9383,1.1776,0.7991
0,19,94.1568,1.1758,0.7929
0,20,89.3066,1.4077,0.8116
0,21,85.3284,1.2237,0.8162
0,22,88.5729,1.0821,0.8019
0,23,92.0323,1.2081,0.5631
0,24,90.7978,1.2255,0.8069
0,25,90.2831,1.2350,0.7976
0,26,86.1818,1.2935,0.7849
0,27,82.8691,1.0665,0.8301
0,28,80.0300,1.2025,0.8252
0,29,129.7179,1.1309,0.7300
0,30,101.1141,1.5234,0.7828
0,31,99.8211,1.0221,0.7822
0,32,90.8884,1.1025,0.7763
0,33,87.1000,1.5987,0.8163
0,34,84.1056,0.9436,0.8190
0,35,83.6966,1.3226,0.8212
0,36,82.7957,1.0522,0.8159
0,37,91.0804,1.1946,0.7726
0,38,76.2740,1.1065,0.8413
0,39,76.7860,1.3204,0.8207
0,40,91.2415,1.2085,0.8079
0,41,79.4299,1.0391,0.7800
0,42,80.6071,1.5435,0.8037
0,43,100.1265,1.3464,0.7780
0,44,82.7887,0.8826,0.8282
0,45,82.8994,1.1907,0.8070
0,46,80.8846,1.2092,0.7935
0,47,76.6585,1.2427,0.7232
0,48,74.9843,0.9920,0.8031
0,49,88.6578,1.3355,0.7871
0,50,96.7657,1.0958,0.4915
0,51,112.0038,1.8942,0.7649
0,52,101.5069,1.1320,0.7635
0,53,89.4567,1.3631,0.7488
0,54,82.5315,1.2860,0.7928
0,55,79.3440,1.2148,0.8131
0,56,76.0684,1.0794,0.8198
0,57,78.4006,1.1413,0.8181
0,58,82.0404,1.1817,0.8301
0,59,78.0196,1.1847,0.5901
0,60,81.1504,1.2286,0.7590
0,61,128.6747,1.2160,0.6360
0,62,113.4845,1.1180,0.2464
0,63,86.2114,1.3119,0.7782
0,64,104.3750,1.3062,0.7714
0,65,105.4065,1.0970,0.7647
0,66,91.2428,1.4123,0.8034
0,67,88.3204,1.1027,0.8125
0,68,77.5685,1.2508,0.8347
0,69,79.6319,1.1097,0.7147
0,70,78.5192,1.3221,0.8257
0,71,78.3083,1.1645,0.5573
0,72,78.2128,1.2348,0.8057
0,73,76.5120,1.2912,0.8335
0,74,76.1718,1.5402,0.8161
0,75,73.6163,1.2296,0.7660
0,76,79.0511,1.1255,0.8275
0,77,77.7968,1.2483,-0.1797
0,78,83.4859,1.2427,0.7646
0,79,72.1391,1.2140,0.8489
0,80,72.4626,1.2024,0.8116
0,81,77.5926,1.2042,0.8337
0,82,72.3059,1.1834,0.7493
0,83,72.9812,1.1978,0.8436
0,84,71.0015,1.1871,0.8283
0,85,74.1650,1.2004,0.8409
0,86,69.3132,1.1766,0.7698
0,87,68.2526,1.2452,0.8518
0,88,71.9279,1.1625,0.8449
0,89,70.5291,1.3003,0.6103
0,90,68.9598,1.1457,0.7282
0,91,70.6294,1.0900,0.8336
0,92,70.0702,1.1732,0.8504
0,93,70.3137,1.5485,0.0580
0,94,68.2888,1.2210,0.7987
0,95,69.8309,1.2140,0.8290
