training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,299.7442,3.4389,0.3471
0,1,186.3441,1.8166,0.6116
0,2,160.1854,1.5464,0.5434
0,3,157.7400,1.5005,0.6616
0,4,124.6140,1.2046,0.7394
0,5,131.9850,1.8252,0.6320
0,6,118.6464,1.2469,0.6873
0,7,105.2854,1.3776,0.7012
0,8,107.5019,1.2200,0.3659
0,9,109.2062,1.3571,0.7644
0,10,94.7948,1.5913,0.7793
0,11,93.8443,1.1839,0.7799
0,12,96.5098,1.2283,0.8020
0,13,89.4164,1.0424,0.8055
0,14,87.7491,1.3133,0.8040
0,15,89.2395,1.1691,0.8115
0,16,88.3950,1.3915,0.8117
0,17,88.4636,1.1801,0.8128
0,18,95.5020,1.3332,0.7809
0,19,94.9185,1.0965,0.6672
0,20,86.4924,1.1338,0.8214
0,21,81.8936,1.2419,0.0360
0,22,87.2099,1.2516,0.8074
0,23,82.1293,1.5164,0.7780
0,24,90.9798,1.2780,0.7630
0,25,85.1927,1.2602,0.8220
0,26,85.3793,1.3343,0.7522
0,27,80.0811,1.3521,0.8094
0,28,101.9160,1.4042,0.7784
0,29,73.5443,0.9585,0.6510
0,30,78.4340,1.1247,0.8349
0,31,73.1046,1.1640,0.8377
0,32,82.3561,1.1644,0.8063
0,33,82.0222,1.1467,0.7906
0,34,85.7130,1.2564,0.5086
0,35,87.9392,1.0258,0.7845
0,36,81.2586,1.1537,0.8299
0,37,78.0334,1.2039,0.8291
0,38,80.3843,1.2256,0.8239
0,39,79.9676,1.0317,0.8014
0,40,72.3299,1.1712,0.8306
0,41,71.8211,1.2610,0.8294
0,42,74.9095,1.3538,0.8166
0,43,74.1725,0.9159,0.8443
0,44,89.3673,1.3802,0.8076
0,45,74.8217,0.9510,0.8394
0,46,69.1607,1.1964,0.7988
0,47,69.0276,1.1419,0.8420
0,48,84.5252,1.3065,0.7958
0,49,89.4624,0.9681,0.8122
0,50,83.2066,1.2793,0.8220
0,51,108.6557,1.1365,0.7270
0,52,97.2765,1.2343,0.7990
0,53,86.9451,1.2292,0.7699
0,54,86.1283,1.1223,0.8122
0,55,84.9419,1.1943,0.8201
0,56,77.2344,1.1485,0.4677
0,57,83.8650,1.1596,0.7507
0,58,81.4309,1.0346,0.8042
0,59,74.7519,1.1275,0.8393
0,60,84.4072,1.0284,0.7919
0,61,78.3618,1.1979,0.7991
0,62,78.4209,1.1620,0.8257
0,63,73.8017,1.2032,0.8422
0,64,73.2572,1.2959,0.6815
0,65,72.5838,1.0966,0.8476
0,66,69.1861,1.0886,0.8455
0,67,90.0229,1.2110,0.8049
0,68,73.5586,1.0815,0.8464
0,69,77.1084,1.5921,0.8036
0,70,92.3410,1.2968,0.7846
0,71,82.4302,1.0745,0.8305
0,72,76.8505,1.3174,0.8281
0,73,73.4145,1.2847,0.8339
0,74,79.7842,1.9809,0.8300
0,75,93.5180,1.0681,0.7705
0,76,92.2441,1.4730,0.7946
0,77,95.3301,1.1325,0.7924
0,78,92.9134,1.3097,0.7819
0,79,80.3771,1.3431,0.8016
0,80,80.9048,1.2334,0.8220
0,81,79.6266,1.1921,0.7931
0,82,73.6400,1.3177,0.8383
0,83,79.7658,1.4055,0.8100
0,84,87.9009,1.2803,0.7937
0,85,91.7383,1.3476,0.7682
0,86,86.6590,1.7555,0.8202
0,87,84.3529,1.3601,0.7364
0,88,69.3207,1.3014,0.8563
0,89,76.7896,1.3340,0.7313
0,90,71.5570,1.2573,0.8178
0,91,115.7182,1.3801,0.7071
0,92,100.5903,1.3982,0.7782
0,93,84.9471,1.6419,0.6734
0,94,88.3462,1.2868,0.7668
0,95,76.3281,1.2326,0.8308
0,96,79.5292,1.4222,0.8296
0,97,81.1737,1.3052,0.7473
0,98,84.4904,1.4189,0.7883
0,99,81.6944,1.2668,0.7955
0,100,79.0040,1.5567,0.8099
0,101,101.9280,1.3959,0.7819
0,102,90.2643,1.5791,0.7758
0,103,81.6348,1.4033,0.7922
0,104,87.1528,1.4334,0.8088
0,105,78.8015,1.3572,0.8012
0,106,71.2936,1.5490,0.6527
0,107,77.4558,1.9042,0.7381
0,108,73.8336,1.7234,0.7972
0,109,68.3212,1.3873,0.8408
0,110,67.1407,1.5299,0.7974
0,111,67.2210,1.5497,0.8583
0,112,64.1394,1.3824,0.8414
0,113,66.6386,1.6775,0.8436
0,114,65.9930,2.0617,0.8447
