eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,44.738228,0.72929996,0.8853,0.0,0.0
1.0,0.0,29.96696,0.93877494,0.9086375,0.0,0.0
2.0,0.0,46.036373,0.6480125,0.85730004,0.0,0.0
3.0,0.0,36.53549,0.58634996,0.88187504,0.0,0.0
4.0,0.0,31.790974,0.57435,0.87619996,0.0,0.0
5.0,0.0,39.79775,0.86853755,0.856925,0.0,0.0
6.0,0.0,36.402874,0.63328743,0.8639125,0.0,0.0
7.0,0.0,36.534172,0.5889625,0.9068125,0.0,0.0
8.0,0.0,34.796787,0.5547625,0.8729625,0.0,0.0
9.0,0.0,42.922886,0.776425,0.8803625,0.0,0.0
