training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,137.5376,1.8035,0.5591
0,1,86.9873,1.1646,0.7221
0,2,74.6611,1.1228,0.7597
0,3,69.1305,1.0355,0.7783
0,4,67.3439,0.9944,0.7840
0,5,65.6756,1.0290,0.7894
0,6,64.3284,1.0396,0.7936
0,7,63.0691,1.0591,0.7976
0,8,59.8564,1.0932,0.8082
0,9,59.5286,1.1371,0.8089
0,10,59.0924,1.1771,0.8099
0,11,57.7107,1.2094,0.8151
0,12,57.2037,1.2657,0.8168
0,13,56.9584,1.3079,0.8165
0,14,56.5959,1.3366,0.8181
0,15,56.0520,1.3929,0.8203
0,16,54.8300,1.4324,0.8232
0,17,55.6276,1.4621,0.8224
0,18,55.2901,1.5054,0.8224
0,19,53.3551,1.5325,0.8290
0,20,54.3465,1.5507,0.8260
0,21,55.2953,1.5925,0.8224
0,22,54.3011,1.6237,0.8254
0,23,53.9832,1.6296,0.8274
0,24,53.0339,1.6508,0.8293
0,25,53.5643,1.6576,0.8277
0,26,52.8463,1.6671,0.8294
0,27,52.8587,1.5638,0.8298
0,28,53.2152,1.3416,0.8290
0,29,51.4893,1.3583,0.8345
0,30,52.4283,1.4112,0.8324
0,31,46.7723,1.3294,0.8502
0,32,45.1886,1.3223,0.8548
0,33,44.6948,1.2922,0.8552
0,34,44.4839,1.3170,0.8569
0,35,44.2699,1.3123,0.8574
0,36,43.0783,1.2923,0.8616
0,37,43.8985,1.3490,0.8584
0,38,42.7794,1.3153,0.8629
0,39,42.4077,1.2952,0.8640
0,40,42.3419,1.3097,0.8635
0,41,41.8723,1.2061,0.8651
0,42,41.8658,1.2176,0.8654
0,43,42.1643,1.1925,0.8640
0,44,42.3813,1.2036,0.8637
0,45,41.8083,1.1189,0.8659
0,46,41.1009,1.1238,0.8683
0,47,41.0508,1.1258,0.8677
0,48,41.2376,1.1280,0.8676
0,49,41.0777,1.1096,0.8674
0,50,40.8458,1.1343,0.8689
0,51,40.2479,1.1448,0.8709
0,52,40.7136,1.1325,0.8698
0,53,39.3885,1.1024,0.8732
0,54,38.7563,1.0688,0.8751
0,55,38.5386,1.0770,0.8767
0,56,38.1284,1.0851,0.8770
0,57,38.3216,1.0740,0.8774
0,58,38.7675,1.0797,0.8752
0,59,38.5736,1.0615,0.8761
0,60,38.4303,1.0606,0.8767
0,61,38.0546,1.0587,0.8776
0,62,38.5595,1.0330,0.8757
0,63,38.0625,1.0940,0.8778
0,64,38.0689,1.0723,0.8773
0,65,37.5116,1.0564,0.8796
0,66,38.1675,1.0390,0.8771
0,67,38.1356,1.0609,0.8771
0,68,37.3564,1.0186,0.8803
0,69,38.2176,1.0385,0.8771
0,70,37.1681,1.0250,0.8805
0,71,37.8095,0.9916,0.8785
0,72,37.7268,0.9780,0.8787
0,73,37.7479,0.9490,0.8782
0,74,37.0814,0.9708,0.8813
0,75,37.3108,0.9745,0.8801
0,76,37.2306,0.9585,0.8799
0,77,36.5630,0.9400,0.8827
0,78,36.6284,0.9418,0.8819
0,79,36.8687,0.9442,0.8811
0,80,36.4980,0.9763,0.8826
0,81,36.7072,0.9836,0.8819
0,82,36.7310,0.9483,0.8818
0,83,36.8293,0.9608,0.8814
0,84,37.1079,0.9611,0.8810
0,85,36.6944,0.9288,0.8823
0,86,36.6052,0.9686,0.8825
0,87,36.5970,0.9336,0.8820
0,88,36.4570,0.9401,0.8827
0,89,36.9908,0.9279,0.8815
0,90,36.0712,0.9300,0.8843
0,91,37.3898,0.9579,0.8797
0,92,36.7975,0.9075,0.8816
0,93,36.8389,0.9533,0.8816
0,94,36.8759,0.9456,0.8817
0,95,36.4382,0.9246,0.8830
0,96,36.6318,0.9289,0.8825
0,97,36.3443,0.9693,0.8824
0,98,35.9771,0.9183,0.8848
0,99,36.8398,0.9383,0.8820
0,100,36.8214,0.9262,0.8813
0,101,36.3211,0.9494,0.8837
0,102,36.5610,0.9301,0.8826
0,103,36.4494,0.9269,0.8831
0,104,36.4664,0.9385,0.8827
0,105,36.6600,0.9155,0.8818
0,106,36.5457,0.9277,0.8818
0,107,36.8135,0.9329,0.8815
0,108,36.4028,0.9029,0.8832
0,109,36.9267,0.9497,0.8814
0,110,36.5191,0.9433,0.8830
0,111,36.7649,0.9450,0.8821
0,112,36.7357,0.9522,0.8815
0,113,36.1004,0.9613,0.8834
